id,category_kind,target_lane,windows_host_kind,windows_gpu_reporting_category,runtime_detection_required,runtime_evidence_commands,windows_architecture,visible_cpu_threads,system_ram_gib,install_path_free_disk_gib,gpu_vendor,gpu_model,gpu_memory_gib,windows_gpu_runtime,windows_cuda_lane_eligible,windows_gpu_vram_source,classification,model_fit_proven,runtime_trial_required,runtime_verification_required,unknown_fields,notes
windows-host-kind-physical,host_topology,,physical,,true,Get-CimInstance Win32_ComputerSystem|Win32_ComputerSystem.Model|Win32_ComputerSystem.Manufacturer|Win32_ComputerSystem.HypervisorPresent,,,,,,,,,,,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,Runtime-observed Windows host topology category (physical). Physical Windows host when hypervisor evidence is absent or clearly negative. Capacity values are measured at install time.
windows-host-kind-hyperv-vm,host_topology,,hyperv_vm,,true,Get-CimInstance Win32_ComputerSystem|Win32_ComputerSystem.Model|Win32_ComputerSystem.Manufacturer|Win32_ComputerSystem.HypervisorPresent,,,,,,,,,,,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,Runtime-observed Windows host topology category (hyperv_vm). Hyper-V guest when HypervisorPresent and model/manufacturer evidence support it. Capacity values are measured at install time.
windows-host-kind-vmware-vm,host_topology,,vmware_vm,,true,Get-CimInstance Win32_ComputerSystem|Win32_ComputerSystem.Model|Win32_ComputerSystem.Manufacturer|Win32_ComputerSystem.HypervisorPresent,,,,,,,,,,,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,Runtime-observed Windows host topology category (vmware_vm). VMware guest only when model/manufacturer evidence clearly supports VMware. Capacity values are measured at install time.
windows-host-kind-virtualbox-vm,host_topology,,virtualbox_vm,,true,Get-CimInstance Win32_ComputerSystem|Win32_ComputerSystem.Model|Win32_ComputerSystem.Manufacturer|Win32_ComputerSystem.HypervisorPresent,,,,,,,,,,,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,Runtime-observed Windows host topology category (virtualbox_vm). VirtualBox guest only when model/manufacturer evidence clearly supports VirtualBox. Capacity values are measured at install time.
windows-host-kind-other-vm,host_topology,,other_vm,,true,Get-CimInstance Win32_ComputerSystem|Win32_ComputerSystem.Model|Win32_ComputerSystem.Manufacturer|Win32_ComputerSystem.HypervisorPresent,,,,,,,,,,,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,Runtime-observed Windows host topology category (other_vm). Other VM when hypervisor evidence is present but vendor mapping is unclear. Capacity values are measured at install time.
windows-host-kind-unknown,host_topology,,unknown,,true,Get-CimInstance Win32_ComputerSystem|Win32_ComputerSystem.Model|Win32_ComputerSystem.Manufacturer|Win32_ComputerSystem.HypervisorPresent,,,,,,,,,,,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,"Runtime-observed Windows host topology category (unknown). Topology unknown when WMI evidence is missing, conflicting, or ambiguous. Capacity values are measured at install time."
windows-lane-routing-cpu,lane_routing,windows/cpu,,,true,"Get-CimInstance Win32_OperatingSystem|nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits|Win32_VideoController",,,,,,,,gpu_present_unverified,no,unknown,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,Safe native Windows lane when nvidia-smi is absent or fails. Display adapters may be present; CPU install must not fail solely because a GPU is visible.
windows-lane-routing-cuda,lane_routing,windows/cuda,,,true,"Get-CimInstance Win32_OperatingSystem|nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits",,,,,,,,nvidia_smi_verified,yes,nvidia_smi,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,CUDA lane candidate only after successful nvidia-smi with non-empty NVIDIA GPU name and positive VRAM. This is not a model-fit guarantee. Retain per-device GPU evidence.
windows-gpu-reporting-no-gpu-or-unknown,gpu_reporting,,,no_gpu_or_unknown,true,"Win32_VideoController|nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits",,,,,,,,no_gpu_detected,no,unknown,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,No supported GPU detected or GPU state unknown at observation time. Reporting category only; does not claim model fit or minimum_vram_gb for any model-size record.
windows-gpu-reporting-gpu-present-unverified,gpu_reporting,,,gpu_present_unverified,true,"Win32_VideoController|nvidia-smi --query-gpu=name,memory.total --format=csv,noheader,nounits",,,,,,,,gpu_present_unverified,no,unknown,runtime-observed-host-category,false,true,true,eightball_cpu_threads|eightball_disk_free_gb|eightball_gpu_vram_mb|eightball_ram_mb|gpu_memory_gib|gpu_model|gpu_vendor|install_path_free_disk_gib|system_ram_gib|visible_cpu_threads|windows_architecture|windows_cuda_lane_eligible|windows_gpu_vram_source,"Win32_VideoController may report an adapter, but AdapterRAM is not verified VRAM and nvidia-smi did not succeed. Reporting category only; does not claim model fit or minimum_vram_gb for any model-size record."
