size_slug,ollama_ref,size_file
72b,athene-v2:72b,sizes/72b.json
72b-fp16,athene-v2:72b-fp16,sizes/72b-fp16.json
72b-q2_k,athene-v2:72b-q2_K,sizes/72b-q2_k.json
72b-q3_k_l,athene-v2:72b-q3_K_L,sizes/72b-q3_k_l.json
72b-q3_k_m,athene-v2:72b-q3_K_M,sizes/72b-q3_k_m.json
72b-q3_k_s,athene-v2:72b-q3_K_S,sizes/72b-q3_k_s.json
72b-q4_0,athene-v2:72b-q4_0,sizes/72b-q4_0.json
72b-q4_1,athene-v2:72b-q4_1,sizes/72b-q4_1.json
72b-q4_k_m,athene-v2:72b-q4_K_M,sizes/72b-q4_k_m.json
72b-q4_k_s,athene-v2:72b-q4_K_S,sizes/72b-q4_k_s.json
72b-q5_0,athene-v2:72b-q5_0,sizes/72b-q5_0.json
72b-q5_1,athene-v2:72b-q5_1,sizes/72b-q5_1.json
72b-q5_k_m,athene-v2:72b-q5_K_M,sizes/72b-q5_k_m.json
72b-q5_k_s,athene-v2:72b-q5_K_S,sizes/72b-q5_k_s.json
72b-q6_k,athene-v2:72b-q6_K,sizes/72b-q6_k.json
72b-q8_0,athene-v2:72b-q8_0,sizes/72b-q8_0.json
latest,athene-v2:latest,sizes/latest.json
