size_slug,ollama_ref,size_file,fit_status
32b,aya-expanse:32b,../sizes/32b.json,not_listed_in_agents_selection
32b-fp16,aya-expanse:32b-fp16,../sizes/32b-fp16.json,not_listed_in_agents_selection
32b-q2_k,aya-expanse:32b-q2_K,../sizes/32b-q2_k.json,not_listed_in_agents_selection
32b-q3_k_l,aya-expanse:32b-q3_K_L,../sizes/32b-q3_k_l.json,not_listed_in_agents_selection
32b-q3_k_m,aya-expanse:32b-q3_K_M,../sizes/32b-q3_k_m.json,not_listed_in_agents_selection
32b-q3_k_s,aya-expanse:32b-q3_K_S,../sizes/32b-q3_k_s.json,not_listed_in_agents_selection
32b-q4_0,aya-expanse:32b-q4_0,../sizes/32b-q4_0.json,not_listed_in_agents_selection
32b-q4_1,aya-expanse:32b-q4_1,../sizes/32b-q4_1.json,not_listed_in_agents_selection
32b-q4_k_m,aya-expanse:32b-q4_K_M,../sizes/32b-q4_k_m.json,not_listed_in_agents_selection
32b-q4_k_s,aya-expanse:32b-q4_K_S,../sizes/32b-q4_k_s.json,not_listed_in_agents_selection
32b-q5_0,aya-expanse:32b-q5_0,../sizes/32b-q5_0.json,not_listed_in_agents_selection
32b-q5_1,aya-expanse:32b-q5_1,../sizes/32b-q5_1.json,not_listed_in_agents_selection
32b-q5_k_m,aya-expanse:32b-q5_K_M,../sizes/32b-q5_k_m.json,not_listed_in_agents_selection
32b-q5_k_s,aya-expanse:32b-q5_K_S,../sizes/32b-q5_k_s.json,not_listed_in_agents_selection
32b-q6_k,aya-expanse:32b-q6_K,../sizes/32b-q6_k.json,not_listed_in_agents_selection
32b-q8_0,aya-expanse:32b-q8_0,../sizes/32b-q8_0.json,not_listed_in_agents_selection
