size_slug,size_json_path,ollama_ref
32b,profiles/aya-expanse/sizes/32b.json,aya-expanse:32b
32b-fp16,profiles/aya-expanse/sizes/32b-fp16.json,aya-expanse:32b-fp16
32b-q2-k,profiles/aya-expanse/sizes/32b-q2-k.json,aya-expanse:32b-q2_K
32b-q3-k-l,profiles/aya-expanse/sizes/32b-q3-k-l.json,aya-expanse:32b-q3_K_L
32b-q3-k-m,profiles/aya-expanse/sizes/32b-q3-k-m.json,aya-expanse:32b-q3_K_M
32b-q3-k-s,profiles/aya-expanse/sizes/32b-q3-k-s.json,aya-expanse:32b-q3_K_S
32b-q4-k-m,profiles/aya-expanse/sizes/32b-q4-k-m.json,aya-expanse:32b-q4_K_M
32b-q4-k-s,profiles/aya-expanse/sizes/32b-q4-k-s.json,aya-expanse:32b-q4_K_S
32b-q40,profiles/aya-expanse/sizes/32b-q40.json,aya-expanse:32b-q4_0
32b-q41,profiles/aya-expanse/sizes/32b-q41.json,aya-expanse:32b-q4_1
32b-q5-k-m,profiles/aya-expanse/sizes/32b-q5-k-m.json,aya-expanse:32b-q5_K_M
32b-q5-k-s,profiles/aya-expanse/sizes/32b-q5-k-s.json,aya-expanse:32b-q5_K_S
32b-q50,profiles/aya-expanse/sizes/32b-q50.json,aya-expanse:32b-q5_0
32b-q51,profiles/aya-expanse/sizes/32b-q51.json,aya-expanse:32b-q5_1
32b-q6-k,profiles/aya-expanse/sizes/32b-q6-k.json,aya-expanse:32b-q6_K
32b-q80,profiles/aya-expanse/sizes/32b-q80.json,aya-expanse:32b-q8_0
8b,profiles/aya-expanse/sizes/8b.json,aya-expanse:8b
8b-fp16,profiles/aya-expanse/sizes/8b-fp16.json,aya-expanse:8b-fp16
8b-q2-k,profiles/aya-expanse/sizes/8b-q2-k.json,aya-expanse:8b-q2_K
8b-q3-k-l,profiles/aya-expanse/sizes/8b-q3-k-l.json,aya-expanse:8b-q3_K_L
8b-q3-k-m,profiles/aya-expanse/sizes/8b-q3-k-m.json,aya-expanse:8b-q3_K_M
8b-q3-k-s,profiles/aya-expanse/sizes/8b-q3-k-s.json,aya-expanse:8b-q3_K_S
8b-q4-k-m,profiles/aya-expanse/sizes/8b-q4-k-m.json,aya-expanse:8b-q4_K_M
8b-q4-k-s,profiles/aya-expanse/sizes/8b-q4-k-s.json,aya-expanse:8b-q4_K_S
8b-q40,profiles/aya-expanse/sizes/8b-q40.json,aya-expanse:8b-q4_0
8b-q41,profiles/aya-expanse/sizes/8b-q41.json,aya-expanse:8b-q4_1
8b-q5-k-m,profiles/aya-expanse/sizes/8b-q5-k-m.json,aya-expanse:8b-q5_K_M
8b-q5-k-s,profiles/aya-expanse/sizes/8b-q5-k-s.json,aya-expanse:8b-q5_K_S
8b-q50,profiles/aya-expanse/sizes/8b-q50.json,aya-expanse:8b-q5_0
8b-q51,profiles/aya-expanse/sizes/8b-q51.json,aya-expanse:8b-q5_1
8b-q6-k,profiles/aya-expanse/sizes/8b-q6-k.json,aya-expanse:8b-q6_K
8b-q80,profiles/aya-expanse/sizes/8b-q80.json,aya-expanse:8b-q8_0
latest,profiles/aya-expanse/sizes/latest.json,aya-expanse:latest
