size_slug,size_json_path,ollama_ref
35b,profiles/aya/sizes/35b.json,aya:35b
35b23,profiles/aya/sizes/35b23.json,aya:35b-23
35b23-q2-k,profiles/aya/sizes/35b23-q2-k.json,aya:35b-23-q2_K
35b23-q3-k-l,profiles/aya/sizes/35b23-q3-k-l.json,aya:35b-23-q3_K_L
35b23-q3-k-m,profiles/aya/sizes/35b23-q3-k-m.json,aya:35b-23-q3_K_M
35b23-q3-k-s,profiles/aya/sizes/35b23-q3-k-s.json,aya:35b-23-q3_K_S
35b23-q4-k-m,profiles/aya/sizes/35b23-q4-k-m.json,aya:35b-23-q4_K_M
35b23-q4-k-s,profiles/aya/sizes/35b23-q4-k-s.json,aya:35b-23-q4_K_S
35b23-q40,profiles/aya/sizes/35b23-q40.json,aya:35b-23-q4_0
35b23-q41,profiles/aya/sizes/35b23-q41.json,aya:35b-23-q4_1
35b23-q5-k-m,profiles/aya/sizes/35b23-q5-k-m.json,aya:35b-23-q5_K_M
35b23-q5-k-s,profiles/aya/sizes/35b23-q5-k-s.json,aya:35b-23-q5_K_S
35b23-q50,profiles/aya/sizes/35b23-q50.json,aya:35b-23-q5_0
35b23-q51,profiles/aya/sizes/35b23-q51.json,aya:35b-23-q5_1
35b23-q6-k,profiles/aya/sizes/35b23-q6-k.json,aya:35b-23-q6_K
35b23-q80,profiles/aya/sizes/35b23-q80.json,aya:35b-23-q8_0
8b,profiles/aya/sizes/8b.json,aya:8b
8b23,profiles/aya/sizes/8b23.json,aya:8b-23
8b23-q2-k,profiles/aya/sizes/8b23-q2-k.json,aya:8b-23-q2_K
8b23-q3-k-l,profiles/aya/sizes/8b23-q3-k-l.json,aya:8b-23-q3_K_L
8b23-q3-k-m,profiles/aya/sizes/8b23-q3-k-m.json,aya:8b-23-q3_K_M
8b23-q3-k-s,profiles/aya/sizes/8b23-q3-k-s.json,aya:8b-23-q3_K_S
8b23-q4-k-m,profiles/aya/sizes/8b23-q4-k-m.json,aya:8b-23-q4_K_M
8b23-q4-k-s,profiles/aya/sizes/8b23-q4-k-s.json,aya:8b-23-q4_K_S
8b23-q40,profiles/aya/sizes/8b23-q40.json,aya:8b-23-q4_0
8b23-q41,profiles/aya/sizes/8b23-q41.json,aya:8b-23-q4_1
8b23-q5-k-m,profiles/aya/sizes/8b23-q5-k-m.json,aya:8b-23-q5_K_M
8b23-q5-k-s,profiles/aya/sizes/8b23-q5-k-s.json,aya:8b-23-q5_K_S
8b23-q50,profiles/aya/sizes/8b23-q50.json,aya:8b-23-q5_0
8b23-q51,profiles/aya/sizes/8b23-q51.json,aya:8b-23-q5_1
8b23-q6-k,profiles/aya/sizes/8b23-q6-k.json,aya:8b-23-q6_K
8b23-q80,profiles/aya/sizes/8b23-q80.json,aya:8b-23-q8_0
latest,profiles/aya/sizes/latest.json,aya:latest
