size_slug,ollama_ref,size_file,fit_status
35b,aya:35b,../sizes/35b.json,no_fit
35b23,aya:35b-23,../sizes/35b23.json,no_fit
35b23-q2-k,aya:35b-23-q2_K,../sizes/35b23-q2-k.json,no_fit
35b23-q3-k-l,aya:35b-23-q3_K_L,../sizes/35b23-q3-k-l.json,no_fit
35b23-q3-k-m,aya:35b-23-q3_K_M,../sizes/35b23-q3-k-m.json,no_fit
35b23-q3-k-s,aya:35b-23-q3_K_S,../sizes/35b23-q3-k-s.json,no_fit
35b23-q4-k-m,aya:35b-23-q4_K_M,../sizes/35b23-q4-k-m.json,no_fit
35b23-q4-k-s,aya:35b-23-q4_K_S,../sizes/35b23-q4-k-s.json,no_fit
35b23-q40,aya:35b-23-q4_0,../sizes/35b23-q40.json,no_fit
35b23-q41,aya:35b-23-q4_1,../sizes/35b23-q41.json,no_fit
35b23-q5-k-m,aya:35b-23-q5_K_M,../sizes/35b23-q5-k-m.json,no_fit
35b23-q5-k-s,aya:35b-23-q5_K_S,../sizes/35b23-q5-k-s.json,no_fit
35b23-q50,aya:35b-23-q5_0,../sizes/35b23-q50.json,no_fit
35b23-q51,aya:35b-23-q5_1,../sizes/35b23-q51.json,no_fit
35b23-q6-k,aya:35b-23-q6_K,../sizes/35b23-q6-k.json,no_fit
35b23-q80,aya:35b-23-q8_0,../sizes/35b23-q80.json,no_fit
8b,aya:8b,../sizes/8b.json,no_fit
8b23,aya:8b-23,../sizes/8b23.json,no_fit
8b23-q2-k,aya:8b-23-q2_K,../sizes/8b23-q2-k.json,no_fit
8b23-q3-k-l,aya:8b-23-q3_K_L,../sizes/8b23-q3-k-l.json,no_fit
8b23-q3-k-m,aya:8b-23-q3_K_M,../sizes/8b23-q3-k-m.json,no_fit
8b23-q3-k-s,aya:8b-23-q3_K_S,../sizes/8b23-q3-k-s.json,no_fit
8b23-q4-k-m,aya:8b-23-q4_K_M,../sizes/8b23-q4-k-m.json,no_fit
8b23-q4-k-s,aya:8b-23-q4_K_S,../sizes/8b23-q4-k-s.json,no_fit
8b23-q40,aya:8b-23-q4_0,../sizes/8b23-q40.json,no_fit
8b23-q41,aya:8b-23-q4_1,../sizes/8b23-q41.json,no_fit
8b23-q5-k-m,aya:8b-23-q5_K_M,../sizes/8b23-q5-k-m.json,no_fit
8b23-q5-k-s,aya:8b-23-q5_K_S,../sizes/8b23-q5-k-s.json,no_fit
8b23-q50,aya:8b-23-q5_0,../sizes/8b23-q50.json,no_fit
8b23-q51,aya:8b-23-q5_1,../sizes/8b23-q51.json,no_fit
8b23-q6-k,aya:8b-23-q6_K,../sizes/8b23-q6-k.json,no_fit
8b23-q80,aya:8b-23-q8_0,../sizes/8b23-q80.json,no_fit
latest,aya:latest,../sizes/latest.json,no_fit
