size_slug,ollama_ref,size_file
7b,bakllava:7b,sizes/7b.json
7b-v1-fp16,bakllava:7b-v1-fp16,sizes/7b-v1-fp16.json
7b-v1-q2-k,bakllava:7b-v1-q2_K,sizes/7b-v1-q2-k.json
7b-v1-q3-k-l,bakllava:7b-v1-q3_K_L,sizes/7b-v1-q3-k-l.json
7b-v1-q3-k-m,bakllava:7b-v1-q3_K_M,sizes/7b-v1-q3-k-m.json
7b-v1-q3-k-s,bakllava:7b-v1-q3_K_S,sizes/7b-v1-q3-k-s.json
7b-v1-q4-k-m,bakllava:7b-v1-q4_K_M,sizes/7b-v1-q4-k-m.json
7b-v1-q4-k-s,bakllava:7b-v1-q4_K_S,sizes/7b-v1-q4-k-s.json
7b-v1-q40,bakllava:7b-v1-q4_0,sizes/7b-v1-q40.json
7b-v1-q41,bakllava:7b-v1-q4_1,sizes/7b-v1-q41.json
7b-v1-q5-k-m,bakllava:7b-v1-q5_K_M,sizes/7b-v1-q5-k-m.json
7b-v1-q5-k-s,bakllava:7b-v1-q5_K_S,sizes/7b-v1-q5-k-s.json
7b-v1-q50,bakllava:7b-v1-q5_0,sizes/7b-v1-q50.json
7b-v1-q51,bakllava:7b-v1-q5_1,sizes/7b-v1-q51.json
7b-v1-q6-k,bakllava:7b-v1-q6_K,sizes/7b-v1-q6-k.json
7b-v1-q80,bakllava:7b-v1-q8_0,sizes/7b-v1-q80.json
latest,bakllava:latest,sizes/latest.json
