size_slug,ollama_ref,size_file
7b,bespoke-minicheck:7b,sizes/7b.json
7b-fp16,bespoke-minicheck:7b-fp16,sizes/7b-fp16.json
7b-q2-k,bespoke-minicheck:7b-q2_K,sizes/7b-q2-k.json
7b-q3-k-l,bespoke-minicheck:7b-q3_K_L,sizes/7b-q3-k-l.json
7b-q3-k-m,bespoke-minicheck:7b-q3_K_M,sizes/7b-q3-k-m.json
7b-q3-k-s,bespoke-minicheck:7b-q3_K_S,sizes/7b-q3-k-s.json
7b-q4-k-m,bespoke-minicheck:7b-q4_K_M,sizes/7b-q4-k-m.json
7b-q4-k-s,bespoke-minicheck:7b-q4_K_S,sizes/7b-q4-k-s.json
7b-q40,bespoke-minicheck:7b-q4_0,sizes/7b-q40.json
7b-q41,bespoke-minicheck:7b-q4_1,sizes/7b-q41.json
7b-q5-k-m,bespoke-minicheck:7b-q5_K_M,sizes/7b-q5-k-m.json
7b-q5-k-s,bespoke-minicheck:7b-q5_K_S,sizes/7b-q5-k-s.json
7b-q50,bespoke-minicheck:7b-q5_0,sizes/7b-q50.json
7b-q51,bespoke-minicheck:7b-q5_1,sizes/7b-q51.json
7b-q6-k,bespoke-minicheck:7b-q6_K,sizes/7b-q6-k.json
7b-q80,bespoke-minicheck:7b-q8_0,sizes/7b-q80.json
latest,bespoke-minicheck:latest,sizes/latest.json
