size_slug,ollama_ref,size_file,fit_status
7b,bespoke-minicheck:7b,../sizes/7b.json,no_fit
7b-fp16,bespoke-minicheck:7b-fp16,../sizes/7b-fp16.json,no_fit
7b-q2-k,bespoke-minicheck:7b-q2_K,../sizes/7b-q2-k.json,fit
7b-q3-k-l,bespoke-minicheck:7b-q3_K_L,../sizes/7b-q3-k-l.json,fit
7b-q3-k-m,bespoke-minicheck:7b-q3_K_M,../sizes/7b-q3-k-m.json,fit
7b-q3-k-s,bespoke-minicheck:7b-q3_K_S,../sizes/7b-q3-k-s.json,fit
7b-q4-k-m,bespoke-minicheck:7b-q4_K_M,../sizes/7b-q4-k-m.json,no_fit
7b-q4-k-s,bespoke-minicheck:7b-q4_K_S,../sizes/7b-q4-k-s.json,fit
7b-q40,bespoke-minicheck:7b-q4_0,../sizes/7b-q40.json,fit
7b-q41,bespoke-minicheck:7b-q4_1,../sizes/7b-q41.json,no_fit
7b-q5-k-m,bespoke-minicheck:7b-q5_K_M,../sizes/7b-q5-k-m.json,no_fit
7b-q5-k-s,bespoke-minicheck:7b-q5_K_S,../sizes/7b-q5-k-s.json,no_fit
7b-q50,bespoke-minicheck:7b-q5_0,../sizes/7b-q50.json,no_fit
7b-q51,bespoke-minicheck:7b-q5_1,../sizes/7b-q51.json,no_fit
7b-q6-k,bespoke-minicheck:7b-q6_K,../sizes/7b-q6-k.json,no_fit
7b-q80,bespoke-minicheck:7b-q8_0,../sizes/7b-q80.json,no_fit
latest,bespoke-minicheck:latest,../sizes/latest.json,fit
