size_slug,ollama_ref,size_file,fit_status
2b,codegemma:2b,../sizes/2b.json,listed_in_agents_selection
2b-code,codegemma:2b-code,../sizes/2b-code.json,not_listed_in_agents_selection
2b-code-fp16,codegemma:2b-code-fp16,../sizes/2b-code-fp16.json,not_listed_in_agents_selection
2b-code-q2_k,codegemma:2b-code-q2_K,../sizes/2b-code-q2_k.json,not_listed_in_agents_selection
2b-code-q3_k_l,codegemma:2b-code-q3_K_L,../sizes/2b-code-q3_k_l.json,not_listed_in_agents_selection
2b-code-q3_k_m,codegemma:2b-code-q3_K_M,../sizes/2b-code-q3_k_m.json,not_listed_in_agents_selection
2b-code-q3_k_s,codegemma:2b-code-q3_K_S,../sizes/2b-code-q3_k_s.json,not_listed_in_agents_selection
2b-code-q4_0,codegemma:2b-code-q4_0,../sizes/2b-code-q4_0.json,not_listed_in_agents_selection
2b-code-q4_1,codegemma:2b-code-q4_1,../sizes/2b-code-q4_1.json,not_listed_in_agents_selection
2b-code-q4_k_m,codegemma:2b-code-q4_K_M,../sizes/2b-code-q4_k_m.json,not_listed_in_agents_selection
2b-code-q4_k_s,codegemma:2b-code-q4_K_S,../sizes/2b-code-q4_k_s.json,not_listed_in_agents_selection
2b-code-q5_0,codegemma:2b-code-q5_0,../sizes/2b-code-q5_0.json,not_listed_in_agents_selection
2b-code-q5_1,codegemma:2b-code-q5_1,../sizes/2b-code-q5_1.json,not_listed_in_agents_selection
2b-code-q5_k_m,codegemma:2b-code-q5_K_M,../sizes/2b-code-q5_k_m.json,not_listed_in_agents_selection
2b-code-q5_k_s,codegemma:2b-code-q5_K_S,../sizes/2b-code-q5_k_s.json,not_listed_in_agents_selection
2b-code-q6_k,codegemma:2b-code-q6_K,../sizes/2b-code-q6_k.json,not_listed_in_agents_selection
2b-code-q8_0,codegemma:2b-code-q8_0,../sizes/2b-code-q8_0.json,not_listed_in_agents_selection
2b-code-v1-1-fp16,codegemma:2b-code-v1.1-fp16,../sizes/2b-code-v1-1-fp16.json,not_listed_in_agents_selection
2b-code-v1-1-q2_k,codegemma:2b-code-v1.1-q2_K,../sizes/2b-code-v1-1-q2_k.json,not_listed_in_agents_selection
2b-code-v1-1-q3_k_l,codegemma:2b-code-v1.1-q3_K_L,../sizes/2b-code-v1-1-q3_k_l.json,not_listed_in_agents_selection
2b-code-v1-1-q3_k_m,codegemma:2b-code-v1.1-q3_K_M,../sizes/2b-code-v1-1-q3_k_m.json,not_listed_in_agents_selection
2b-code-v1-1-q3_k_s,codegemma:2b-code-v1.1-q3_K_S,../sizes/2b-code-v1-1-q3_k_s.json,not_listed_in_agents_selection
2b-code-v1-1-q4_0,codegemma:2b-code-v1.1-q4_0,../sizes/2b-code-v1-1-q4_0.json,not_listed_in_agents_selection
2b-code-v1-1-q4_1,codegemma:2b-code-v1.1-q4_1,../sizes/2b-code-v1-1-q4_1.json,not_listed_in_agents_selection
2b-code-v1-1-q4_k_m,codegemma:2b-code-v1.1-q4_K_M,../sizes/2b-code-v1-1-q4_k_m.json,not_listed_in_agents_selection
2b-code-v1-1-q4_k_s,codegemma:2b-code-v1.1-q4_K_S,../sizes/2b-code-v1-1-q4_k_s.json,not_listed_in_agents_selection
2b-code-v1-1-q5_0,codegemma:2b-code-v1.1-q5_0,../sizes/2b-code-v1-1-q5_0.json,not_listed_in_agents_selection
2b-code-v1-1-q5_1,codegemma:2b-code-v1.1-q5_1,../sizes/2b-code-v1-1-q5_1.json,not_listed_in_agents_selection
2b-code-v1-1-q5_k_m,codegemma:2b-code-v1.1-q5_K_M,../sizes/2b-code-v1-1-q5_k_m.json,not_listed_in_agents_selection
2b-code-v1-1-q5_k_s,codegemma:2b-code-v1.1-q5_K_S,../sizes/2b-code-v1-1-q5_k_s.json,not_listed_in_agents_selection
2b-code-v1-1-q6_k,codegemma:2b-code-v1.1-q6_K,../sizes/2b-code-v1-1-q6_k.json,not_listed_in_agents_selection
2b-code-v1-1-q8_0,codegemma:2b-code-v1.1-q8_0,../sizes/2b-code-v1-1-q8_0.json,not_listed_in_agents_selection
2b-v1-1,codegemma:2b-v1.1,../sizes/2b-v1-1.json,not_listed_in_agents_selection
code,codegemma:code,../sizes/code.json,not_listed_in_agents_selection
