size_slug,size_json_path,ollama_ref
7b,profiles/codegemma/sizes/7b.json,codegemma:7b
7b-code,profiles/codegemma/sizes/7b-code.json,codegemma:7b-code
7b-code-fp16,profiles/codegemma/sizes/7b-code-fp16.json,codegemma:7b-code-fp16
7b-code-q2-k,profiles/codegemma/sizes/7b-code-q2-k.json,codegemma:7b-code-q2_K
7b-code-q3-k-l,profiles/codegemma/sizes/7b-code-q3-k-l.json,codegemma:7b-code-q3_K_L
7b-code-q3-k-m,profiles/codegemma/sizes/7b-code-q3-k-m.json,codegemma:7b-code-q3_K_M
7b-code-q3-k-s,profiles/codegemma/sizes/7b-code-q3-k-s.json,codegemma:7b-code-q3_K_S
7b-code-q4-k-m,profiles/codegemma/sizes/7b-code-q4-k-m.json,codegemma:7b-code-q4_K_M
7b-code-q4-k-s,profiles/codegemma/sizes/7b-code-q4-k-s.json,codegemma:7b-code-q4_K_S
7b-code-q40,profiles/codegemma/sizes/7b-code-q40.json,codegemma:7b-code-q4_0
7b-code-q41,profiles/codegemma/sizes/7b-code-q41.json,codegemma:7b-code-q4_1
7b-code-q5-k-m,profiles/codegemma/sizes/7b-code-q5-k-m.json,codegemma:7b-code-q5_K_M
7b-code-q5-k-s,profiles/codegemma/sizes/7b-code-q5-k-s.json,codegemma:7b-code-q5_K_S
7b-code-q50,profiles/codegemma/sizes/7b-code-q50.json,codegemma:7b-code-q5_0
7b-code-q51,profiles/codegemma/sizes/7b-code-q51.json,codegemma:7b-code-q5_1
7b-code-q6-k,profiles/codegemma/sizes/7b-code-q6-k.json,codegemma:7b-code-q6_K
7b-code-q80,profiles/codegemma/sizes/7b-code-q80.json,codegemma:7b-code-q8_0
7b-instruct,profiles/codegemma/sizes/7b-instruct.json,codegemma:7b-instruct
7b-instruct-fp16,profiles/codegemma/sizes/7b-instruct-fp16.json,codegemma:7b-instruct-fp16
7b-instruct-q2-k,profiles/codegemma/sizes/7b-instruct-q2-k.json,codegemma:7b-instruct-q2_K
7b-instruct-q3-k-l,profiles/codegemma/sizes/7b-instruct-q3-k-l.json,codegemma:7b-instruct-q3_K_L
7b-instruct-q3-k-m,profiles/codegemma/sizes/7b-instruct-q3-k-m.json,codegemma:7b-instruct-q3_K_M
7b-instruct-q3-k-s,profiles/codegemma/sizes/7b-instruct-q3-k-s.json,codegemma:7b-instruct-q3_K_S
7b-instruct-q4-k-m,profiles/codegemma/sizes/7b-instruct-q4-k-m.json,codegemma:7b-instruct-q4_K_M
7b-instruct-q4-k-s,profiles/codegemma/sizes/7b-instruct-q4-k-s.json,codegemma:7b-instruct-q4_K_S
7b-instruct-q40,profiles/codegemma/sizes/7b-instruct-q40.json,codegemma:7b-instruct-q4_0
7b-instruct-q41,profiles/codegemma/sizes/7b-instruct-q41.json,codegemma:7b-instruct-q4_1
7b-instruct-q5-k-m,profiles/codegemma/sizes/7b-instruct-q5-k-m.json,codegemma:7b-instruct-q5_K_M
7b-instruct-q5-k-s,profiles/codegemma/sizes/7b-instruct-q5-k-s.json,codegemma:7b-instruct-q5_K_S
7b-instruct-q50,profiles/codegemma/sizes/7b-instruct-q50.json,codegemma:7b-instruct-q5_0
7b-instruct-q51,profiles/codegemma/sizes/7b-instruct-q51.json,codegemma:7b-instruct-q5_1
7b-instruct-q6-k,profiles/codegemma/sizes/7b-instruct-q6-k.json,codegemma:7b-instruct-q6_K
7b-instruct-q80,profiles/codegemma/sizes/7b-instruct-q80.json,codegemma:7b-instruct-q8_0
7b-instruct-v1.1-fp16,profiles/codegemma/sizes/7b-instruct-v1.1-fp16.json,codegemma:7b-instruct-v1.1-fp16
7b-instruct-v1.1-q2-k,profiles/codegemma/sizes/7b-instruct-v1.1-q2-k.json,codegemma:7b-instruct-v1.1-q2_K
7b-instruct-v1.1-q3-k-l,profiles/codegemma/sizes/7b-instruct-v1.1-q3-k-l.json,codegemma:7b-instruct-v1.1-q3_K_L
7b-instruct-v1.1-q3-k-m,profiles/codegemma/sizes/7b-instruct-v1.1-q3-k-m.json,codegemma:7b-instruct-v1.1-q3_K_M
7b-instruct-v1.1-q3-k-s,profiles/codegemma/sizes/7b-instruct-v1.1-q3-k-s.json,codegemma:7b-instruct-v1.1-q3_K_S
7b-instruct-v1.1-q4-k-m,profiles/codegemma/sizes/7b-instruct-v1.1-q4-k-m.json,codegemma:7b-instruct-v1.1-q4_K_M
7b-instruct-v1.1-q4-k-s,profiles/codegemma/sizes/7b-instruct-v1.1-q4-k-s.json,codegemma:7b-instruct-v1.1-q4_K_S
7b-instruct-v1.1-q40,profiles/codegemma/sizes/7b-instruct-v1.1-q40.json,codegemma:7b-instruct-v1.1-q4_0
7b-instruct-v1.1-q41,profiles/codegemma/sizes/7b-instruct-v1.1-q41.json,codegemma:7b-instruct-v1.1-q4_1
7b-instruct-v1.1-q5-k-m,profiles/codegemma/sizes/7b-instruct-v1.1-q5-k-m.json,codegemma:7b-instruct-v1.1-q5_K_M
7b-instruct-v1.1-q5-k-s,profiles/codegemma/sizes/7b-instruct-v1.1-q5-k-s.json,codegemma:7b-instruct-v1.1-q5_K_S
7b-instruct-v1.1-q50,profiles/codegemma/sizes/7b-instruct-v1.1-q50.json,codegemma:7b-instruct-v1.1-q5_0
7b-instruct-v1.1-q51,profiles/codegemma/sizes/7b-instruct-v1.1-q51.json,codegemma:7b-instruct-v1.1-q5_1
7b-instruct-v1.1-q6-k,profiles/codegemma/sizes/7b-instruct-v1.1-q6-k.json,codegemma:7b-instruct-v1.1-q6_K
7b-instruct-v1.1-q80,profiles/codegemma/sizes/7b-instruct-v1.1-q80.json,codegemma:7b-instruct-v1.1-q8_0
7b-v1.1,profiles/codegemma/sizes/7b-v1.1.json,codegemma:7b-v1.1
2b,profiles/codegemma/sizes/2b.json,codegemma:2b
2b-code,profiles/codegemma/sizes/2b-code.json,codegemma:2b-code
2b-code-fp16,profiles/codegemma/sizes/2b-code-fp16.json,codegemma:2b-code-fp16
2b-code-q2-k,profiles/codegemma/sizes/2b-code-q2-k.json,codegemma:2b-code-q2_K
2b-code-q3-k-l,profiles/codegemma/sizes/2b-code-q3-k-l.json,codegemma:2b-code-q3_K_L
2b-code-q3-k-m,profiles/codegemma/sizes/2b-code-q3-k-m.json,codegemma:2b-code-q3_K_M
2b-code-q3-k-s,profiles/codegemma/sizes/2b-code-q3-k-s.json,codegemma:2b-code-q3_K_S
2b-code-q4-k-m,profiles/codegemma/sizes/2b-code-q4-k-m.json,codegemma:2b-code-q4_K_M
2b-code-q4-k-s,profiles/codegemma/sizes/2b-code-q4-k-s.json,codegemma:2b-code-q4_K_S
2b-code-q40,profiles/codegemma/sizes/2b-code-q40.json,codegemma:2b-code-q4_0
2b-code-q41,profiles/codegemma/sizes/2b-code-q41.json,codegemma:2b-code-q4_1
2b-code-q5-k-m,profiles/codegemma/sizes/2b-code-q5-k-m.json,codegemma:2b-code-q5_K_M
2b-code-q5-k-s,profiles/codegemma/sizes/2b-code-q5-k-s.json,codegemma:2b-code-q5_K_S
2b-code-q50,profiles/codegemma/sizes/2b-code-q50.json,codegemma:2b-code-q5_0
2b-code-q51,profiles/codegemma/sizes/2b-code-q51.json,codegemma:2b-code-q5_1
2b-code-q6-k,profiles/codegemma/sizes/2b-code-q6-k.json,codegemma:2b-code-q6_K
2b-code-q80,profiles/codegemma/sizes/2b-code-q80.json,codegemma:2b-code-q8_0
2b-code-v1.1-fp16,profiles/codegemma/sizes/2b-code-v1.1-fp16.json,codegemma:2b-code-v1.1-fp16
2b-code-v1.1-q2-k,profiles/codegemma/sizes/2b-code-v1.1-q2-k.json,codegemma:2b-code-v1.1-q2_K
2b-code-v1.1-q3-k-l,profiles/codegemma/sizes/2b-code-v1.1-q3-k-l.json,codegemma:2b-code-v1.1-q3_K_L
2b-code-v1.1-q3-k-m,profiles/codegemma/sizes/2b-code-v1.1-q3-k-m.json,codegemma:2b-code-v1.1-q3_K_M
2b-code-v1.1-q3-k-s,profiles/codegemma/sizes/2b-code-v1.1-q3-k-s.json,codegemma:2b-code-v1.1-q3_K_S
2b-code-v1.1-q4-k-m,profiles/codegemma/sizes/2b-code-v1.1-q4-k-m.json,codegemma:2b-code-v1.1-q4_K_M
2b-code-v1.1-q4-k-s,profiles/codegemma/sizes/2b-code-v1.1-q4-k-s.json,codegemma:2b-code-v1.1-q4_K_S
2b-code-v1.1-q40,profiles/codegemma/sizes/2b-code-v1.1-q40.json,codegemma:2b-code-v1.1-q4_0
