size_slug,ollama_ref,size_file,fit_status
7b,codegemma:7b,../sizes/7b.json,no_fit
7b-code,codegemma:7b-code,../sizes/7b-code.json,no_fit
7b-code-fp16,codegemma:7b-code-fp16,../sizes/7b-code-fp16.json,no_fit
7b-code-q2-k,codegemma:7b-code-q2_K,../sizes/7b-code-q2-k.json,fit
7b-code-q3-k-l,codegemma:7b-code-q3_K_L,../sizes/7b-code-q3-k-l.json,no_fit
7b-code-q3-k-m,codegemma:7b-code-q3_K_M,../sizes/7b-code-q3-k-m.json,fit
7b-code-q3-k-s,codegemma:7b-code-q3_K_S,../sizes/7b-code-q3-k-s.json,fit
7b-code-q4-k-m,codegemma:7b-code-q4_K_M,../sizes/7b-code-q4-k-m.json,no_fit
7b-code-q4-k-s,codegemma:7b-code-q4_K_S,../sizes/7b-code-q4-k-s.json,no_fit
7b-code-q40,codegemma:7b-code-q4_0,../sizes/7b-code-q40.json,no_fit
7b-code-q41,codegemma:7b-code-q4_1,../sizes/7b-code-q41.json,no_fit
7b-code-q5-k-m,codegemma:7b-code-q5_K_M,../sizes/7b-code-q5-k-m.json,no_fit
7b-code-q5-k-s,codegemma:7b-code-q5_K_S,../sizes/7b-code-q5-k-s.json,no_fit
7b-code-q50,codegemma:7b-code-q5_0,../sizes/7b-code-q50.json,no_fit
7b-code-q51,codegemma:7b-code-q5_1,../sizes/7b-code-q51.json,no_fit
7b-code-q6-k,codegemma:7b-code-q6_K,../sizes/7b-code-q6-k.json,no_fit
7b-code-q80,codegemma:7b-code-q8_0,../sizes/7b-code-q80.json,no_fit
7b-instruct,codegemma:7b-instruct,../sizes/7b-instruct.json,no_fit
7b-instruct-fp16,codegemma:7b-instruct-fp16,../sizes/7b-instruct-fp16.json,no_fit
7b-instruct-q2-k,codegemma:7b-instruct-q2_K,../sizes/7b-instruct-q2-k.json,fit
7b-instruct-q3-k-l,codegemma:7b-instruct-q3_K_L,../sizes/7b-instruct-q3-k-l.json,no_fit
7b-instruct-q3-k-m,codegemma:7b-instruct-q3_K_M,../sizes/7b-instruct-q3-k-m.json,fit
7b-instruct-q3-k-s,codegemma:7b-instruct-q3_K_S,../sizes/7b-instruct-q3-k-s.json,fit
7b-instruct-q4-k-m,codegemma:7b-instruct-q4_K_M,../sizes/7b-instruct-q4-k-m.json,no_fit
7b-instruct-q4-k-s,codegemma:7b-instruct-q4_K_S,../sizes/7b-instruct-q4-k-s.json,no_fit
7b-instruct-q40,codegemma:7b-instruct-q4_0,../sizes/7b-instruct-q40.json,no_fit
7b-instruct-q41,codegemma:7b-instruct-q4_1,../sizes/7b-instruct-q41.json,no_fit
7b-instruct-q5-k-m,codegemma:7b-instruct-q5_K_M,../sizes/7b-instruct-q5-k-m.json,no_fit
7b-instruct-q5-k-s,codegemma:7b-instruct-q5_K_S,../sizes/7b-instruct-q5-k-s.json,no_fit
7b-instruct-q50,codegemma:7b-instruct-q5_0,../sizes/7b-instruct-q50.json,no_fit
7b-instruct-q51,codegemma:7b-instruct-q5_1,../sizes/7b-instruct-q51.json,no_fit
7b-instruct-q6-k,codegemma:7b-instruct-q6_K,../sizes/7b-instruct-q6-k.json,no_fit
7b-instruct-q80,codegemma:7b-instruct-q8_0,../sizes/7b-instruct-q80.json,no_fit
7b-instruct-v1.1-fp16,codegemma:7b-instruct-v1.1-fp16,../sizes/7b-instruct-v1.1-fp16.json,no_fit
7b-instruct-v1.1-q2-k,codegemma:7b-instruct-v1.1-q2_K,../sizes/7b-instruct-v1.1-q2-k.json,fit
7b-instruct-v1.1-q3-k-l,codegemma:7b-instruct-v1.1-q3_K_L,../sizes/7b-instruct-v1.1-q3-k-l.json,no_fit
7b-instruct-v1.1-q3-k-m,codegemma:7b-instruct-v1.1-q3_K_M,../sizes/7b-instruct-v1.1-q3-k-m.json,fit
7b-instruct-v1.1-q3-k-s,codegemma:7b-instruct-v1.1-q3_K_S,../sizes/7b-instruct-v1.1-q3-k-s.json,fit
7b-instruct-v1.1-q4-k-m,codegemma:7b-instruct-v1.1-q4_K_M,../sizes/7b-instruct-v1.1-q4-k-m.json,no_fit
7b-instruct-v1.1-q4-k-s,codegemma:7b-instruct-v1.1-q4_K_S,../sizes/7b-instruct-v1.1-q4-k-s.json,no_fit
7b-instruct-v1.1-q40,codegemma:7b-instruct-v1.1-q4_0,../sizes/7b-instruct-v1.1-q40.json,no_fit
7b-instruct-v1.1-q41,codegemma:7b-instruct-v1.1-q4_1,../sizes/7b-instruct-v1.1-q41.json,no_fit
7b-instruct-v1.1-q5-k-m,codegemma:7b-instruct-v1.1-q5_K_M,../sizes/7b-instruct-v1.1-q5-k-m.json,no_fit
7b-instruct-v1.1-q5-k-s,codegemma:7b-instruct-v1.1-q5_K_S,../sizes/7b-instruct-v1.1-q5-k-s.json,no_fit
7b-instruct-v1.1-q50,codegemma:7b-instruct-v1.1-q5_0,../sizes/7b-instruct-v1.1-q50.json,no_fit
7b-instruct-v1.1-q51,codegemma:7b-instruct-v1.1-q5_1,../sizes/7b-instruct-v1.1-q51.json,no_fit
7b-instruct-v1.1-q6-k,codegemma:7b-instruct-v1.1-q6_K,../sizes/7b-instruct-v1.1-q6-k.json,no_fit
7b-instruct-v1.1-q80,codegemma:7b-instruct-v1.1-q8_0,../sizes/7b-instruct-v1.1-q80.json,no_fit
7b-v1.1,codegemma:7b-v1.1,../sizes/7b-v1.1.json,no_fit
2b,codegemma:2b,../sizes/2b.json,fit
2b-code,codegemma:2b-code,../sizes/2b-code.json,fit
2b-code-fp16,codegemma:2b-code-fp16,../sizes/2b-code-fp16.json,fit
2b-code-q2-k,codegemma:2b-code-q2_K,../sizes/2b-code-q2-k.json,fit
2b-code-q3-k-l,codegemma:2b-code-q3_K_L,../sizes/2b-code-q3-k-l.json,fit
2b-code-q3-k-m,codegemma:2b-code-q3_K_M,../sizes/2b-code-q3-k-m.json,fit
2b-code-q3-k-s,codegemma:2b-code-q3_K_S,../sizes/2b-code-q3-k-s.json,fit
2b-code-q4-k-m,codegemma:2b-code-q4_K_M,../sizes/2b-code-q4-k-m.json,fit
2b-code-q4-k-s,codegemma:2b-code-q4_K_S,../sizes/2b-code-q4-k-s.json,fit
2b-code-q40,codegemma:2b-code-q4_0,../sizes/2b-code-q40.json,fit
2b-code-q41,codegemma:2b-code-q4_1,../sizes/2b-code-q41.json,fit
2b-code-q5-k-m,codegemma:2b-code-q5_K_M,../sizes/2b-code-q5-k-m.json,fit
2b-code-q5-k-s,codegemma:2b-code-q5_K_S,../sizes/2b-code-q5-k-s.json,fit
2b-code-q50,codegemma:2b-code-q5_0,../sizes/2b-code-q50.json,fit
2b-code-q51,codegemma:2b-code-q5_1,../sizes/2b-code-q51.json,fit
2b-code-q6-k,codegemma:2b-code-q6_K,../sizes/2b-code-q6-k.json,fit
2b-code-q80,codegemma:2b-code-q8_0,../sizes/2b-code-q80.json,fit
2b-code-v1.1-fp16,codegemma:2b-code-v1.1-fp16,../sizes/2b-code-v1.1-fp16.json,fit
2b-code-v1.1-q2-k,codegemma:2b-code-v1.1-q2_K,../sizes/2b-code-v1.1-q2-k.json,fit
2b-code-v1.1-q3-k-l,codegemma:2b-code-v1.1-q3_K_L,../sizes/2b-code-v1.1-q3-k-l.json,fit
2b-code-v1.1-q3-k-m,codegemma:2b-code-v1.1-q3_K_M,../sizes/2b-code-v1.1-q3-k-m.json,fit
2b-code-v1.1-q3-k-s,codegemma:2b-code-v1.1-q3_K_S,../sizes/2b-code-v1.1-q3-k-s.json,fit
2b-code-v1.1-q4-k-m,codegemma:2b-code-v1.1-q4_K_M,../sizes/2b-code-v1.1-q4-k-m.json,fit
2b-code-v1.1-q4-k-s,codegemma:2b-code-v1.1-q4_K_S,../sizes/2b-code-v1.1-q4-k-s.json,fit
2b-code-v1.1-q40,codegemma:2b-code-v1.1-q4_0,../sizes/2b-code-v1.1-q40.json,fit
2b-code-v1.1-q41,codegemma:2b-code-v1.1-q4_1,../sizes/2b-code-v1.1-q41.json,fit
2b-code-v1.1-q5-k-m,codegemma:2b-code-v1.1-q5_K_M,../sizes/2b-code-v1.1-q5-k-m.json,fit
2b-code-v1.1-q5-k-s,codegemma:2b-code-v1.1-q5_K_S,../sizes/2b-code-v1.1-q5-k-s.json,fit
2b-code-v1.1-q50,codegemma:2b-code-v1.1-q5_0,../sizes/2b-code-v1.1-q50.json,fit
2b-code-v1.1-q51,codegemma:2b-code-v1.1-q5_1,../sizes/2b-code-v1.1-q51.json,fit
2b-code-v1.1-q6-k,codegemma:2b-code-v1.1-q6_K,../sizes/2b-code-v1.1-q6-k.json,fit
2b-code-v1.1-q80,codegemma:2b-code-v1.1-q8_0,../sizes/2b-code-v1.1-q80.json,fit
2b-v1.1,codegemma:2b-v1.1,../sizes/2b-v1.1.json,fit
code,codegemma:code,../sizes/code.json,fit
instruct,codegemma:instruct,../sizes/instruct.json,fit
latest,codegemma:latest,../sizes/latest.json,fit
