size_slug,ollama_ref,size_file,fit_status
7b,codellama:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-code,codellama:7b-code,../sizes/7b-code.json,not_listed_in_agents_selection
7b-code-fp16,codellama:7b-code-fp16,../sizes/7b-code-fp16.json,not_listed_in_agents_selection
7b-code-q2_k,codellama:7b-code-q2_K,../sizes/7b-code-q2_k.json,not_listed_in_agents_selection
7b-code-q3_k_l,codellama:7b-code-q3_K_L,../sizes/7b-code-q3_k_l.json,not_listed_in_agents_selection
7b-code-q3_k_m,codellama:7b-code-q3_K_M,../sizes/7b-code-q3_k_m.json,not_listed_in_agents_selection
7b-code-q3_k_s,codellama:7b-code-q3_K_S,../sizes/7b-code-q3_k_s.json,not_listed_in_agents_selection
7b-code-q4_0,codellama:7b-code-q4_0,../sizes/7b-code-q4_0.json,not_listed_in_agents_selection
7b-code-q4_1,codellama:7b-code-q4_1,../sizes/7b-code-q4_1.json,not_listed_in_agents_selection
7b-code-q4_k_m,codellama:7b-code-q4_K_M,../sizes/7b-code-q4_k_m.json,not_listed_in_agents_selection
7b-code-q4_k_s,codellama:7b-code-q4_K_S,../sizes/7b-code-q4_k_s.json,not_listed_in_agents_selection
7b-code-q5_0,codellama:7b-code-q5_0,../sizes/7b-code-q5_0.json,not_listed_in_agents_selection
7b-code-q5_1,codellama:7b-code-q5_1,../sizes/7b-code-q5_1.json,not_listed_in_agents_selection
7b-code-q5_k_m,codellama:7b-code-q5_K_M,../sizes/7b-code-q5_k_m.json,not_listed_in_agents_selection
7b-code-q5_k_s,codellama:7b-code-q5_K_S,../sizes/7b-code-q5_k_s.json,not_listed_in_agents_selection
7b-code-q6_k,codellama:7b-code-q6_K,../sizes/7b-code-q6_k.json,not_listed_in_agents_selection
7b-code-q8_0,codellama:7b-code-q8_0,../sizes/7b-code-q8_0.json,not_listed_in_agents_selection
7b-instruct,codellama:7b-instruct,../sizes/7b-instruct.json,not_listed_in_agents_selection
7b-instruct-fp16,codellama:7b-instruct-fp16,../sizes/7b-instruct-fp16.json,not_listed_in_agents_selection
7b-instruct-q2_k,codellama:7b-instruct-q2_K,../sizes/7b-instruct-q2_k.json,not_listed_in_agents_selection
7b-instruct-q3_k_l,codellama:7b-instruct-q3_K_L,../sizes/7b-instruct-q3_k_l.json,not_listed_in_agents_selection
