size_slug,ollama_ref,size_file,fit_status
70b,codellama:70b,../sizes/70b.json,no_fit
70b-code,codellama:70b-code,../sizes/70b-code.json,no_fit
70b-code-fp16,codellama:70b-code-fp16,../sizes/70b-code-fp16.json,no_fit
70b-code-q2-k,codellama:70b-code-q2_K,../sizes/70b-code-q2-k.json,no_fit
70b-code-q3-k-l,codellama:70b-code-q3_K_L,../sizes/70b-code-q3-k-l.json,no_fit
70b-code-q3-k-m,codellama:70b-code-q3_K_M,../sizes/70b-code-q3-k-m.json,no_fit
70b-code-q3-k-s,codellama:70b-code-q3_K_S,../sizes/70b-code-q3-k-s.json,no_fit
70b-code-q4-k-m,codellama:70b-code-q4_K_M,../sizes/70b-code-q4-k-m.json,no_fit
70b-code-q4-k-s,codellama:70b-code-q4_K_S,../sizes/70b-code-q4-k-s.json,no_fit
70b-code-q40,codellama:70b-code-q4_0,../sizes/70b-code-q40.json,no_fit
70b-code-q41,codellama:70b-code-q4_1,../sizes/70b-code-q41.json,no_fit
70b-code-q5-k-m,codellama:70b-code-q5_K_M,../sizes/70b-code-q5-k-m.json,no_fit
70b-code-q5-k-s,codellama:70b-code-q5_K_S,../sizes/70b-code-q5-k-s.json,no_fit
70b-code-q50,codellama:70b-code-q5_0,../sizes/70b-code-q50.json,no_fit
70b-code-q51,codellama:70b-code-q5_1,../sizes/70b-code-q51.json,no_fit
70b-code-q6-k,codellama:70b-code-q6_K,../sizes/70b-code-q6-k.json,no_fit
70b-code-q80,codellama:70b-code-q8_0,../sizes/70b-code-q80.json,no_fit
70b-instruct,codellama:70b-instruct,../sizes/70b-instruct.json,no_fit
70b-instruct-fp16,codellama:70b-instruct-fp16,../sizes/70b-instruct-fp16.json,no_fit
70b-instruct-q2-k,codellama:70b-instruct-q2_K,../sizes/70b-instruct-q2-k.json,no_fit
70b-instruct-q3-k-l,codellama:70b-instruct-q3_K_L,../sizes/70b-instruct-q3-k-l.json,no_fit
70b-instruct-q3-k-m,codellama:70b-instruct-q3_K_M,../sizes/70b-instruct-q3-k-m.json,no_fit
70b-instruct-q3-k-s,codellama:70b-instruct-q3_K_S,../sizes/70b-instruct-q3-k-s.json,no_fit
70b-instruct-q4-k-m,codellama:70b-instruct-q4_K_M,../sizes/70b-instruct-q4-k-m.json,no_fit
70b-instruct-q4-k-s,codellama:70b-instruct-q4_K_S,../sizes/70b-instruct-q4-k-s.json,no_fit
70b-instruct-q40,codellama:70b-instruct-q4_0,../sizes/70b-instruct-q40.json,no_fit
70b-instruct-q41,codellama:70b-instruct-q4_1,../sizes/70b-instruct-q41.json,no_fit
70b-instruct-q5-k-m,codellama:70b-instruct-q5_K_M,../sizes/70b-instruct-q5-k-m.json,no_fit
70b-instruct-q5-k-s,codellama:70b-instruct-q5_K_S,../sizes/70b-instruct-q5-k-s.json,no_fit
70b-instruct-q50,codellama:70b-instruct-q5_0,../sizes/70b-instruct-q50.json,no_fit
70b-instruct-q51,codellama:70b-instruct-q5_1,../sizes/70b-instruct-q51.json,no_fit
70b-instruct-q6-k,codellama:70b-instruct-q6_K,../sizes/70b-instruct-q6-k.json,no_fit
70b-instruct-q80,codellama:70b-instruct-q8_0,../sizes/70b-instruct-q80.json,no_fit
70b-python,codellama:70b-python,../sizes/70b-python.json,no_fit
70b-python-fp16,codellama:70b-python-fp16,../sizes/70b-python-fp16.json,no_fit
70b-python-q2-k,codellama:70b-python-q2_K,../sizes/70b-python-q2-k.json,no_fit
70b-python-q3-k-l,codellama:70b-python-q3_K_L,../sizes/70b-python-q3-k-l.json,no_fit
70b-python-q3-k-m,codellama:70b-python-q3_K_M,../sizes/70b-python-q3-k-m.json,no_fit
70b-python-q3-k-s,codellama:70b-python-q3_K_S,../sizes/70b-python-q3-k-s.json,no_fit
70b-python-q4-k-m,codellama:70b-python-q4_K_M,../sizes/70b-python-q4-k-m.json,no_fit
70b-python-q4-k-s,codellama:70b-python-q4_K_S,../sizes/70b-python-q4-k-s.json,no_fit
70b-python-q40,codellama:70b-python-q4_0,../sizes/70b-python-q40.json,no_fit
70b-python-q41,codellama:70b-python-q4_1,../sizes/70b-python-q41.json,no_fit
70b-python-q5-k-m,codellama:70b-python-q5_K_M,../sizes/70b-python-q5-k-m.json,no_fit
70b-python-q5-k-s,codellama:70b-python-q5_K_S,../sizes/70b-python-q5-k-s.json,no_fit
70b-python-q50,codellama:70b-python-q5_0,../sizes/70b-python-q50.json,no_fit
70b-python-q51,codellama:70b-python-q5_1,../sizes/70b-python-q51.json,no_fit
70b-python-q6-k,codellama:70b-python-q6_K,../sizes/70b-python-q6-k.json,no_fit
70b-python-q80,codellama:70b-python-q8_0,../sizes/70b-python-q80.json,no_fit
34b,codellama:34b,../sizes/34b.json,no_fit
34b-code,codellama:34b-code,../sizes/34b-code.json,no_fit
34b-code-q2-k,codellama:34b-code-q2_K,../sizes/34b-code-q2-k.json,no_fit
34b-code-q3-k-l,codellama:34b-code-q3_K_L,../sizes/34b-code-q3-k-l.json,no_fit
34b-code-q3-k-m,codellama:34b-code-q3_K_M,../sizes/34b-code-q3-k-m.json,no_fit
34b-code-q3-k-s,codellama:34b-code-q3_K_S,../sizes/34b-code-q3-k-s.json,no_fit
34b-code-q4-k-m,codellama:34b-code-q4_K_M,../sizes/34b-code-q4-k-m.json,no_fit
34b-code-q4-k-s,codellama:34b-code-q4_K_S,../sizes/34b-code-q4-k-s.json,no_fit
34b-code-q40,codellama:34b-code-q4_0,../sizes/34b-code-q40.json,no_fit
34b-code-q41,codellama:34b-code-q4_1,../sizes/34b-code-q41.json,no_fit
34b-code-q5-k-m,codellama:34b-code-q5_K_M,../sizes/34b-code-q5-k-m.json,no_fit
34b-code-q5-k-s,codellama:34b-code-q5_K_S,../sizes/34b-code-q5-k-s.json,no_fit
34b-code-q50,codellama:34b-code-q5_0,../sizes/34b-code-q50.json,no_fit
34b-code-q51,codellama:34b-code-q5_1,../sizes/34b-code-q51.json,no_fit
34b-code-q6-k,codellama:34b-code-q6_K,../sizes/34b-code-q6-k.json,no_fit
34b-code-q80,codellama:34b-code-q8_0,../sizes/34b-code-q80.json,no_fit
34b-instruct,codellama:34b-instruct,../sizes/34b-instruct.json,no_fit
34b-instruct-fp16,codellama:34b-instruct-fp16,../sizes/34b-instruct-fp16.json,no_fit
34b-instruct-q2-k,codellama:34b-instruct-q2_K,../sizes/34b-instruct-q2-k.json,no_fit
34b-instruct-q3-k-l,codellama:34b-instruct-q3_K_L,../sizes/34b-instruct-q3-k-l.json,no_fit
34b-instruct-q3-k-m,codellama:34b-instruct-q3_K_M,../sizes/34b-instruct-q3-k-m.json,no_fit
34b-instruct-q3-k-s,codellama:34b-instruct-q3_K_S,../sizes/34b-instruct-q3-k-s.json,no_fit
34b-instruct-q4-k-m,codellama:34b-instruct-q4_K_M,../sizes/34b-instruct-q4-k-m.json,no_fit
34b-instruct-q4-k-s,codellama:34b-instruct-q4_K_S,../sizes/34b-instruct-q4-k-s.json,no_fit
34b-instruct-q40,codellama:34b-instruct-q4_0,../sizes/34b-instruct-q40.json,no_fit
34b-instruct-q41,codellama:34b-instruct-q4_1,../sizes/34b-instruct-q41.json,no_fit
34b-instruct-q5-k-m,codellama:34b-instruct-q5_K_M,../sizes/34b-instruct-q5-k-m.json,no_fit
34b-instruct-q5-k-s,codellama:34b-instruct-q5_K_S,../sizes/34b-instruct-q5-k-s.json,no_fit
34b-instruct-q50,codellama:34b-instruct-q5_0,../sizes/34b-instruct-q50.json,no_fit
34b-instruct-q51,codellama:34b-instruct-q5_1,../sizes/34b-instruct-q51.json,no_fit
34b-instruct-q6-k,codellama:34b-instruct-q6_K,../sizes/34b-instruct-q6-k.json,no_fit
34b-instruct-q80,codellama:34b-instruct-q8_0,../sizes/34b-instruct-q80.json,no_fit
34b-python,codellama:34b-python,../sizes/34b-python.json,no_fit
34b-python-fp16,codellama:34b-python-fp16,../sizes/34b-python-fp16.json,no_fit
34b-python-q2-k,codellama:34b-python-q2_K,../sizes/34b-python-q2-k.json,no_fit
34b-python-q3-k-l,codellama:34b-python-q3_K_L,../sizes/34b-python-q3-k-l.json,no_fit
34b-python-q3-k-m,codellama:34b-python-q3_K_M,../sizes/34b-python-q3-k-m.json,no_fit
34b-python-q3-k-s,codellama:34b-python-q3_K_S,../sizes/34b-python-q3-k-s.json,no_fit
34b-python-q4-k-m,codellama:34b-python-q4_K_M,../sizes/34b-python-q4-k-m.json,no_fit
34b-python-q4-k-s,codellama:34b-python-q4_K_S,../sizes/34b-python-q4-k-s.json,no_fit
34b-python-q40,codellama:34b-python-q4_0,../sizes/34b-python-q40.json,no_fit
34b-python-q41,codellama:34b-python-q4_1,../sizes/34b-python-q41.json,no_fit
34b-python-q5-k-m,codellama:34b-python-q5_K_M,../sizes/34b-python-q5-k-m.json,no_fit
34b-python-q5-k-s,codellama:34b-python-q5_K_S,../sizes/34b-python-q5-k-s.json,no_fit
34b-python-q50,codellama:34b-python-q5_0,../sizes/34b-python-q50.json,no_fit
34b-python-q51,codellama:34b-python-q5_1,../sizes/34b-python-q51.json,no_fit
34b-python-q6-k,codellama:34b-python-q6_K,../sizes/34b-python-q6-k.json,no_fit
34b-python-q80,codellama:34b-python-q8_0,../sizes/34b-python-q80.json,no_fit
13b,codellama:13b,../sizes/13b.json,unknown
13b-code,codellama:13b-code,../sizes/13b-code.json,unknown
13b-code-fp16,codellama:13b-code-fp16,../sizes/13b-code-fp16.json,no_fit
13b-code-q2-k,codellama:13b-code-q2_K,../sizes/13b-code-q2-k.json,unknown
13b-code-q3-k-l,codellama:13b-code-q3_K_L,../sizes/13b-code-q3-k-l.json,unknown
13b-code-q3-k-m,codellama:13b-code-q3_K_M,../sizes/13b-code-q3-k-m.json,unknown
13b-code-q3-k-s,codellama:13b-code-q3_K_S,../sizes/13b-code-q3-k-s.json,unknown
13b-code-q4-k-m,codellama:13b-code-q4_K_M,../sizes/13b-code-q4-k-m.json,unknown
13b-code-q4-k-s,codellama:13b-code-q4_K_S,../sizes/13b-code-q4-k-s.json,unknown
13b-code-q40,codellama:13b-code-q4_0,../sizes/13b-code-q40.json,unknown
13b-code-q41,codellama:13b-code-q4_1,../sizes/13b-code-q41.json,unknown
13b-code-q5-k-m,codellama:13b-code-q5_K_M,../sizes/13b-code-q5-k-m.json,unknown
13b-code-q5-k-s,codellama:13b-code-q5_K_S,../sizes/13b-code-q5-k-s.json,unknown
13b-code-q50,codellama:13b-code-q5_0,../sizes/13b-code-q50.json,unknown
13b-code-q51,codellama:13b-code-q5_1,../sizes/13b-code-q51.json,unknown
13b-code-q6-k,codellama:13b-code-q6_K,../sizes/13b-code-q6-k.json,unknown
13b-code-q80,codellama:13b-code-q8_0,../sizes/13b-code-q80.json,no_fit
13b-instruct,codellama:13b-instruct,../sizes/13b-instruct.json,unknown
13b-instruct-fp16,codellama:13b-instruct-fp16,../sizes/13b-instruct-fp16.json,no_fit
13b-instruct-q2-k,codellama:13b-instruct-q2_K,../sizes/13b-instruct-q2-k.json,unknown
13b-instruct-q3-k-l,codellama:13b-instruct-q3_K_L,../sizes/13b-instruct-q3-k-l.json,unknown
13b-instruct-q3-k-m,codellama:13b-instruct-q3_K_M,../sizes/13b-instruct-q3-k-m.json,unknown
13b-instruct-q3-k-s,codellama:13b-instruct-q3_K_S,../sizes/13b-instruct-q3-k-s.json,unknown
13b-instruct-q4-k-m,codellama:13b-instruct-q4_K_M,../sizes/13b-instruct-q4-k-m.json,unknown
13b-instruct-q4-k-s,codellama:13b-instruct-q4_K_S,../sizes/13b-instruct-q4-k-s.json,unknown
13b-instruct-q40,codellama:13b-instruct-q4_0,../sizes/13b-instruct-q40.json,unknown
13b-instruct-q41,codellama:13b-instruct-q4_1,../sizes/13b-instruct-q41.json,unknown
13b-instruct-q5-k-m,codellama:13b-instruct-q5_K_M,../sizes/13b-instruct-q5-k-m.json,unknown
13b-instruct-q5-k-s,codellama:13b-instruct-q5_K_S,../sizes/13b-instruct-q5-k-s.json,unknown
13b-instruct-q50,codellama:13b-instruct-q5_0,../sizes/13b-instruct-q50.json,unknown
13b-instruct-q51,codellama:13b-instruct-q5_1,../sizes/13b-instruct-q51.json,unknown
13b-instruct-q6-k,codellama:13b-instruct-q6_K,../sizes/13b-instruct-q6-k.json,unknown
13b-instruct-q80,codellama:13b-instruct-q8_0,../sizes/13b-instruct-q80.json,no_fit
13b-python,codellama:13b-python,../sizes/13b-python.json,unknown
13b-python-fp16,codellama:13b-python-fp16,../sizes/13b-python-fp16.json,no_fit
13b-python-q2-k,codellama:13b-python-q2_K,../sizes/13b-python-q2-k.json,unknown
13b-python-q3-k-l,codellama:13b-python-q3_K_L,../sizes/13b-python-q3-k-l.json,unknown
13b-python-q3-k-m,codellama:13b-python-q3_K_M,../sizes/13b-python-q3-k-m.json,unknown
13b-python-q3-k-s,codellama:13b-python-q3_K_S,../sizes/13b-python-q3-k-s.json,unknown
13b-python-q4-k-m,codellama:13b-python-q4_K_M,../sizes/13b-python-q4-k-m.json,unknown
13b-python-q4-k-s,codellama:13b-python-q4_K_S,../sizes/13b-python-q4-k-s.json,unknown
13b-python-q40,codellama:13b-python-q4_0,../sizes/13b-python-q40.json,unknown
13b-python-q41,codellama:13b-python-q4_1,../sizes/13b-python-q41.json,unknown
13b-python-q5-k-m,codellama:13b-python-q5_K_M,../sizes/13b-python-q5-k-m.json,unknown
13b-python-q5-k-s,codellama:13b-python-q5_K_S,../sizes/13b-python-q5-k-s.json,unknown
13b-python-q50,codellama:13b-python-q5_0,../sizes/13b-python-q50.json,unknown
13b-python-q51,codellama:13b-python-q5_1,../sizes/13b-python-q51.json,unknown
13b-python-q6-k,codellama:13b-python-q6_K,../sizes/13b-python-q6-k.json,unknown
13b-python-q80,codellama:13b-python-q8_0,../sizes/13b-python-q80.json,no_fit
7b,codellama:7b,../sizes/7b.json,unknown
7b-code,codellama:7b-code,../sizes/7b-code.json,unknown
7b-code-fp16,codellama:7b-code-fp16,../sizes/7b-code-fp16.json,unknown
7b-code-q2-k,codellama:7b-code-q2_K,../sizes/7b-code-q2-k.json,unknown
7b-code-q3-k-l,codellama:7b-code-q3_K_L,../sizes/7b-code-q3-k-l.json,unknown
7b-code-q3-k-m,codellama:7b-code-q3_K_M,../sizes/7b-code-q3-k-m.json,unknown
7b-code-q3-k-s,codellama:7b-code-q3_K_S,../sizes/7b-code-q3-k-s.json,unknown
7b-code-q4-k-m,codellama:7b-code-q4_K_M,../sizes/7b-code-q4-k-m.json,unknown
7b-code-q4-k-s,codellama:7b-code-q4_K_S,../sizes/7b-code-q4-k-s.json,unknown
7b-code-q40,codellama:7b-code-q4_0,../sizes/7b-code-q40.json,unknown
7b-code-q41,codellama:7b-code-q4_1,../sizes/7b-code-q41.json,unknown
7b-code-q5-k-m,codellama:7b-code-q5_K_M,../sizes/7b-code-q5-k-m.json,unknown
7b-code-q5-k-s,codellama:7b-code-q5_K_S,../sizes/7b-code-q5-k-s.json,unknown
7b-code-q50,codellama:7b-code-q5_0,../sizes/7b-code-q50.json,unknown
7b-code-q51,codellama:7b-code-q5_1,../sizes/7b-code-q51.json,unknown
7b-code-q6-k,codellama:7b-code-q6_K,../sizes/7b-code-q6-k.json,unknown
7b-code-q80,codellama:7b-code-q8_0,../sizes/7b-code-q80.json,unknown
7b-instruct,codellama:7b-instruct,../sizes/7b-instruct.json,unknown
7b-instruct-fp16,codellama:7b-instruct-fp16,../sizes/7b-instruct-fp16.json,unknown
