size_slug,ollama_ref,size_file
7b,codeqwen:7b,sizes/7b.json
7b-chat,codeqwen:7b-chat,sizes/7b-chat.json
7b-chat-v1-5-fp16,codeqwen:7b-chat-v1.5-fp16,sizes/7b-chat-v1-5-fp16.json
7b-chat-v1-5-q2_k,codeqwen:7b-chat-v1.5-q2_K,sizes/7b-chat-v1-5-q2_k.json
7b-chat-v1-5-q3_k_l,codeqwen:7b-chat-v1.5-q3_K_L,sizes/7b-chat-v1-5-q3_k_l.json
7b-chat-v1-5-q3_k_m,codeqwen:7b-chat-v1.5-q3_K_M,sizes/7b-chat-v1-5-q3_k_m.json
7b-chat-v1-5-q3_k_s,codeqwen:7b-chat-v1.5-q3_K_S,sizes/7b-chat-v1-5-q3_k_s.json
7b-chat-v1-5-q4_0,codeqwen:7b-chat-v1.5-q4_0,sizes/7b-chat-v1-5-q4_0.json
7b-chat-v1-5-q4_1,codeqwen:7b-chat-v1.5-q4_1,sizes/7b-chat-v1-5-q4_1.json
7b-chat-v1-5-q4_k_m,codeqwen:7b-chat-v1.5-q4_K_M,sizes/7b-chat-v1-5-q4_k_m.json
7b-chat-v1-5-q4_k_s,codeqwen:7b-chat-v1.5-q4_K_S,sizes/7b-chat-v1-5-q4_k_s.json
7b-chat-v1-5-q5_0,codeqwen:7b-chat-v1.5-q5_0,sizes/7b-chat-v1-5-q5_0.json
7b-chat-v1-5-q5_1,codeqwen:7b-chat-v1.5-q5_1,sizes/7b-chat-v1-5-q5_1.json
7b-chat-v1-5-q5_k_m,codeqwen:7b-chat-v1.5-q5_K_M,sizes/7b-chat-v1-5-q5_k_m.json
7b-chat-v1-5-q5_k_s,codeqwen:7b-chat-v1.5-q5_K_S,sizes/7b-chat-v1-5-q5_k_s.json
7b-chat-v1-5-q6_k,codeqwen:7b-chat-v1.5-q6_K,sizes/7b-chat-v1-5-q6_k.json
7b-chat-v1-5-q8_0,codeqwen:7b-chat-v1.5-q8_0,sizes/7b-chat-v1-5-q8_0.json
7b-code,codeqwen:7b-code,sizes/7b-code.json
7b-code-v1-5-fp16,codeqwen:7b-code-v1.5-fp16,sizes/7b-code-v1-5-fp16.json
7b-code-v1-5-q4_0,codeqwen:7b-code-v1.5-q4_0,sizes/7b-code-v1-5-q4_0.json
7b-code-v1-5-q4_1,codeqwen:7b-code-v1.5-q4_1,sizes/7b-code-v1-5-q4_1.json
7b-code-v1-5-q5_0,codeqwen:7b-code-v1.5-q5_0,sizes/7b-code-v1-5-q5_0.json
7b-code-v1-5-q5_1,codeqwen:7b-code-v1.5-q5_1,sizes/7b-code-v1-5-q5_1.json
7b-code-v1-5-q8_0,codeqwen:7b-code-v1.5-q8_0,sizes/7b-code-v1-5-q8_0.json
chat,codeqwen:chat,sizes/chat.json
code,codeqwen:code,sizes/code.json
latest,codeqwen:latest,sizes/latest.json
v1-5,codeqwen:v1.5,sizes/v1-5.json
v1-5-chat,codeqwen:v1.5-chat,sizes/v1-5-chat.json
v1-5-code,codeqwen:v1.5-code,sizes/v1-5-code.json
