size_slug,size_json_path,ollama_ref
7b,profiles/codeqwen/sizes/7b.json,codeqwen:7b
7b-chat,profiles/codeqwen/sizes/7b-chat.json,codeqwen:7b-chat
7b-chat-v1.5-fp16,profiles/codeqwen/sizes/7b-chat-v1.5-fp16.json,codeqwen:7b-chat-v1.5-fp16
7b-chat-v1.5-q2-k,profiles/codeqwen/sizes/7b-chat-v1.5-q2-k.json,codeqwen:7b-chat-v1.5-q2_K
7b-chat-v1.5-q3-k-l,profiles/codeqwen/sizes/7b-chat-v1.5-q3-k-l.json,codeqwen:7b-chat-v1.5-q3_K_L
7b-chat-v1.5-q3-k-m,profiles/codeqwen/sizes/7b-chat-v1.5-q3-k-m.json,codeqwen:7b-chat-v1.5-q3_K_M
7b-chat-v1.5-q3-k-s,profiles/codeqwen/sizes/7b-chat-v1.5-q3-k-s.json,codeqwen:7b-chat-v1.5-q3_K_S
7b-chat-v1.5-q4-k-m,profiles/codeqwen/sizes/7b-chat-v1.5-q4-k-m.json,codeqwen:7b-chat-v1.5-q4_K_M
7b-chat-v1.5-q4-k-s,profiles/codeqwen/sizes/7b-chat-v1.5-q4-k-s.json,codeqwen:7b-chat-v1.5-q4_K_S
7b-chat-v1.5-q40,profiles/codeqwen/sizes/7b-chat-v1.5-q40.json,codeqwen:7b-chat-v1.5-q4_0
7b-chat-v1.5-q41,profiles/codeqwen/sizes/7b-chat-v1.5-q41.json,codeqwen:7b-chat-v1.5-q4_1
7b-chat-v1.5-q5-k-m,profiles/codeqwen/sizes/7b-chat-v1.5-q5-k-m.json,codeqwen:7b-chat-v1.5-q5_K_M
7b-chat-v1.5-q5-k-s,profiles/codeqwen/sizes/7b-chat-v1.5-q5-k-s.json,codeqwen:7b-chat-v1.5-q5_K_S
7b-chat-v1.5-q50,profiles/codeqwen/sizes/7b-chat-v1.5-q50.json,codeqwen:7b-chat-v1.5-q5_0
7b-chat-v1.5-q51,profiles/codeqwen/sizes/7b-chat-v1.5-q51.json,codeqwen:7b-chat-v1.5-q5_1
7b-chat-v1.5-q6-k,profiles/codeqwen/sizes/7b-chat-v1.5-q6-k.json,codeqwen:7b-chat-v1.5-q6_K
7b-chat-v1.5-q80,profiles/codeqwen/sizes/7b-chat-v1.5-q80.json,codeqwen:7b-chat-v1.5-q8_0
7b-code,profiles/codeqwen/sizes/7b-code.json,codeqwen:7b-code
7b-code-v1.5-fp16,profiles/codeqwen/sizes/7b-code-v1.5-fp16.json,codeqwen:7b-code-v1.5-fp16
7b-code-v1.5-q40,profiles/codeqwen/sizes/7b-code-v1.5-q40.json,codeqwen:7b-code-v1.5-q4_0
7b-code-v1.5-q41,profiles/codeqwen/sizes/7b-code-v1.5-q41.json,codeqwen:7b-code-v1.5-q4_1
7b-code-v1.5-q50,profiles/codeqwen/sizes/7b-code-v1.5-q50.json,codeqwen:7b-code-v1.5-q5_0
7b-code-v1.5-q51,profiles/codeqwen/sizes/7b-code-v1.5-q51.json,codeqwen:7b-code-v1.5-q5_1
7b-code-v1.5-q80,profiles/codeqwen/sizes/7b-code-v1.5-q80.json,codeqwen:7b-code-v1.5-q8_0
chat,profiles/codeqwen/sizes/chat.json,codeqwen:chat
code,profiles/codeqwen/sizes/code.json,codeqwen:code
latest,profiles/codeqwen/sizes/latest.json,codeqwen:latest
v1.5,profiles/codeqwen/sizes/v1.5.json,codeqwen:v1.5
v1.5-chat,profiles/codeqwen/sizes/v1.5-chat.json,codeqwen:v1.5-chat
v1.5-code,profiles/codeqwen/sizes/v1.5-code.json,codeqwen:v1.5-code
