size_slug,ollama_ref,size_file
22b,codestral:22b,sizes/22b.json
22b-v0-1-q2_k,codestral:22b-v0.1-q2_K,sizes/22b-v0-1-q2_k.json
22b-v0-1-q3_k_l,codestral:22b-v0.1-q3_K_L,sizes/22b-v0-1-q3_k_l.json
22b-v0-1-q3_k_m,codestral:22b-v0.1-q3_K_M,sizes/22b-v0-1-q3_k_m.json
22b-v0-1-q3_k_s,codestral:22b-v0.1-q3_K_S,sizes/22b-v0-1-q3_k_s.json
22b-v0-1-q4_0,codestral:22b-v0.1-q4_0,sizes/22b-v0-1-q4_0.json
22b-v0-1-q4_1,codestral:22b-v0.1-q4_1,sizes/22b-v0-1-q4_1.json
22b-v0-1-q4_k_m,codestral:22b-v0.1-q4_K_M,sizes/22b-v0-1-q4_k_m.json
22b-v0-1-q4_k_s,codestral:22b-v0.1-q4_K_S,sizes/22b-v0-1-q4_k_s.json
22b-v0-1-q5_0,codestral:22b-v0.1-q5_0,sizes/22b-v0-1-q5_0.json
22b-v0-1-q5_1,codestral:22b-v0.1-q5_1,sizes/22b-v0-1-q5_1.json
22b-v0-1-q5_k_m,codestral:22b-v0.1-q5_K_M,sizes/22b-v0-1-q5_k_m.json
22b-v0-1-q5_k_s,codestral:22b-v0.1-q5_K_S,sizes/22b-v0-1-q5_k_s.json
22b-v0-1-q6_k,codestral:22b-v0.1-q6_K,sizes/22b-v0-1-q6_k.json
22b-v0-1-q8_0,codestral:22b-v0.1-q8_0,sizes/22b-v0-1-q8_0.json
latest,codestral:latest,sizes/latest.json
v0-1,codestral:v0.1,sizes/v0-1.json
