size_slug,size_json_path,ollama_ref
22b,profiles/codestral/sizes/22b.json,codestral:22b
22b-v0.1-q2-k,profiles/codestral/sizes/22b-v0.1-q2-k.json,codestral:22b-v0.1-q2_K
22b-v0.1-q3-k-l,profiles/codestral/sizes/22b-v0.1-q3-k-l.json,codestral:22b-v0.1-q3_K_L
22b-v0.1-q3-k-m,profiles/codestral/sizes/22b-v0.1-q3-k-m.json,codestral:22b-v0.1-q3_K_M
22b-v0.1-q3-k-s,profiles/codestral/sizes/22b-v0.1-q3-k-s.json,codestral:22b-v0.1-q3_K_S
22b-v0.1-q4-k-m,profiles/codestral/sizes/22b-v0.1-q4-k-m.json,codestral:22b-v0.1-q4_K_M
22b-v0.1-q4-k-s,profiles/codestral/sizes/22b-v0.1-q4-k-s.json,codestral:22b-v0.1-q4_K_S
22b-v0.1-q40,profiles/codestral/sizes/22b-v0.1-q40.json,codestral:22b-v0.1-q4_0
22b-v0.1-q41,profiles/codestral/sizes/22b-v0.1-q41.json,codestral:22b-v0.1-q4_1
22b-v0.1-q5-k-m,profiles/codestral/sizes/22b-v0.1-q5-k-m.json,codestral:22b-v0.1-q5_K_M
22b-v0.1-q5-k-s,profiles/codestral/sizes/22b-v0.1-q5-k-s.json,codestral:22b-v0.1-q5_K_S
22b-v0.1-q50,profiles/codestral/sizes/22b-v0.1-q50.json,codestral:22b-v0.1-q5_0
22b-v0.1-q51,profiles/codestral/sizes/22b-v0.1-q51.json,codestral:22b-v0.1-q5_1
22b-v0.1-q6-k,profiles/codestral/sizes/22b-v0.1-q6-k.json,codestral:22b-v0.1-q6_K
22b-v0.1-q80,profiles/codestral/sizes/22b-v0.1-q80.json,codestral:22b-v0.1-q8_0
latest,profiles/codestral/sizes/latest.json,codestral:latest
v0.1,profiles/codestral/sizes/v0.1.json,codestral:v0.1
