size_slug,size_json_path,ollama_ref
13b,profiles/codeup/sizes/13b.json,codeup:13b
13b-llama2,profiles/codeup/sizes/13b-llama2.json,codeup:13b-llama2
13b-llama2-chat,profiles/codeup/sizes/13b-llama2-chat.json,codeup:13b-llama2-chat
13b-llama2-chat-fp16,profiles/codeup/sizes/13b-llama2-chat-fp16.json,codeup:13b-llama2-chat-fp16
13b-llama2-chat-q2-k,profiles/codeup/sizes/13b-llama2-chat-q2-k.json,codeup:13b-llama2-chat-q2_K
13b-llama2-chat-q3-k-l,profiles/codeup/sizes/13b-llama2-chat-q3-k-l.json,codeup:13b-llama2-chat-q3_K_L
13b-llama2-chat-q3-k-m,profiles/codeup/sizes/13b-llama2-chat-q3-k-m.json,codeup:13b-llama2-chat-q3_K_M
13b-llama2-chat-q3-k-s,profiles/codeup/sizes/13b-llama2-chat-q3-k-s.json,codeup:13b-llama2-chat-q3_K_S
13b-llama2-chat-q4-k-m,profiles/codeup/sizes/13b-llama2-chat-q4-k-m.json,codeup:13b-llama2-chat-q4_K_M
13b-llama2-chat-q4-k-s,profiles/codeup/sizes/13b-llama2-chat-q4-k-s.json,codeup:13b-llama2-chat-q4_K_S
13b-llama2-chat-q40,profiles/codeup/sizes/13b-llama2-chat-q40.json,codeup:13b-llama2-chat-q4_0
13b-llama2-chat-q41,profiles/codeup/sizes/13b-llama2-chat-q41.json,codeup:13b-llama2-chat-q4_1
13b-llama2-chat-q5-k-m,profiles/codeup/sizes/13b-llama2-chat-q5-k-m.json,codeup:13b-llama2-chat-q5_K_M
13b-llama2-chat-q5-k-s,profiles/codeup/sizes/13b-llama2-chat-q5-k-s.json,codeup:13b-llama2-chat-q5_K_S
13b-llama2-chat-q50,profiles/codeup/sizes/13b-llama2-chat-q50.json,codeup:13b-llama2-chat-q5_0
13b-llama2-chat-q51,profiles/codeup/sizes/13b-llama2-chat-q51.json,codeup:13b-llama2-chat-q5_1
13b-llama2-chat-q6-k,profiles/codeup/sizes/13b-llama2-chat-q6-k.json,codeup:13b-llama2-chat-q6_K
13b-llama2-chat-q80,profiles/codeup/sizes/13b-llama2-chat-q80.json,codeup:13b-llama2-chat-q8_0
latest,profiles/codeup/sizes/latest.json,codeup:latest
