size_slug,ollama_ref,size_file,fit_status
13b,codeup:13b,../sizes/13b.json,fit
13b-llama2,codeup:13b-llama2,../sizes/13b-llama2.json,fit
13b-llama2-chat,codeup:13b-llama2-chat,../sizes/13b-llama2-chat.json,fit
13b-llama2-chat-fp16,codeup:13b-llama2-chat-fp16,../sizes/13b-llama2-chat-fp16.json,no_fit
13b-llama2-chat-q2-k,codeup:13b-llama2-chat-q2_K,../sizes/13b-llama2-chat-q2-k.json,fit
13b-llama2-chat-q3-k-l,codeup:13b-llama2-chat-q3_K_L,../sizes/13b-llama2-chat-q3-k-l.json,fit
13b-llama2-chat-q3-k-m,codeup:13b-llama2-chat-q3_K_M,../sizes/13b-llama2-chat-q3-k-m.json,fit
13b-llama2-chat-q3-k-s,codeup:13b-llama2-chat-q3_K_S,../sizes/13b-llama2-chat-q3-k-s.json,fit
13b-llama2-chat-q4-k-m,codeup:13b-llama2-chat-q4_K_M,../sizes/13b-llama2-chat-q4-k-m.json,fit
13b-llama2-chat-q4-k-s,codeup:13b-llama2-chat-q4_K_S,../sizes/13b-llama2-chat-q4-k-s.json,fit
13b-llama2-chat-q40,codeup:13b-llama2-chat-q4_0,../sizes/13b-llama2-chat-q40.json,fit
13b-llama2-chat-q41,codeup:13b-llama2-chat-q4_1,../sizes/13b-llama2-chat-q41.json,fit
13b-llama2-chat-q5-k-m,codeup:13b-llama2-chat-q5_K_M,../sizes/13b-llama2-chat-q5-k-m.json,fit
13b-llama2-chat-q5-k-s,codeup:13b-llama2-chat-q5_K_S,../sizes/13b-llama2-chat-q5-k-s.json,fit
13b-llama2-chat-q50,codeup:13b-llama2-chat-q5_0,../sizes/13b-llama2-chat-q50.json,fit
13b-llama2-chat-q51,codeup:13b-llama2-chat-q5_1,../sizes/13b-llama2-chat-q51.json,fit
13b-llama2-chat-q6-k,codeup:13b-llama2-chat-q6_K,../sizes/13b-llama2-chat-q6-k.json,fit
13b-llama2-chat-q80,codeup:13b-llama2-chat-q8_0,../sizes/13b-llama2-chat-q80.json,no_fit
latest,codeup:latest,../sizes/latest.json,fit
