size_slug,size_json_path,ollama_ref
70b,profiles/cogito/sizes/70b.json,cogito:70b
70b-v1-preview-llama-fp16,profiles/cogito/sizes/70b-v1-preview-llama-fp16.json,cogito:70b-v1-preview-llama-fp16
70b-v1-preview-llama-q4-k-m,profiles/cogito/sizes/70b-v1-preview-llama-q4-k-m.json,cogito:70b-v1-preview-llama-q4_K_M
70b-v1-preview-llama-q80,profiles/cogito/sizes/70b-v1-preview-llama-q80.json,cogito:70b-v1-preview-llama-q8_0
32b,profiles/cogito/sizes/32b.json,cogito:32b
32b-v1-preview-qwen-fp16,profiles/cogito/sizes/32b-v1-preview-qwen-fp16.json,cogito:32b-v1-preview-qwen-fp16
32b-v1-preview-qwen-q4-k-m,profiles/cogito/sizes/32b-v1-preview-qwen-q4-k-m.json,cogito:32b-v1-preview-qwen-q4_K_M
32b-v1-preview-qwen-q80,profiles/cogito/sizes/32b-v1-preview-qwen-q80.json,cogito:32b-v1-preview-qwen-q8_0
14b,profiles/cogito/sizes/14b.json,cogito:14b
14b-v1-preview-qwen-fp16,profiles/cogito/sizes/14b-v1-preview-qwen-fp16.json,cogito:14b-v1-preview-qwen-fp16
14b-v1-preview-qwen-q4-k-m,profiles/cogito/sizes/14b-v1-preview-qwen-q4-k-m.json,cogito:14b-v1-preview-qwen-q4_K_M
14b-v1-preview-qwen-q80,profiles/cogito/sizes/14b-v1-preview-qwen-q80.json,cogito:14b-v1-preview-qwen-q8_0
8b,profiles/cogito/sizes/8b.json,cogito:8b
8b-v1-preview-llama-q4-k-m,profiles/cogito/sizes/8b-v1-preview-llama-q4-k-m.json,cogito:8b-v1-preview-llama-q4_K_M
8b-v1-preview-llama-q80,profiles/cogito/sizes/8b-v1-preview-llama-q80.json,cogito:8b-v1-preview-llama-q8_0
3b,profiles/cogito/sizes/3b.json,cogito:3b
3b-v1-preview-llama-fp16,profiles/cogito/sizes/3b-v1-preview-llama-fp16.json,cogito:3b-v1-preview-llama-fp16
3b-v1-preview-llama-q4-k-m,profiles/cogito/sizes/3b-v1-preview-llama-q4-k-m.json,cogito:3b-v1-preview-llama-q4_K_M
3b-v1-preview-llama-q80,profiles/cogito/sizes/3b-v1-preview-llama-q80.json,cogito:3b-v1-preview-llama-q8_0
latest,profiles/cogito/sizes/latest.json,cogito:latest
