size_slug,ollama_ref,size_file
35b,command-r:35b,sizes/35b.json
35b-08-2024-fp16,command-r:35b-08-2024-fp16,sizes/35b-08-2024-fp16.json
35b-08-2024-q2_k,command-r:35b-08-2024-q2_K,sizes/35b-08-2024-q2_k.json
35b-08-2024-q3_k_l,command-r:35b-08-2024-q3_K_L,sizes/35b-08-2024-q3_k_l.json
35b-08-2024-q3_k_m,command-r:35b-08-2024-q3_K_M,sizes/35b-08-2024-q3_k_m.json
35b-08-2024-q3_k_s,command-r:35b-08-2024-q3_K_S,sizes/35b-08-2024-q3_k_s.json
35b-08-2024-q4_0,command-r:35b-08-2024-q4_0,sizes/35b-08-2024-q4_0.json
35b-08-2024-q4_1,command-r:35b-08-2024-q4_1,sizes/35b-08-2024-q4_1.json
35b-08-2024-q4_k_m,command-r:35b-08-2024-q4_K_M,sizes/35b-08-2024-q4_k_m.json
35b-08-2024-q4_k_s,command-r:35b-08-2024-q4_K_S,sizes/35b-08-2024-q4_k_s.json
35b-08-2024-q5_0,command-r:35b-08-2024-q5_0,sizes/35b-08-2024-q5_0.json
35b-08-2024-q5_1,command-r:35b-08-2024-q5_1,sizes/35b-08-2024-q5_1.json
35b-08-2024-q5_k_m,command-r:35b-08-2024-q5_K_M,sizes/35b-08-2024-q5_k_m.json
35b-08-2024-q5_k_s,command-r:35b-08-2024-q5_K_S,sizes/35b-08-2024-q5_k_s.json
35b-08-2024-q6_k,command-r:35b-08-2024-q6_K,sizes/35b-08-2024-q6_k.json
35b-08-2024-q8_0,command-r:35b-08-2024-q8_0,sizes/35b-08-2024-q8_0.json
35b-v0-1-fp16,command-r:35b-v0.1-fp16,sizes/35b-v0-1-fp16.json
35b-v0-1-q2_k,command-r:35b-v0.1-q2_K,sizes/35b-v0-1-q2_k.json
35b-v0-1-q3_k_l,command-r:35b-v0.1-q3_K_L,sizes/35b-v0-1-q3_k_l.json
35b-v0-1-q3_k_m,command-r:35b-v0.1-q3_K_M,sizes/35b-v0-1-q3_k_m.json
35b-v0-1-q3_k_s,command-r:35b-v0.1-q3_K_S,sizes/35b-v0-1-q3_k_s.json
35b-v0-1-q4_0,command-r:35b-v0.1-q4_0,sizes/35b-v0-1-q4_0.json
35b-v0-1-q4_1,command-r:35b-v0.1-q4_1,sizes/35b-v0-1-q4_1.json
35b-v0-1-q4_k_m,command-r:35b-v0.1-q4_K_M,sizes/35b-v0-1-q4_k_m.json
35b-v0-1-q4_k_s,command-r:35b-v0.1-q4_K_S,sizes/35b-v0-1-q4_k_s.json
35b-v0-1-q5_1,command-r:35b-v0.1-q5_1,sizes/35b-v0-1-q5_1.json
35b-v0-1-q5_k_m,command-r:35b-v0.1-q5_K_M,sizes/35b-v0-1-q5_k_m.json
35b-v0-1-q5_k_s,command-r:35b-v0.1-q5_K_S,sizes/35b-v0-1-q5_k_s.json
35b-v0-1-q6_k,command-r:35b-v0.1-q6_K,sizes/35b-v0-1-q6_k.json
35b-v0-1-q8_0,command-r:35b-v0.1-q8_0,sizes/35b-v0-1-q8_0.json
latest,command-r:latest,sizes/latest.json
v0-1,command-r:v0.1,sizes/v0-1.json
