size_slug,size_json_path,ollama_ref
104b,profiles/command-r-plus/sizes/104b.json,command-r-plus:104b
104b-fp16,profiles/command-r-plus/sizes/104b-fp16.json,command-r-plus:104b-fp16
104b-q2-k,profiles/command-r-plus/sizes/104b-q2-k.json,command-r-plus:104b-q2_K
104b-q40,profiles/command-r-plus/sizes/104b-q40.json,command-r-plus:104b-q4_0
104b-q80,profiles/command-r-plus/sizes/104b-q80.json,command-r-plus:104b-q8_0
104b082024-fp16,profiles/command-r-plus/sizes/104b082024-fp16.json,command-r-plus:104b-08-2024-fp16
104b082024-q2-k,profiles/command-r-plus/sizes/104b082024-q2-k.json,command-r-plus:104b-08-2024-q2_K
104b082024-q3-k-l,profiles/command-r-plus/sizes/104b082024-q3-k-l.json,command-r-plus:104b-08-2024-q3_K_L
104b082024-q3-k-m,profiles/command-r-plus/sizes/104b082024-q3-k-m.json,command-r-plus:104b-08-2024-q3_K_M
104b082024-q3-k-s,profiles/command-r-plus/sizes/104b082024-q3-k-s.json,command-r-plus:104b-08-2024-q3_K_S
104b082024-q4-k-m,profiles/command-r-plus/sizes/104b082024-q4-k-m.json,command-r-plus:104b-08-2024-q4_K_M
104b082024-q4-k-s,profiles/command-r-plus/sizes/104b082024-q4-k-s.json,command-r-plus:104b-08-2024-q4_K_S
104b082024-q40,profiles/command-r-plus/sizes/104b082024-q40.json,command-r-plus:104b-08-2024-q4_0
104b082024-q41,profiles/command-r-plus/sizes/104b082024-q41.json,command-r-plus:104b-08-2024-q4_1
104b082024-q5-k-m,profiles/command-r-plus/sizes/104b082024-q5-k-m.json,command-r-plus:104b-08-2024-q5_K_M
104b082024-q5-k-s,profiles/command-r-plus/sizes/104b082024-q5-k-s.json,command-r-plus:104b-08-2024-q5_K_S
104b082024-q50,profiles/command-r-plus/sizes/104b082024-q50.json,command-r-plus:104b-08-2024-q5_0
104b082024-q51,profiles/command-r-plus/sizes/104b082024-q51.json,command-r-plus:104b-08-2024-q5_1
104b082024-q6-k,profiles/command-r-plus/sizes/104b082024-q6-k.json,command-r-plus:104b-08-2024-q6_K
104b082024-q80,profiles/command-r-plus/sizes/104b082024-q80.json,command-r-plus:104b-08-2024-q8_0
latest,profiles/command-r-plus/sizes/latest.json,command-r-plus:latest
