size_slug,ollama_ref,size_file
35b,command-r:35b,sizes/35b.json
35b-v0.1-fp16,command-r:35b-v0.1-fp16,sizes/35b-v0.1-fp16.json
35b-v0.1-q2-k,command-r:35b-v0.1-q2_K,sizes/35b-v0.1-q2-k.json
35b-v0.1-q3-k-l,command-r:35b-v0.1-q3_K_L,sizes/35b-v0.1-q3-k-l.json
35b-v0.1-q3-k-m,command-r:35b-v0.1-q3_K_M,sizes/35b-v0.1-q3-k-m.json
35b-v0.1-q3-k-s,command-r:35b-v0.1-q3_K_S,sizes/35b-v0.1-q3-k-s.json
35b-v0.1-q4-k-m,command-r:35b-v0.1-q4_K_M,sizes/35b-v0.1-q4-k-m.json
35b-v0.1-q4-k-s,command-r:35b-v0.1-q4_K_S,sizes/35b-v0.1-q4-k-s.json
35b-v0.1-q40,command-r:35b-v0.1-q4_0,sizes/35b-v0.1-q40.json
35b-v0.1-q41,command-r:35b-v0.1-q4_1,sizes/35b-v0.1-q41.json
35b-v0.1-q5-k-m,command-r:35b-v0.1-q5_K_M,sizes/35b-v0.1-q5-k-m.json
35b-v0.1-q5-k-s,command-r:35b-v0.1-q5_K_S,sizes/35b-v0.1-q5-k-s.json
35b-v0.1-q51,command-r:35b-v0.1-q5_1,sizes/35b-v0.1-q51.json
35b-v0.1-q6-k,command-r:35b-v0.1-q6_K,sizes/35b-v0.1-q6-k.json
35b-v0.1-q80,command-r:35b-v0.1-q8_0,sizes/35b-v0.1-q80.json
35b082024-fp16,command-r:35b-08-2024-fp16,sizes/35b082024-fp16.json
35b082024-q2-k,command-r:35b-08-2024-q2_K,sizes/35b082024-q2-k.json
35b082024-q3-k-l,command-r:35b-08-2024-q3_K_L,sizes/35b082024-q3-k-l.json
35b082024-q3-k-m,command-r:35b-08-2024-q3_K_M,sizes/35b082024-q3-k-m.json
35b082024-q3-k-s,command-r:35b-08-2024-q3_K_S,sizes/35b082024-q3-k-s.json
35b082024-q4-k-m,command-r:35b-08-2024-q4_K_M,sizes/35b082024-q4-k-m.json
35b082024-q4-k-s,command-r:35b-08-2024-q4_K_S,sizes/35b082024-q4-k-s.json
35b082024-q40,command-r:35b-08-2024-q4_0,sizes/35b082024-q40.json
35b082024-q41,command-r:35b-08-2024-q4_1,sizes/35b082024-q41.json
35b082024-q5-k-m,command-r:35b-08-2024-q5_K_M,sizes/35b082024-q5-k-m.json
35b082024-q5-k-s,command-r:35b-08-2024-q5_K_S,sizes/35b082024-q5-k-s.json
35b082024-q50,command-r:35b-08-2024-q5_0,sizes/35b082024-q50.json
35b082024-q51,command-r:35b-08-2024-q5_1,sizes/35b082024-q51.json
35b082024-q6-k,command-r:35b-08-2024-q6_K,sizes/35b082024-q6-k.json
35b082024-q80,command-r:35b-08-2024-q8_0,sizes/35b082024-q80.json
latest,command-r:latest,sizes/latest.json
v0.1,command-r:v0.1,sizes/v0.1.json
