size_slug,ollama_ref,size_file,fit_status
1-3b,deepseek-coder:1.3b,../sizes/1-3b.json,not_listed_in_agents_selection
1-3b-base,deepseek-coder:1.3b-base,../sizes/1-3b-base.json,not_listed_in_agents_selection
1-3b-base-fp16,deepseek-coder:1.3b-base-fp16,../sizes/1-3b-base-fp16.json,not_listed_in_agents_selection
1-3b-base-q2_k,deepseek-coder:1.3b-base-q2_K,../sizes/1-3b-base-q2_k.json,not_listed_in_agents_selection
1-3b-base-q3_k_l,deepseek-coder:1.3b-base-q3_K_L,../sizes/1-3b-base-q3_k_l.json,not_listed_in_agents_selection
1-3b-base-q3_k_m,deepseek-coder:1.3b-base-q3_K_M,../sizes/1-3b-base-q3_k_m.json,not_listed_in_agents_selection
1-3b-base-q3_k_s,deepseek-coder:1.3b-base-q3_K_S,../sizes/1-3b-base-q3_k_s.json,not_listed_in_agents_selection
1-3b-base-q4_0,deepseek-coder:1.3b-base-q4_0,../sizes/1-3b-base-q4_0.json,not_listed_in_agents_selection
1-3b-base-q4_1,deepseek-coder:1.3b-base-q4_1,../sizes/1-3b-base-q4_1.json,not_listed_in_agents_selection
1-3b-base-q4_k_m,deepseek-coder:1.3b-base-q4_K_M,../sizes/1-3b-base-q4_k_m.json,not_listed_in_agents_selection
1-3b-base-q4_k_s,deepseek-coder:1.3b-base-q4_K_S,../sizes/1-3b-base-q4_k_s.json,not_listed_in_agents_selection
1-3b-base-q5_0,deepseek-coder:1.3b-base-q5_0,../sizes/1-3b-base-q5_0.json,not_listed_in_agents_selection
1-3b-base-q5_1,deepseek-coder:1.3b-base-q5_1,../sizes/1-3b-base-q5_1.json,not_listed_in_agents_selection
1-3b-base-q5_k_m,deepseek-coder:1.3b-base-q5_K_M,../sizes/1-3b-base-q5_k_m.json,not_listed_in_agents_selection
1-3b-base-q5_k_s,deepseek-coder:1.3b-base-q5_K_S,../sizes/1-3b-base-q5_k_s.json,not_listed_in_agents_selection
1-3b-base-q6_k,deepseek-coder:1.3b-base-q6_K,../sizes/1-3b-base-q6_k.json,not_listed_in_agents_selection
1-3b-base-q8_0,deepseek-coder:1.3b-base-q8_0,../sizes/1-3b-base-q8_0.json,not_listed_in_agents_selection
1-3b-instruct,deepseek-coder:1.3b-instruct,../sizes/1-3b-instruct.json,not_listed_in_agents_selection
1-3b-instruct-fp16,deepseek-coder:1.3b-instruct-fp16,../sizes/1-3b-instruct-fp16.json,not_listed_in_agents_selection
1-3b-instruct-q2_k,deepseek-coder:1.3b-instruct-q2_K,../sizes/1-3b-instruct-q2_k.json,not_listed_in_agents_selection
1-3b-instruct-q3_k_l,deepseek-coder:1.3b-instruct-q3_K_L,../sizes/1-3b-instruct-q3_k_l.json,not_listed_in_agents_selection
1-3b-instruct-q3_k_m,deepseek-coder:1.3b-instruct-q3_K_M,../sizes/1-3b-instruct-q3_k_m.json,not_listed_in_agents_selection
1-3b-instruct-q3_k_s,deepseek-coder:1.3b-instruct-q3_K_S,../sizes/1-3b-instruct-q3_k_s.json,not_listed_in_agents_selection
1-3b-instruct-q4_0,deepseek-coder:1.3b-instruct-q4_0,../sizes/1-3b-instruct-q4_0.json,not_listed_in_agents_selection
1-3b-instruct-q4_1,deepseek-coder:1.3b-instruct-q4_1,../sizes/1-3b-instruct-q4_1.json,not_listed_in_agents_selection
1-3b-instruct-q4_k_m,deepseek-coder:1.3b-instruct-q4_K_M,../sizes/1-3b-instruct-q4_k_m.json,not_listed_in_agents_selection
1-3b-instruct-q4_k_s,deepseek-coder:1.3b-instruct-q4_K_S,../sizes/1-3b-instruct-q4_k_s.json,not_listed_in_agents_selection
1-3b-instruct-q5_0,deepseek-coder:1.3b-instruct-q5_0,../sizes/1-3b-instruct-q5_0.json,not_listed_in_agents_selection
1-3b-instruct-q5_1,deepseek-coder:1.3b-instruct-q5_1,../sizes/1-3b-instruct-q5_1.json,not_listed_in_agents_selection
1-3b-instruct-q5_k_m,deepseek-coder:1.3b-instruct-q5_K_M,../sizes/1-3b-instruct-q5_k_m.json,not_listed_in_agents_selection
1-3b-instruct-q5_k_s,deepseek-coder:1.3b-instruct-q5_K_S,../sizes/1-3b-instruct-q5_k_s.json,not_listed_in_agents_selection
1-3b-instruct-q6_k,deepseek-coder:1.3b-instruct-q6_K,../sizes/1-3b-instruct-q6_k.json,not_listed_in_agents_selection
1-3b-instruct-q8_0,deepseek-coder:1.3b-instruct-q8_0,../sizes/1-3b-instruct-q8_0.json,not_listed_in_agents_selection
base,deepseek-coder:base,../sizes/base.json,not_listed_in_agents_selection
instruct,deepseek-coder:instruct,../sizes/instruct.json,not_listed_in_agents_selection
latest,deepseek-coder:latest,../sizes/latest.json,not_listed_in_agents_selection
