size_slug,ollama_ref,size_file,fit_status
33b,deepseek-coder:33b,../sizes/33b.json,not_listed_in_agents_selection
33b-base,deepseek-coder:33b-base,../sizes/33b-base.json,not_listed_in_agents_selection
33b-base-fp16,deepseek-coder:33b-base-fp16,../sizes/33b-base-fp16.json,not_listed_in_agents_selection
33b-base-q2_k,deepseek-coder:33b-base-q2_K,../sizes/33b-base-q2_k.json,not_listed_in_agents_selection
33b-base-q3_k_l,deepseek-coder:33b-base-q3_K_L,../sizes/33b-base-q3_k_l.json,not_listed_in_agents_selection
33b-base-q3_k_m,deepseek-coder:33b-base-q3_K_M,../sizes/33b-base-q3_k_m.json,not_listed_in_agents_selection
33b-base-q3_k_s,deepseek-coder:33b-base-q3_K_S,../sizes/33b-base-q3_k_s.json,not_listed_in_agents_selection
33b-base-q4_0,deepseek-coder:33b-base-q4_0,../sizes/33b-base-q4_0.json,not_listed_in_agents_selection
33b-base-q4_1,deepseek-coder:33b-base-q4_1,../sizes/33b-base-q4_1.json,not_listed_in_agents_selection
33b-base-q4_k_m,deepseek-coder:33b-base-q4_K_M,../sizes/33b-base-q4_k_m.json,not_listed_in_agents_selection
33b-base-q4_k_s,deepseek-coder:33b-base-q4_K_S,../sizes/33b-base-q4_k_s.json,not_listed_in_agents_selection
33b-base-q5_0,deepseek-coder:33b-base-q5_0,../sizes/33b-base-q5_0.json,not_listed_in_agents_selection
33b-base-q5_1,deepseek-coder:33b-base-q5_1,../sizes/33b-base-q5_1.json,not_listed_in_agents_selection
33b-base-q5_k_m,deepseek-coder:33b-base-q5_K_M,../sizes/33b-base-q5_k_m.json,not_listed_in_agents_selection
33b-base-q5_k_s,deepseek-coder:33b-base-q5_K_S,../sizes/33b-base-q5_k_s.json,not_listed_in_agents_selection
33b-base-q6_k,deepseek-coder:33b-base-q6_K,../sizes/33b-base-q6_k.json,not_listed_in_agents_selection
33b-base-q8_0,deepseek-coder:33b-base-q8_0,../sizes/33b-base-q8_0.json,not_listed_in_agents_selection
33b-instruct,deepseek-coder:33b-instruct,../sizes/33b-instruct.json,not_listed_in_agents_selection
33b-instruct-fp16,deepseek-coder:33b-instruct-fp16,../sizes/33b-instruct-fp16.json,not_listed_in_agents_selection
33b-instruct-q2_k,deepseek-coder:33b-instruct-q2_K,../sizes/33b-instruct-q2_k.json,not_listed_in_agents_selection
33b-instruct-q3_k_l,deepseek-coder:33b-instruct-q3_K_L,../sizes/33b-instruct-q3_k_l.json,not_listed_in_agents_selection
33b-instruct-q3_k_m,deepseek-coder:33b-instruct-q3_K_M,../sizes/33b-instruct-q3_k_m.json,not_listed_in_agents_selection
33b-instruct-q3_k_s,deepseek-coder:33b-instruct-q3_K_S,../sizes/33b-instruct-q3_k_s.json,not_listed_in_agents_selection
33b-instruct-q4_0,deepseek-coder:33b-instruct-q4_0,../sizes/33b-instruct-q4_0.json,not_listed_in_agents_selection
33b-instruct-q4_1,deepseek-coder:33b-instruct-q4_1,../sizes/33b-instruct-q4_1.json,not_listed_in_agents_selection
33b-instruct-q4_k_m,deepseek-coder:33b-instruct-q4_K_M,../sizes/33b-instruct-q4_k_m.json,not_listed_in_agents_selection
33b-instruct-q4_k_s,deepseek-coder:33b-instruct-q4_K_S,../sizes/33b-instruct-q4_k_s.json,not_listed_in_agents_selection
33b-instruct-q5_0,deepseek-coder:33b-instruct-q5_0,../sizes/33b-instruct-q5_0.json,not_listed_in_agents_selection
33b-instruct-q5_1,deepseek-coder:33b-instruct-q5_1,../sizes/33b-instruct-q5_1.json,not_listed_in_agents_selection
33b-instruct-q5_k_m,deepseek-coder:33b-instruct-q5_K_M,../sizes/33b-instruct-q5_k_m.json,not_listed_in_agents_selection
33b-instruct-q5_k_s,deepseek-coder:33b-instruct-q5_K_S,../sizes/33b-instruct-q5_k_s.json,not_listed_in_agents_selection
33b-instruct-q6_k,deepseek-coder:33b-instruct-q6_K,../sizes/33b-instruct-q6_k.json,not_listed_in_agents_selection
33b-instruct-q8_0,deepseek-coder:33b-instruct-q8_0,../sizes/33b-instruct-q8_0.json,not_listed_in_agents_selection
