size_slug,size_json_path,ollama_ref
33b,profiles/deepseek-coder/sizes/33b.json,deepseek-coder:33b
33b-base,profiles/deepseek-coder/sizes/33b-base.json,deepseek-coder:33b-base
33b-base-fp16,profiles/deepseek-coder/sizes/33b-base-fp16.json,deepseek-coder:33b-base-fp16
33b-base-q2-k,profiles/deepseek-coder/sizes/33b-base-q2-k.json,deepseek-coder:33b-base-q2_K
33b-base-q3-k-l,profiles/deepseek-coder/sizes/33b-base-q3-k-l.json,deepseek-coder:33b-base-q3_K_L
33b-base-q3-k-m,profiles/deepseek-coder/sizes/33b-base-q3-k-m.json,deepseek-coder:33b-base-q3_K_M
33b-base-q3-k-s,profiles/deepseek-coder/sizes/33b-base-q3-k-s.json,deepseek-coder:33b-base-q3_K_S
33b-base-q4-k-m,profiles/deepseek-coder/sizes/33b-base-q4-k-m.json,deepseek-coder:33b-base-q4_K_M
33b-base-q4-k-s,profiles/deepseek-coder/sizes/33b-base-q4-k-s.json,deepseek-coder:33b-base-q4_K_S
33b-base-q40,profiles/deepseek-coder/sizes/33b-base-q40.json,deepseek-coder:33b-base-q4_0
33b-base-q41,profiles/deepseek-coder/sizes/33b-base-q41.json,deepseek-coder:33b-base-q4_1
33b-base-q5-k-m,profiles/deepseek-coder/sizes/33b-base-q5-k-m.json,deepseek-coder:33b-base-q5_K_M
33b-base-q5-k-s,profiles/deepseek-coder/sizes/33b-base-q5-k-s.json,deepseek-coder:33b-base-q5_K_S
33b-base-q50,profiles/deepseek-coder/sizes/33b-base-q50.json,deepseek-coder:33b-base-q5_0
33b-base-q51,profiles/deepseek-coder/sizes/33b-base-q51.json,deepseek-coder:33b-base-q5_1
33b-base-q6-k,profiles/deepseek-coder/sizes/33b-base-q6-k.json,deepseek-coder:33b-base-q6_K
33b-base-q80,profiles/deepseek-coder/sizes/33b-base-q80.json,deepseek-coder:33b-base-q8_0
33b-instruct,profiles/deepseek-coder/sizes/33b-instruct.json,deepseek-coder:33b-instruct
33b-instruct-fp16,profiles/deepseek-coder/sizes/33b-instruct-fp16.json,deepseek-coder:33b-instruct-fp16
33b-instruct-q2-k,profiles/deepseek-coder/sizes/33b-instruct-q2-k.json,deepseek-coder:33b-instruct-q2_K
33b-instruct-q3-k-l,profiles/deepseek-coder/sizes/33b-instruct-q3-k-l.json,deepseek-coder:33b-instruct-q3_K_L
33b-instruct-q3-k-m,profiles/deepseek-coder/sizes/33b-instruct-q3-k-m.json,deepseek-coder:33b-instruct-q3_K_M
33b-instruct-q3-k-s,profiles/deepseek-coder/sizes/33b-instruct-q3-k-s.json,deepseek-coder:33b-instruct-q3_K_S
33b-instruct-q4-k-m,profiles/deepseek-coder/sizes/33b-instruct-q4-k-m.json,deepseek-coder:33b-instruct-q4_K_M
33b-instruct-q4-k-s,profiles/deepseek-coder/sizes/33b-instruct-q4-k-s.json,deepseek-coder:33b-instruct-q4_K_S
33b-instruct-q40,profiles/deepseek-coder/sizes/33b-instruct-q40.json,deepseek-coder:33b-instruct-q4_0
33b-instruct-q41,profiles/deepseek-coder/sizes/33b-instruct-q41.json,deepseek-coder:33b-instruct-q4_1
33b-instruct-q5-k-m,profiles/deepseek-coder/sizes/33b-instruct-q5-k-m.json,deepseek-coder:33b-instruct-q5_K_M
33b-instruct-q5-k-s,profiles/deepseek-coder/sizes/33b-instruct-q5-k-s.json,deepseek-coder:33b-instruct-q5_K_S
33b-instruct-q50,profiles/deepseek-coder/sizes/33b-instruct-q50.json,deepseek-coder:33b-instruct-q5_0
33b-instruct-q51,profiles/deepseek-coder/sizes/33b-instruct-q51.json,deepseek-coder:33b-instruct-q5_1
33b-instruct-q6-k,profiles/deepseek-coder/sizes/33b-instruct-q6-k.json,deepseek-coder:33b-instruct-q6_K
33b-instruct-q80,profiles/deepseek-coder/sizes/33b-instruct-q80.json,deepseek-coder:33b-instruct-q8_0
6.7b,profiles/deepseek-coder/sizes/6.7b.json,deepseek-coder:6.7b
6.7b-base,profiles/deepseek-coder/sizes/6.7b-base.json,deepseek-coder:6.7b-base
6.7b-base-fp16,profiles/deepseek-coder/sizes/6.7b-base-fp16.json,deepseek-coder:6.7b-base-fp16
6.7b-base-q2-k,profiles/deepseek-coder/sizes/6.7b-base-q2-k.json,deepseek-coder:6.7b-base-q2_K
6.7b-base-q3-k-l,profiles/deepseek-coder/sizes/6.7b-base-q3-k-l.json,deepseek-coder:6.7b-base-q3_K_L
6.7b-base-q3-k-m,profiles/deepseek-coder/sizes/6.7b-base-q3-k-m.json,deepseek-coder:6.7b-base-q3_K_M
6.7b-base-q3-k-s,profiles/deepseek-coder/sizes/6.7b-base-q3-k-s.json,deepseek-coder:6.7b-base-q3_K_S
6.7b-base-q4-k-m,profiles/deepseek-coder/sizes/6.7b-base-q4-k-m.json,deepseek-coder:6.7b-base-q4_K_M
6.7b-base-q4-k-s,profiles/deepseek-coder/sizes/6.7b-base-q4-k-s.json,deepseek-coder:6.7b-base-q4_K_S
6.7b-base-q40,profiles/deepseek-coder/sizes/6.7b-base-q40.json,deepseek-coder:6.7b-base-q4_0
6.7b-base-q41,profiles/deepseek-coder/sizes/6.7b-base-q41.json,deepseek-coder:6.7b-base-q4_1
6.7b-base-q5-k-m,profiles/deepseek-coder/sizes/6.7b-base-q5-k-m.json,deepseek-coder:6.7b-base-q5_K_M
6.7b-base-q5-k-s,profiles/deepseek-coder/sizes/6.7b-base-q5-k-s.json,deepseek-coder:6.7b-base-q5_K_S
6.7b-base-q50,profiles/deepseek-coder/sizes/6.7b-base-q50.json,deepseek-coder:6.7b-base-q5_0
6.7b-base-q51,profiles/deepseek-coder/sizes/6.7b-base-q51.json,deepseek-coder:6.7b-base-q5_1
6.7b-base-q6-k,profiles/deepseek-coder/sizes/6.7b-base-q6-k.json,deepseek-coder:6.7b-base-q6_K
6.7b-base-q80,profiles/deepseek-coder/sizes/6.7b-base-q80.json,deepseek-coder:6.7b-base-q8_0
6.7b-instruct,profiles/deepseek-coder/sizes/6.7b-instruct.json,deepseek-coder:6.7b-instruct
6.7b-instruct-fp16,profiles/deepseek-coder/sizes/6.7b-instruct-fp16.json,deepseek-coder:6.7b-instruct-fp16
6.7b-instruct-q2-k,profiles/deepseek-coder/sizes/6.7b-instruct-q2-k.json,deepseek-coder:6.7b-instruct-q2_K
6.7b-instruct-q3-k-l,profiles/deepseek-coder/sizes/6.7b-instruct-q3-k-l.json,deepseek-coder:6.7b-instruct-q3_K_L
6.7b-instruct-q3-k-m,profiles/deepseek-coder/sizes/6.7b-instruct-q3-k-m.json,deepseek-coder:6.7b-instruct-q3_K_M
6.7b-instruct-q3-k-s,profiles/deepseek-coder/sizes/6.7b-instruct-q3-k-s.json,deepseek-coder:6.7b-instruct-q3_K_S
6.7b-instruct-q4-k-m,profiles/deepseek-coder/sizes/6.7b-instruct-q4-k-m.json,deepseek-coder:6.7b-instruct-q4_K_M
6.7b-instruct-q4-k-s,profiles/deepseek-coder/sizes/6.7b-instruct-q4-k-s.json,deepseek-coder:6.7b-instruct-q4_K_S
6.7b-instruct-q40,profiles/deepseek-coder/sizes/6.7b-instruct-q40.json,deepseek-coder:6.7b-instruct-q4_0
6.7b-instruct-q41,profiles/deepseek-coder/sizes/6.7b-instruct-q41.json,deepseek-coder:6.7b-instruct-q4_1
6.7b-instruct-q5-k-m,profiles/deepseek-coder/sizes/6.7b-instruct-q5-k-m.json,deepseek-coder:6.7b-instruct-q5_K_M
6.7b-instruct-q5-k-s,profiles/deepseek-coder/sizes/6.7b-instruct-q5-k-s.json,deepseek-coder:6.7b-instruct-q5_K_S
6.7b-instruct-q50,profiles/deepseek-coder/sizes/6.7b-instruct-q50.json,deepseek-coder:6.7b-instruct-q5_0
6.7b-instruct-q51,profiles/deepseek-coder/sizes/6.7b-instruct-q51.json,deepseek-coder:6.7b-instruct-q5_1
6.7b-instruct-q6-k,profiles/deepseek-coder/sizes/6.7b-instruct-q6-k.json,deepseek-coder:6.7b-instruct-q6_K
6.7b-instruct-q80,profiles/deepseek-coder/sizes/6.7b-instruct-q80.json,deepseek-coder:6.7b-instruct-q8_0
1.3b,profiles/deepseek-coder/sizes/1.3b.json,deepseek-coder:1.3b
1.3b-base,profiles/deepseek-coder/sizes/1.3b-base.json,deepseek-coder:1.3b-base
1.3b-base-fp16,profiles/deepseek-coder/sizes/1.3b-base-fp16.json,deepseek-coder:1.3b-base-fp16
1.3b-base-q2-k,profiles/deepseek-coder/sizes/1.3b-base-q2-k.json,deepseek-coder:1.3b-base-q2_K
1.3b-base-q3-k-l,profiles/deepseek-coder/sizes/1.3b-base-q3-k-l.json,deepseek-coder:1.3b-base-q3_K_L
1.3b-base-q3-k-m,profiles/deepseek-coder/sizes/1.3b-base-q3-k-m.json,deepseek-coder:1.3b-base-q3_K_M
1.3b-base-q3-k-s,profiles/deepseek-coder/sizes/1.3b-base-q3-k-s.json,deepseek-coder:1.3b-base-q3_K_S
1.3b-base-q4-k-m,profiles/deepseek-coder/sizes/1.3b-base-q4-k-m.json,deepseek-coder:1.3b-base-q4_K_M
1.3b-base-q4-k-s,profiles/deepseek-coder/sizes/1.3b-base-q4-k-s.json,deepseek-coder:1.3b-base-q4_K_S
1.3b-base-q40,profiles/deepseek-coder/sizes/1.3b-base-q40.json,deepseek-coder:1.3b-base-q4_0
1.3b-base-q41,profiles/deepseek-coder/sizes/1.3b-base-q41.json,deepseek-coder:1.3b-base-q4_1
1.3b-base-q5-k-m,profiles/deepseek-coder/sizes/1.3b-base-q5-k-m.json,deepseek-coder:1.3b-base-q5_K_M
1.3b-base-q5-k-s,profiles/deepseek-coder/sizes/1.3b-base-q5-k-s.json,deepseek-coder:1.3b-base-q5_K_S
1.3b-base-q50,profiles/deepseek-coder/sizes/1.3b-base-q50.json,deepseek-coder:1.3b-base-q5_0
1.3b-base-q51,profiles/deepseek-coder/sizes/1.3b-base-q51.json,deepseek-coder:1.3b-base-q5_1
1.3b-base-q6-k,profiles/deepseek-coder/sizes/1.3b-base-q6-k.json,deepseek-coder:1.3b-base-q6_K
1.3b-base-q80,profiles/deepseek-coder/sizes/1.3b-base-q80.json,deepseek-coder:1.3b-base-q8_0
1.3b-instruct,profiles/deepseek-coder/sizes/1.3b-instruct.json,deepseek-coder:1.3b-instruct
1.3b-instruct-fp16,profiles/deepseek-coder/sizes/1.3b-instruct-fp16.json,deepseek-coder:1.3b-instruct-fp16
1.3b-instruct-q2-k,profiles/deepseek-coder/sizes/1.3b-instruct-q2-k.json,deepseek-coder:1.3b-instruct-q2_K
1.3b-instruct-q3-k-l,profiles/deepseek-coder/sizes/1.3b-instruct-q3-k-l.json,deepseek-coder:1.3b-instruct-q3_K_L
1.3b-instruct-q3-k-m,profiles/deepseek-coder/sizes/1.3b-instruct-q3-k-m.json,deepseek-coder:1.3b-instruct-q3_K_M
1.3b-instruct-q3-k-s,profiles/deepseek-coder/sizes/1.3b-instruct-q3-k-s.json,deepseek-coder:1.3b-instruct-q3_K_S
1.3b-instruct-q4-k-m,profiles/deepseek-coder/sizes/1.3b-instruct-q4-k-m.json,deepseek-coder:1.3b-instruct-q4_K_M
1.3b-instruct-q4-k-s,profiles/deepseek-coder/sizes/1.3b-instruct-q4-k-s.json,deepseek-coder:1.3b-instruct-q4_K_S
1.3b-instruct-q40,profiles/deepseek-coder/sizes/1.3b-instruct-q40.json,deepseek-coder:1.3b-instruct-q4_0
1.3b-instruct-q41,profiles/deepseek-coder/sizes/1.3b-instruct-q41.json,deepseek-coder:1.3b-instruct-q4_1
1.3b-instruct-q5-k-m,profiles/deepseek-coder/sizes/1.3b-instruct-q5-k-m.json,deepseek-coder:1.3b-instruct-q5_K_M
1.3b-instruct-q5-k-s,profiles/deepseek-coder/sizes/1.3b-instruct-q5-k-s.json,deepseek-coder:1.3b-instruct-q5_K_S
1.3b-instruct-q50,profiles/deepseek-coder/sizes/1.3b-instruct-q50.json,deepseek-coder:1.3b-instruct-q5_0
1.3b-instruct-q51,profiles/deepseek-coder/sizes/1.3b-instruct-q51.json,deepseek-coder:1.3b-instruct-q5_1
1.3b-instruct-q6-k,profiles/deepseek-coder/sizes/1.3b-instruct-q6-k.json,deepseek-coder:1.3b-instruct-q6_K
1.3b-instruct-q80,profiles/deepseek-coder/sizes/1.3b-instruct-q80.json,deepseek-coder:1.3b-instruct-q8_0
base,profiles/deepseek-coder/sizes/base.json,deepseek-coder:base
instruct,profiles/deepseek-coder/sizes/instruct.json,deepseek-coder:instruct
latest,profiles/deepseek-coder/sizes/latest.json,deepseek-coder:latest
