size_slug,ollama_ref,size_file,fit_status
67b,deepseek-llm:67b,../sizes/67b.json,not_listed_in_agents_selection
67b-base,deepseek-llm:67b-base,../sizes/67b-base.json,not_listed_in_agents_selection
67b-base-fp16,deepseek-llm:67b-base-fp16,../sizes/67b-base-fp16.json,not_listed_in_agents_selection
67b-base-q2_k,deepseek-llm:67b-base-q2_K,../sizes/67b-base-q2_k.json,not_listed_in_agents_selection
67b-base-q3_k_l,deepseek-llm:67b-base-q3_K_L,../sizes/67b-base-q3_k_l.json,not_listed_in_agents_selection
67b-base-q3_k_m,deepseek-llm:67b-base-q3_K_M,../sizes/67b-base-q3_k_m.json,not_listed_in_agents_selection
67b-base-q3_k_s,deepseek-llm:67b-base-q3_K_S,../sizes/67b-base-q3_k_s.json,not_listed_in_agents_selection
67b-base-q4_0,deepseek-llm:67b-base-q4_0,../sizes/67b-base-q4_0.json,not_listed_in_agents_selection
67b-base-q4_1,deepseek-llm:67b-base-q4_1,../sizes/67b-base-q4_1.json,not_listed_in_agents_selection
67b-base-q4_k_m,deepseek-llm:67b-base-q4_K_M,../sizes/67b-base-q4_k_m.json,not_listed_in_agents_selection
67b-base-q4_k_s,deepseek-llm:67b-base-q4_K_S,../sizes/67b-base-q4_k_s.json,not_listed_in_agents_selection
67b-base-q5_0,deepseek-llm:67b-base-q5_0,../sizes/67b-base-q5_0.json,not_listed_in_agents_selection
67b-base-q5_1,deepseek-llm:67b-base-q5_1,../sizes/67b-base-q5_1.json,not_listed_in_agents_selection
67b-base-q5_k_m,deepseek-llm:67b-base-q5_K_M,../sizes/67b-base-q5_k_m.json,not_listed_in_agents_selection
67b-base-q5_k_s,deepseek-llm:67b-base-q5_K_S,../sizes/67b-base-q5_k_s.json,not_listed_in_agents_selection
67b-base-q6_k,deepseek-llm:67b-base-q6_K,../sizes/67b-base-q6_k.json,not_listed_in_agents_selection
67b-base-q8_0,deepseek-llm:67b-base-q8_0,../sizes/67b-base-q8_0.json,not_listed_in_agents_selection
67b-chat,deepseek-llm:67b-chat,../sizes/67b-chat.json,not_listed_in_agents_selection
67b-chat-fp16,deepseek-llm:67b-chat-fp16,../sizes/67b-chat-fp16.json,not_listed_in_agents_selection
67b-chat-q2_k,deepseek-llm:67b-chat-q2_K,../sizes/67b-chat-q2_k.json,not_listed_in_agents_selection
67b-chat-q3_k_l,deepseek-llm:67b-chat-q3_K_L,../sizes/67b-chat-q3_k_l.json,not_listed_in_agents_selection
67b-chat-q3_k_m,deepseek-llm:67b-chat-q3_K_M,../sizes/67b-chat-q3_k_m.json,not_listed_in_agents_selection
67b-chat-q3_k_s,deepseek-llm:67b-chat-q3_K_S,../sizes/67b-chat-q3_k_s.json,not_listed_in_agents_selection
67b-chat-q4_0,deepseek-llm:67b-chat-q4_0,../sizes/67b-chat-q4_0.json,not_listed_in_agents_selection
67b-chat-q4_1,deepseek-llm:67b-chat-q4_1,../sizes/67b-chat-q4_1.json,not_listed_in_agents_selection
67b-chat-q4_k_m,deepseek-llm:67b-chat-q4_K_M,../sizes/67b-chat-q4_k_m.json,not_listed_in_agents_selection
67b-chat-q4_k_s,deepseek-llm:67b-chat-q4_K_S,../sizes/67b-chat-q4_k_s.json,not_listed_in_agents_selection
67b-chat-q5_0,deepseek-llm:67b-chat-q5_0,../sizes/67b-chat-q5_0.json,not_listed_in_agents_selection
67b-chat-q5_1,deepseek-llm:67b-chat-q5_1,../sizes/67b-chat-q5_1.json,not_listed_in_agents_selection
67b-chat-q5_k_s,deepseek-llm:67b-chat-q5_K_S,../sizes/67b-chat-q5_k_s.json,not_listed_in_agents_selection
