size_slug,ollama_ref,size_file,fit_status
7b,deepseek-llm:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-base,deepseek-llm:7b-base,../sizes/7b-base.json,not_listed_in_agents_selection
7b-base-fp16,deepseek-llm:7b-base-fp16,../sizes/7b-base-fp16.json,not_listed_in_agents_selection
7b-base-q2_k,deepseek-llm:7b-base-q2_K,../sizes/7b-base-q2_k.json,not_listed_in_agents_selection
7b-base-q3_k_l,deepseek-llm:7b-base-q3_K_L,../sizes/7b-base-q3_k_l.json,not_listed_in_agents_selection
7b-base-q3_k_m,deepseek-llm:7b-base-q3_K_M,../sizes/7b-base-q3_k_m.json,not_listed_in_agents_selection
7b-base-q3_k_s,deepseek-llm:7b-base-q3_K_S,../sizes/7b-base-q3_k_s.json,not_listed_in_agents_selection
7b-base-q4_0,deepseek-llm:7b-base-q4_0,../sizes/7b-base-q4_0.json,not_listed_in_agents_selection
7b-base-q4_1,deepseek-llm:7b-base-q4_1,../sizes/7b-base-q4_1.json,not_listed_in_agents_selection
7b-base-q4_k_m,deepseek-llm:7b-base-q4_K_M,../sizes/7b-base-q4_k_m.json,not_listed_in_agents_selection
7b-base-q4_k_s,deepseek-llm:7b-base-q4_K_S,../sizes/7b-base-q4_k_s.json,not_listed_in_agents_selection
7b-base-q5_0,deepseek-llm:7b-base-q5_0,../sizes/7b-base-q5_0.json,not_listed_in_agents_selection
7b-base-q5_1,deepseek-llm:7b-base-q5_1,../sizes/7b-base-q5_1.json,not_listed_in_agents_selection
7b-base-q5_k_m,deepseek-llm:7b-base-q5_K_M,../sizes/7b-base-q5_k_m.json,not_listed_in_agents_selection
7b-base-q5_k_s,deepseek-llm:7b-base-q5_K_S,../sizes/7b-base-q5_k_s.json,not_listed_in_agents_selection
7b-base-q6_k,deepseek-llm:7b-base-q6_K,../sizes/7b-base-q6_k.json,not_listed_in_agents_selection
7b-base-q8_0,deepseek-llm:7b-base-q8_0,../sizes/7b-base-q8_0.json,not_listed_in_agents_selection
7b-chat,deepseek-llm:7b-chat,../sizes/7b-chat.json,not_listed_in_agents_selection
7b-chat-fp16,deepseek-llm:7b-chat-fp16,../sizes/7b-chat-fp16.json,not_listed_in_agents_selection
7b-chat-q2_k,deepseek-llm:7b-chat-q2_K,../sizes/7b-chat-q2_k.json,not_listed_in_agents_selection
7b-chat-q3_k_l,deepseek-llm:7b-chat-q3_K_L,../sizes/7b-chat-q3_k_l.json,not_listed_in_agents_selection
7b-chat-q3_k_m,deepseek-llm:7b-chat-q3_K_M,../sizes/7b-chat-q3_k_m.json,not_listed_in_agents_selection
7b-chat-q3_k_s,deepseek-llm:7b-chat-q3_K_S,../sizes/7b-chat-q3_k_s.json,not_listed_in_agents_selection
7b-chat-q4_0,deepseek-llm:7b-chat-q4_0,../sizes/7b-chat-q4_0.json,not_listed_in_agents_selection
7b-chat-q4_1,deepseek-llm:7b-chat-q4_1,../sizes/7b-chat-q4_1.json,not_listed_in_agents_selection
7b-chat-q4_k_m,deepseek-llm:7b-chat-q4_K_M,../sizes/7b-chat-q4_k_m.json,not_listed_in_agents_selection
7b-chat-q4_k_s,deepseek-llm:7b-chat-q4_K_S,../sizes/7b-chat-q4_k_s.json,not_listed_in_agents_selection
7b-chat-q5_0,deepseek-llm:7b-chat-q5_0,../sizes/7b-chat-q5_0.json,not_listed_in_agents_selection
7b-chat-q5_1,deepseek-llm:7b-chat-q5_1,../sizes/7b-chat-q5_1.json,not_listed_in_agents_selection
7b-chat-q5_k_m,deepseek-llm:7b-chat-q5_K_M,../sizes/7b-chat-q5_k_m.json,not_listed_in_agents_selection
7b-chat-q5_k_s,deepseek-llm:7b-chat-q5_K_S,../sizes/7b-chat-q5_k_s.json,not_listed_in_agents_selection
7b-chat-q6_k,deepseek-llm:7b-chat-q6_K,../sizes/7b-chat-q6_k.json,not_listed_in_agents_selection
7b-chat-q8_0,deepseek-llm:7b-chat-q8_0,../sizes/7b-chat-q8_0.json,not_listed_in_agents_selection
latest,deepseek-llm:latest,../sizes/latest.json,not_listed_in_agents_selection
