size_slug,ollama_ref,size_file,fit_status
67b,deepseek-llm:67b,../sizes/67b.json,no_fit
67b-base,deepseek-llm:67b-base,../sizes/67b-base.json,no_fit
67b-base-fp16,deepseek-llm:67b-base-fp16,../sizes/67b-base-fp16.json,no_fit
67b-base-q2-k,deepseek-llm:67b-base-q2_K,../sizes/67b-base-q2-k.json,no_fit
67b-base-q3-k-l,deepseek-llm:67b-base-q3_K_L,../sizes/67b-base-q3-k-l.json,no_fit
67b-base-q3-k-m,deepseek-llm:67b-base-q3_K_M,../sizes/67b-base-q3-k-m.json,no_fit
67b-base-q3-k-s,deepseek-llm:67b-base-q3_K_S,../sizes/67b-base-q3-k-s.json,no_fit
67b-base-q4-k-m,deepseek-llm:67b-base-q4_K_M,../sizes/67b-base-q4-k-m.json,no_fit
67b-base-q4-k-s,deepseek-llm:67b-base-q4_K_S,../sizes/67b-base-q4-k-s.json,no_fit
67b-base-q40,deepseek-llm:67b-base-q4_0,../sizes/67b-base-q40.json,no_fit
67b-base-q41,deepseek-llm:67b-base-q4_1,../sizes/67b-base-q41.json,no_fit
67b-base-q5-k-m,deepseek-llm:67b-base-q5_K_M,../sizes/67b-base-q5-k-m.json,no_fit
67b-base-q5-k-s,deepseek-llm:67b-base-q5_K_S,../sizes/67b-base-q5-k-s.json,no_fit
67b-base-q50,deepseek-llm:67b-base-q5_0,../sizes/67b-base-q50.json,no_fit
67b-base-q51,deepseek-llm:67b-base-q5_1,../sizes/67b-base-q51.json,no_fit
67b-base-q6-k,deepseek-llm:67b-base-q6_K,../sizes/67b-base-q6-k.json,no_fit
67b-base-q80,deepseek-llm:67b-base-q8_0,../sizes/67b-base-q80.json,no_fit
67b-chat,deepseek-llm:67b-chat,../sizes/67b-chat.json,no_fit
67b-chat-fp16,deepseek-llm:67b-chat-fp16,../sizes/67b-chat-fp16.json,no_fit
67b-chat-q2-k,deepseek-llm:67b-chat-q2_K,../sizes/67b-chat-q2-k.json,no_fit
67b-chat-q3-k-l,deepseek-llm:67b-chat-q3_K_L,../sizes/67b-chat-q3-k-l.json,no_fit
67b-chat-q3-k-m,deepseek-llm:67b-chat-q3_K_M,../sizes/67b-chat-q3-k-m.json,no_fit
67b-chat-q3-k-s,deepseek-llm:67b-chat-q3_K_S,../sizes/67b-chat-q3-k-s.json,no_fit
67b-chat-q4-k-m,deepseek-llm:67b-chat-q4_K_M,../sizes/67b-chat-q4-k-m.json,no_fit
67b-chat-q4-k-s,deepseek-llm:67b-chat-q4_K_S,../sizes/67b-chat-q4-k-s.json,no_fit
67b-chat-q40,deepseek-llm:67b-chat-q4_0,../sizes/67b-chat-q40.json,no_fit
67b-chat-q41,deepseek-llm:67b-chat-q4_1,../sizes/67b-chat-q41.json,no_fit
67b-chat-q5-k-s,deepseek-llm:67b-chat-q5_K_S,../sizes/67b-chat-q5-k-s.json,no_fit
67b-chat-q50,deepseek-llm:67b-chat-q5_0,../sizes/67b-chat-q50.json,no_fit
67b-chat-q51,deepseek-llm:67b-chat-q5_1,../sizes/67b-chat-q51.json,no_fit
7b,deepseek-llm:7b,../sizes/7b.json,unknown
7b-base,deepseek-llm:7b-base,../sizes/7b-base.json,unknown
7b-base-fp16,deepseek-llm:7b-base-fp16,../sizes/7b-base-fp16.json,unknown
7b-base-q2-k,deepseek-llm:7b-base-q2_K,../sizes/7b-base-q2-k.json,unknown
7b-base-q3-k-l,deepseek-llm:7b-base-q3_K_L,../sizes/7b-base-q3-k-l.json,unknown
7b-base-q3-k-m,deepseek-llm:7b-base-q3_K_M,../sizes/7b-base-q3-k-m.json,unknown
7b-base-q3-k-s,deepseek-llm:7b-base-q3_K_S,../sizes/7b-base-q3-k-s.json,unknown
7b-base-q4-k-m,deepseek-llm:7b-base-q4_K_M,../sizes/7b-base-q4-k-m.json,unknown
7b-base-q4-k-s,deepseek-llm:7b-base-q4_K_S,../sizes/7b-base-q4-k-s.json,unknown
7b-base-q40,deepseek-llm:7b-base-q4_0,../sizes/7b-base-q40.json,unknown
7b-base-q41,deepseek-llm:7b-base-q4_1,../sizes/7b-base-q41.json,unknown
7b-base-q5-k-m,deepseek-llm:7b-base-q5_K_M,../sizes/7b-base-q5-k-m.json,unknown
7b-base-q5-k-s,deepseek-llm:7b-base-q5_K_S,../sizes/7b-base-q5-k-s.json,unknown
7b-base-q50,deepseek-llm:7b-base-q5_0,../sizes/7b-base-q50.json,unknown
7b-base-q51,deepseek-llm:7b-base-q5_1,../sizes/7b-base-q51.json,unknown
7b-base-q6-k,deepseek-llm:7b-base-q6_K,../sizes/7b-base-q6-k.json,unknown
7b-base-q80,deepseek-llm:7b-base-q8_0,../sizes/7b-base-q80.json,unknown
