size_slug,ollama_ref,size_file
671b,deepseek-r1:671b,sizes/671b.json
671b-fp16,deepseek-r1:671b-fp16,sizes/671b-fp16.json
671b-q4-k-m,deepseek-r1:671b-q4_K_M,sizes/671b-q4-k-m.json
671b-q80,deepseek-r1:671b-q8_0,sizes/671b-q80.json
671b0528-fp16,deepseek-r1:671b-0528-fp16,sizes/671b0528-fp16.json
671b0528-q4-k-m,deepseek-r1:671b-0528-q4_K_M,sizes/671b0528-q4-k-m.json
671b0528-q80,deepseek-r1:671b-0528-q8_0,sizes/671b0528-q80.json
70b,deepseek-r1:70b,sizes/70b.json
70b-llama-distill-fp16,deepseek-r1:70b-llama-distill-fp16,sizes/70b-llama-distill-fp16.json
70b-llama-distill-q4-k-m,deepseek-r1:70b-llama-distill-q4_K_M,sizes/70b-llama-distill-q4-k-m.json
70b-llama-distill-q80,deepseek-r1:70b-llama-distill-q8_0,sizes/70b-llama-distill-q80.json
32b,deepseek-r1:32b,sizes/32b.json
32b-qwen-distill-fp16,deepseek-r1:32b-qwen-distill-fp16,sizes/32b-qwen-distill-fp16.json
32b-qwen-distill-q4-k-m,deepseek-r1:32b-qwen-distill-q4_K_M,sizes/32b-qwen-distill-q4-k-m.json
32b-qwen-distill-q80,deepseek-r1:32b-qwen-distill-q8_0,sizes/32b-qwen-distill-q80.json
14b,deepseek-r1:14b,sizes/14b.json
14b-qwen-distill-fp16,deepseek-r1:14b-qwen-distill-fp16,sizes/14b-qwen-distill-fp16.json
14b-qwen-distill-q4-k-m,deepseek-r1:14b-qwen-distill-q4_K_M,sizes/14b-qwen-distill-q4-k-m.json
14b-qwen-distill-q80,deepseek-r1:14b-qwen-distill-q8_0,sizes/14b-qwen-distill-q80.json
8b,deepseek-r1:8b,sizes/8b.json
8b-llama-distill-fp16,deepseek-r1:8b-llama-distill-fp16,sizes/8b-llama-distill-fp16.json
8b-llama-distill-q4-k-m,deepseek-r1:8b-llama-distill-q4_K_M,sizes/8b-llama-distill-q4-k-m.json
8b-llama-distill-q80,deepseek-r1:8b-llama-distill-q8_0,sizes/8b-llama-distill-q80.json
8b0528-qwen3-fp16,deepseek-r1:8b-0528-qwen3-fp16,sizes/8b0528-qwen3-fp16.json
8b0528-qwen3-q4-k-m,deepseek-r1:8b-0528-qwen3-q4_K_M,sizes/8b0528-qwen3-q4-k-m.json
8b0528-qwen3-q80,deepseek-r1:8b-0528-qwen3-q8_0,sizes/8b0528-qwen3-q80.json
7b,deepseek-r1:7b,sizes/7b.json
7b-qwen-distill-fp16,deepseek-r1:7b-qwen-distill-fp16,sizes/7b-qwen-distill-fp16.json
7b-qwen-distill-q4-k-m,deepseek-r1:7b-qwen-distill-q4_K_M,sizes/7b-qwen-distill-q4-k-m.json
7b-qwen-distill-q80,deepseek-r1:7b-qwen-distill-q8_0,sizes/7b-qwen-distill-q80.json
1.5b,deepseek-r1:1.5b,sizes/1.5b.json
1.5b-qwen-distill-fp16,deepseek-r1:1.5b-qwen-distill-fp16,sizes/1.5b-qwen-distill-fp16.json
1.5b-qwen-distill-q4-k-m,deepseek-r1:1.5b-qwen-distill-q4_K_M,sizes/1.5b-qwen-distill-q4-k-m.json
1.5b-qwen-distill-q80,deepseek-r1:1.5b-qwen-distill-q8_0,sizes/1.5b-qwen-distill-q80.json
latest,deepseek-r1:latest,sizes/latest.json
