size_slug,size_json_path,ollama_ref
236b,profiles/deepseek-v2/sizes/236b.json,deepseek-v2:236b
236b-chat-fp16,profiles/deepseek-v2/sizes/236b-chat-fp16.json,deepseek-v2:236b-chat-fp16
236b-chat-q2-k,profiles/deepseek-v2/sizes/236b-chat-q2-k.json,deepseek-v2:236b-chat-q2_K
236b-chat-q3-k-l,profiles/deepseek-v2/sizes/236b-chat-q3-k-l.json,deepseek-v2:236b-chat-q3_K_L
236b-chat-q3-k-m,profiles/deepseek-v2/sizes/236b-chat-q3-k-m.json,deepseek-v2:236b-chat-q3_K_M
236b-chat-q3-k-s,profiles/deepseek-v2/sizes/236b-chat-q3-k-s.json,deepseek-v2:236b-chat-q3_K_S
236b-chat-q4-k-m,profiles/deepseek-v2/sizes/236b-chat-q4-k-m.json,deepseek-v2:236b-chat-q4_K_M
236b-chat-q4-k-s,profiles/deepseek-v2/sizes/236b-chat-q4-k-s.json,deepseek-v2:236b-chat-q4_K_S
236b-chat-q40,profiles/deepseek-v2/sizes/236b-chat-q40.json,deepseek-v2:236b-chat-q4_0
236b-chat-q41,profiles/deepseek-v2/sizes/236b-chat-q41.json,deepseek-v2:236b-chat-q4_1
236b-chat-q5-k-m,profiles/deepseek-v2/sizes/236b-chat-q5-k-m.json,deepseek-v2:236b-chat-q5_K_M
236b-chat-q5-k-s,profiles/deepseek-v2/sizes/236b-chat-q5-k-s.json,deepseek-v2:236b-chat-q5_K_S
236b-chat-q50,profiles/deepseek-v2/sizes/236b-chat-q50.json,deepseek-v2:236b-chat-q5_0
236b-chat-q51,profiles/deepseek-v2/sizes/236b-chat-q51.json,deepseek-v2:236b-chat-q5_1
236b-chat-q6-k,profiles/deepseek-v2/sizes/236b-chat-q6-k.json,deepseek-v2:236b-chat-q6_K
236b-chat-q80,profiles/deepseek-v2/sizes/236b-chat-q80.json,deepseek-v2:236b-chat-q8_0
16b,profiles/deepseek-v2/sizes/16b.json,deepseek-v2:16b
16b-lite-chat-fp16,profiles/deepseek-v2/sizes/16b-lite-chat-fp16.json,deepseek-v2:16b-lite-chat-fp16
16b-lite-chat-q2-k,profiles/deepseek-v2/sizes/16b-lite-chat-q2-k.json,deepseek-v2:16b-lite-chat-q2_K
16b-lite-chat-q3-k-l,profiles/deepseek-v2/sizes/16b-lite-chat-q3-k-l.json,deepseek-v2:16b-lite-chat-q3_K_L
16b-lite-chat-q3-k-m,profiles/deepseek-v2/sizes/16b-lite-chat-q3-k-m.json,deepseek-v2:16b-lite-chat-q3_K_M
16b-lite-chat-q3-k-s,profiles/deepseek-v2/sizes/16b-lite-chat-q3-k-s.json,deepseek-v2:16b-lite-chat-q3_K_S
16b-lite-chat-q4-k-m,profiles/deepseek-v2/sizes/16b-lite-chat-q4-k-m.json,deepseek-v2:16b-lite-chat-q4_K_M
16b-lite-chat-q4-k-s,profiles/deepseek-v2/sizes/16b-lite-chat-q4-k-s.json,deepseek-v2:16b-lite-chat-q4_K_S
16b-lite-chat-q40,profiles/deepseek-v2/sizes/16b-lite-chat-q40.json,deepseek-v2:16b-lite-chat-q4_0
16b-lite-chat-q41,profiles/deepseek-v2/sizes/16b-lite-chat-q41.json,deepseek-v2:16b-lite-chat-q4_1
16b-lite-chat-q5-k-m,profiles/deepseek-v2/sizes/16b-lite-chat-q5-k-m.json,deepseek-v2:16b-lite-chat-q5_K_M
16b-lite-chat-q5-k-s,profiles/deepseek-v2/sizes/16b-lite-chat-q5-k-s.json,deepseek-v2:16b-lite-chat-q5_K_S
16b-lite-chat-q50,profiles/deepseek-v2/sizes/16b-lite-chat-q50.json,deepseek-v2:16b-lite-chat-q5_0
16b-lite-chat-q51,profiles/deepseek-v2/sizes/16b-lite-chat-q51.json,deepseek-v2:16b-lite-chat-q5_1
16b-lite-chat-q6-k,profiles/deepseek-v2/sizes/16b-lite-chat-q6-k.json,deepseek-v2:16b-lite-chat-q6_K
16b-lite-chat-q80,profiles/deepseek-v2/sizes/16b-lite-chat-q80.json,deepseek-v2:16b-lite-chat-q8_0
latest,profiles/deepseek-v2/sizes/latest.json,deepseek-v2:latest
lite,profiles/deepseek-v2/sizes/lite.json,deepseek-v2:lite
