size_slug,ollama_ref,size_file
8b,dolphin-llama3:8b,sizes/8b.json
8b-256k,dolphin-llama3:8b-256k,sizes/8b-256k.json
8b-256k-v2-9,dolphin-llama3:8b-256k-v2.9,sizes/8b-256k-v2-9.json
8b-256k-v2-9-fp16,dolphin-llama3:8b-256k-v2.9-fp16,sizes/8b-256k-v2-9-fp16.json
8b-256k-v2-9-q2_k,dolphin-llama3:8b-256k-v2.9-q2_K,sizes/8b-256k-v2-9-q2_k.json
8b-256k-v2-9-q3_k_l,dolphin-llama3:8b-256k-v2.9-q3_K_L,sizes/8b-256k-v2-9-q3_k_l.json
8b-256k-v2-9-q3_k_m,dolphin-llama3:8b-256k-v2.9-q3_K_M,sizes/8b-256k-v2-9-q3_k_m.json
8b-256k-v2-9-q3_k_s,dolphin-llama3:8b-256k-v2.9-q3_K_S,sizes/8b-256k-v2-9-q3_k_s.json
8b-256k-v2-9-q4_0,dolphin-llama3:8b-256k-v2.9-q4_0,sizes/8b-256k-v2-9-q4_0.json
8b-256k-v2-9-q4_1,dolphin-llama3:8b-256k-v2.9-q4_1,sizes/8b-256k-v2-9-q4_1.json
8b-256k-v2-9-q4_k_m,dolphin-llama3:8b-256k-v2.9-q4_K_M,sizes/8b-256k-v2-9-q4_k_m.json
8b-256k-v2-9-q4_k_s,dolphin-llama3:8b-256k-v2.9-q4_K_S,sizes/8b-256k-v2-9-q4_k_s.json
8b-256k-v2-9-q5_0,dolphin-llama3:8b-256k-v2.9-q5_0,sizes/8b-256k-v2-9-q5_0.json
8b-256k-v2-9-q5_1,dolphin-llama3:8b-256k-v2.9-q5_1,sizes/8b-256k-v2-9-q5_1.json
8b-256k-v2-9-q5_k_m,dolphin-llama3:8b-256k-v2.9-q5_K_M,sizes/8b-256k-v2-9-q5_k_m.json
8b-256k-v2-9-q5_k_s,dolphin-llama3:8b-256k-v2.9-q5_K_S,sizes/8b-256k-v2-9-q5_k_s.json
8b-256k-v2-9-q6_k,dolphin-llama3:8b-256k-v2.9-q6_K,sizes/8b-256k-v2-9-q6_k.json
8b-256k-v2-9-q8_0,dolphin-llama3:8b-256k-v2.9-q8_0,sizes/8b-256k-v2-9-q8_0.json
8b-v2-9,dolphin-llama3:8b-v2.9,sizes/8b-v2-9.json
8b-v2-9-fp16,dolphin-llama3:8b-v2.9-fp16,sizes/8b-v2-9-fp16.json
8b-v2-9-q2_k,dolphin-llama3:8b-v2.9-q2_K,sizes/8b-v2-9-q2_k.json
8b-v2-9-q3_k_l,dolphin-llama3:8b-v2.9-q3_K_L,sizes/8b-v2-9-q3_k_l.json
8b-v2-9-q3_k_m,dolphin-llama3:8b-v2.9-q3_K_M,sizes/8b-v2-9-q3_k_m.json
8b-v2-9-q3_k_s,dolphin-llama3:8b-v2.9-q3_K_S,sizes/8b-v2-9-q3_k_s.json
8b-v2-9-q4_0,dolphin-llama3:8b-v2.9-q4_0,sizes/8b-v2-9-q4_0.json
8b-v2-9-q4_1,dolphin-llama3:8b-v2.9-q4_1,sizes/8b-v2-9-q4_1.json
8b-v2-9-q4_k_m,dolphin-llama3:8b-v2.9-q4_K_M,sizes/8b-v2-9-q4_k_m.json
8b-v2-9-q4_k_s,dolphin-llama3:8b-v2.9-q4_K_S,sizes/8b-v2-9-q4_k_s.json
8b-v2-9-q5_0,dolphin-llama3:8b-v2.9-q5_0,sizes/8b-v2-9-q5_0.json
8b-v2-9-q5_1,dolphin-llama3:8b-v2.9-q5_1,sizes/8b-v2-9-q5_1.json
8b-v2-9-q5_k_m,dolphin-llama3:8b-v2.9-q5_K_M,sizes/8b-v2-9-q5_k_m.json
8b-v2-9-q5_k_s,dolphin-llama3:8b-v2.9-q5_K_S,sizes/8b-v2-9-q5_k_s.json
8b-v2-9-q6_k,dolphin-llama3:8b-v2.9-q6_K,sizes/8b-v2-9-q6_k.json
8b-v2-9-q8_0,dolphin-llama3:8b-v2.9-q8_0,sizes/8b-v2-9-q8_0.json
latest,dolphin-llama3:latest,sizes/latest.json
v2-9,dolphin-llama3:v2.9,sizes/v2-9.json
