size_slug,size_json_path,ollama_ref
8x22b,profiles/dolphin-mixtral/sizes/8x22b.json,dolphin-mixtral:8x22b
8x22b-v2.9,profiles/dolphin-mixtral/sizes/8x22b-v2.9.json,dolphin-mixtral:8x22b-v2.9
8x22b-v2.9-fp16,profiles/dolphin-mixtral/sizes/8x22b-v2.9-fp16.json,dolphin-mixtral:8x22b-v2.9-fp16
8x22b-v2.9-q2-k,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q2-k.json,dolphin-mixtral:8x22b-v2.9-q2_K
8x22b-v2.9-q3-k-l,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q3-k-l.json,dolphin-mixtral:8x22b-v2.9-q3_K_L
8x22b-v2.9-q3-k-m,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q3-k-m.json,dolphin-mixtral:8x22b-v2.9-q3_K_M
8x22b-v2.9-q3-k-s,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q3-k-s.json,dolphin-mixtral:8x22b-v2.9-q3_K_S
8x22b-v2.9-q4-k-m,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q4-k-m.json,dolphin-mixtral:8x22b-v2.9-q4_K_M
8x22b-v2.9-q4-k-s,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q4-k-s.json,dolphin-mixtral:8x22b-v2.9-q4_K_S
8x22b-v2.9-q40,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q40.json,dolphin-mixtral:8x22b-v2.9-q4_0
8x22b-v2.9-q41,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q41.json,dolphin-mixtral:8x22b-v2.9-q4_1
8x22b-v2.9-q5-k-m,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q5-k-m.json,dolphin-mixtral:8x22b-v2.9-q5_K_M
8x22b-v2.9-q5-k-s,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q5-k-s.json,dolphin-mixtral:8x22b-v2.9-q5_K_S
8x22b-v2.9-q50,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q50.json,dolphin-mixtral:8x22b-v2.9-q5_0
8x22b-v2.9-q51,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q51.json,dolphin-mixtral:8x22b-v2.9-q5_1
8x22b-v2.9-q6-k,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q6-k.json,dolphin-mixtral:8x22b-v2.9-q6_K
8x22b-v2.9-q80,profiles/dolphin-mixtral/sizes/8x22b-v2.9-q80.json,dolphin-mixtral:8x22b-v2.9-q8_0
8x7b,profiles/dolphin-mixtral/sizes/8x7b.json,dolphin-mixtral:8x7b
8x7b-v2.5,profiles/dolphin-mixtral/sizes/8x7b-v2.5.json,dolphin-mixtral:8x7b-v2.5
8x7b-v2.5-fp16,profiles/dolphin-mixtral/sizes/8x7b-v2.5-fp16.json,dolphin-mixtral:8x7b-v2.5-fp16
8x7b-v2.5-q2-k,profiles/dolphin-mixtral/sizes/8x7b-v2.5-q2-k.json,dolphin-mixtral:8x7b-v2.5-q2_K
8x7b-v2.5-q3-k-l,profiles/dolphin-mixtral/sizes/8x7b-v2.5-q3-k-l.json,dolphin-mixtral:8x7b-v2.5-q3_K_L
8x7b-v2.5-q3-k-m,profiles/dolphin-mixtral/sizes/8x7b-v2.5-q3-k-m.json,dolphin-mixtral:8x7b-v2.5-q3_K_M
