size_slug,ollama_ref,size_file,fit_status
2-7b,dolphin-phi:2.7b,../sizes/2-7b.json,not_listed_in_agents_selection
2-7b-v2-6,dolphin-phi:2.7b-v2.6,../sizes/2-7b-v2-6.json,not_listed_in_agents_selection
2-7b-v2-6-q2_k,dolphin-phi:2.7b-v2.6-q2_K,../sizes/2-7b-v2-6-q2_k.json,not_listed_in_agents_selection
2-7b-v2-6-q3_k_l,dolphin-phi:2.7b-v2.6-q3_K_L,../sizes/2-7b-v2-6-q3_k_l.json,not_listed_in_agents_selection
2-7b-v2-6-q3_k_m,dolphin-phi:2.7b-v2.6-q3_K_M,../sizes/2-7b-v2-6-q3_k_m.json,not_listed_in_agents_selection
2-7b-v2-6-q3_k_s,dolphin-phi:2.7b-v2.6-q3_K_S,../sizes/2-7b-v2-6-q3_k_s.json,not_listed_in_agents_selection
2-7b-v2-6-q4_0,dolphin-phi:2.7b-v2.6-q4_0,../sizes/2-7b-v2-6-q4_0.json,not_listed_in_agents_selection
2-7b-v2-6-q4_k_m,dolphin-phi:2.7b-v2.6-q4_K_M,../sizes/2-7b-v2-6-q4_k_m.json,not_listed_in_agents_selection
2-7b-v2-6-q4_k_s,dolphin-phi:2.7b-v2.6-q4_K_S,../sizes/2-7b-v2-6-q4_k_s.json,not_listed_in_agents_selection
2-7b-v2-6-q5_0,dolphin-phi:2.7b-v2.6-q5_0,../sizes/2-7b-v2-6-q5_0.json,not_listed_in_agents_selection
2-7b-v2-6-q5_k_m,dolphin-phi:2.7b-v2.6-q5_K_M,../sizes/2-7b-v2-6-q5_k_m.json,not_listed_in_agents_selection
2-7b-v2-6-q5_k_s,dolphin-phi:2.7b-v2.6-q5_K_S,../sizes/2-7b-v2-6-q5_k_s.json,not_listed_in_agents_selection
2-7b-v2-6-q6_k,dolphin-phi:2.7b-v2.6-q6_K,../sizes/2-7b-v2-6-q6_k.json,not_listed_in_agents_selection
2-7b-v2-6-q8_0,dolphin-phi:2.7b-v2.6-q8_0,../sizes/2-7b-v2-6-q8_0.json,not_listed_in_agents_selection
latest,dolphin-phi:latest,../sizes/latest.json,not_listed_in_agents_selection
