size_slug,ollama_ref,size_file,fit_status
13b,everythinglm:13b,../sizes/13b.json,not_listed_in_agents_selection
13b-16k,everythinglm:13b-16k,../sizes/13b-16k.json,not_listed_in_agents_selection
13b-16k-fp16,everythinglm:13b-16k-fp16,../sizes/13b-16k-fp16.json,not_listed_in_agents_selection
13b-16k-q2_k,everythinglm:13b-16k-q2_K,../sizes/13b-16k-q2_k.json,not_listed_in_agents_selection
13b-16k-q3_k_l,everythinglm:13b-16k-q3_K_L,../sizes/13b-16k-q3_k_l.json,not_listed_in_agents_selection
13b-16k-q3_k_m,everythinglm:13b-16k-q3_K_M,../sizes/13b-16k-q3_k_m.json,not_listed_in_agents_selection
13b-16k-q3_k_s,everythinglm:13b-16k-q3_K_S,../sizes/13b-16k-q3_k_s.json,not_listed_in_agents_selection
13b-16k-q4_0,everythinglm:13b-16k-q4_0,../sizes/13b-16k-q4_0.json,not_listed_in_agents_selection
13b-16k-q4_1,everythinglm:13b-16k-q4_1,../sizes/13b-16k-q4_1.json,not_listed_in_agents_selection
13b-16k-q4_k_m,everythinglm:13b-16k-q4_K_M,../sizes/13b-16k-q4_k_m.json,not_listed_in_agents_selection
13b-16k-q4_k_s,everythinglm:13b-16k-q4_K_S,../sizes/13b-16k-q4_k_s.json,not_listed_in_agents_selection
13b-16k-q5_0,everythinglm:13b-16k-q5_0,../sizes/13b-16k-q5_0.json,not_listed_in_agents_selection
13b-16k-q5_1,everythinglm:13b-16k-q5_1,../sizes/13b-16k-q5_1.json,not_listed_in_agents_selection
13b-16k-q5_k_m,everythinglm:13b-16k-q5_K_M,../sizes/13b-16k-q5_k_m.json,not_listed_in_agents_selection
13b-16k-q5_k_s,everythinglm:13b-16k-q5_K_S,../sizes/13b-16k-q5_k_s.json,not_listed_in_agents_selection
13b-16k-q6_k,everythinglm:13b-16k-q6_K,../sizes/13b-16k-q6_k.json,not_listed_in_agents_selection
13b-16k-q8_0,everythinglm:13b-16k-q8_0,../sizes/13b-16k-q8_0.json,not_listed_in_agents_selection
latest,everythinglm:latest,../sizes/latest.json,not_listed_in_agents_selection
