size_slug,ollama_ref,size_file
11b,falcon2:11b,sizes/11b.json
11b-fp16,falcon2:11b-fp16,sizes/11b-fp16.json
11b-q2_k,falcon2:11b-q2_K,sizes/11b-q2_k.json
11b-q3_k_l,falcon2:11b-q3_K_L,sizes/11b-q3_k_l.json
11b-q3_k_m,falcon2:11b-q3_K_M,sizes/11b-q3_k_m.json
11b-q3_k_s,falcon2:11b-q3_K_S,sizes/11b-q3_k_s.json
11b-q4_0,falcon2:11b-q4_0,sizes/11b-q4_0.json
11b-q4_1,falcon2:11b-q4_1,sizes/11b-q4_1.json
11b-q4_k_m,falcon2:11b-q4_K_M,sizes/11b-q4_k_m.json
11b-q4_k_s,falcon2:11b-q4_K_S,sizes/11b-q4_k_s.json
11b-q5_0,falcon2:11b-q5_0,sizes/11b-q5_0.json
11b-q5_1,falcon2:11b-q5_1,sizes/11b-q5_1.json
11b-q5_k_m,falcon2:11b-q5_K_M,sizes/11b-q5_k_m.json
11b-q5_k_s,falcon2:11b-q5_K_S,sizes/11b-q5_k_s.json
11b-q6_k,falcon2:11b-q6_K,sizes/11b-q6_k.json
11b-q8_0,falcon2:11b-q8_0,sizes/11b-q8_0.json
latest,falcon2:latest,sizes/latest.json
