size_slug,size_json_path,ollama_ref
11b,profiles/falcon2/sizes/11b.json,falcon2:11b
11b-fp16,profiles/falcon2/sizes/11b-fp16.json,falcon2:11b-fp16
11b-q2-k,profiles/falcon2/sizes/11b-q2-k.json,falcon2:11b-q2_K
11b-q3-k-l,profiles/falcon2/sizes/11b-q3-k-l.json,falcon2:11b-q3_K_L
11b-q3-k-m,profiles/falcon2/sizes/11b-q3-k-m.json,falcon2:11b-q3_K_M
11b-q3-k-s,profiles/falcon2/sizes/11b-q3-k-s.json,falcon2:11b-q3_K_S
11b-q4-k-m,profiles/falcon2/sizes/11b-q4-k-m.json,falcon2:11b-q4_K_M
11b-q4-k-s,profiles/falcon2/sizes/11b-q4-k-s.json,falcon2:11b-q4_K_S
11b-q40,profiles/falcon2/sizes/11b-q40.json,falcon2:11b-q4_0
11b-q41,profiles/falcon2/sizes/11b-q41.json,falcon2:11b-q4_1
11b-q5-k-m,profiles/falcon2/sizes/11b-q5-k-m.json,falcon2:11b-q5_K_M
11b-q5-k-s,profiles/falcon2/sizes/11b-q5-k-s.json,falcon2:11b-q5_K_S
11b-q50,profiles/falcon2/sizes/11b-q50.json,falcon2:11b-q5_0
11b-q51,profiles/falcon2/sizes/11b-q51.json,falcon2:11b-q5_1
11b-q6-k,profiles/falcon2/sizes/11b-q6-k.json,falcon2:11b-q6_K
11b-q80,profiles/falcon2/sizes/11b-q80.json,falcon2:11b-q8_0
latest,profiles/falcon2/sizes/latest.json,falcon2:latest
