size_slug,size_json_path,ollama_ref
10b,profiles/falcon3/sizes/10b.json,falcon3:10b
10b-instruct-fp16,profiles/falcon3/sizes/10b-instruct-fp16.json,falcon3:10b-instruct-fp16
10b-instruct-q4-k-m,profiles/falcon3/sizes/10b-instruct-q4-k-m.json,falcon3:10b-instruct-q4_K_M
10b-instruct-q80,profiles/falcon3/sizes/10b-instruct-q80.json,falcon3:10b-instruct-q8_0
7b,profiles/falcon3/sizes/7b.json,falcon3:7b
7b-instruct-fp16,profiles/falcon3/sizes/7b-instruct-fp16.json,falcon3:7b-instruct-fp16
7b-instruct-q4-k-m,profiles/falcon3/sizes/7b-instruct-q4-k-m.json,falcon3:7b-instruct-q4_K_M
7b-instruct-q80,profiles/falcon3/sizes/7b-instruct-q80.json,falcon3:7b-instruct-q8_0
3b,profiles/falcon3/sizes/3b.json,falcon3:3b
3b-instruct-fp16,profiles/falcon3/sizes/3b-instruct-fp16.json,falcon3:3b-instruct-fp16
3b-instruct-q4-k-m,profiles/falcon3/sizes/3b-instruct-q4-k-m.json,falcon3:3b-instruct-q4_K_M
3b-instruct-q80,profiles/falcon3/sizes/3b-instruct-q80.json,falcon3:3b-instruct-q8_0
1b,profiles/falcon3/sizes/1b.json,falcon3:1b
1b-instruct-fp16,profiles/falcon3/sizes/1b-instruct-fp16.json,falcon3:1b-instruct-fp16
1b-instruct-q4-k-m,profiles/falcon3/sizes/1b-instruct-q4-k-m.json,falcon3:1b-instruct-q4_K_M
1b-instruct-q80,profiles/falcon3/sizes/1b-instruct-q80.json,falcon3:1b-instruct-q8_0
latest,profiles/falcon3/sizes/latest.json,falcon3:latest
