size_slug,size_json_path,ollama_ref
70b,profiles/firefunction-v2/sizes/70b.json,firefunction-v2:70b
70b-fp16,profiles/firefunction-v2/sizes/70b-fp16.json,firefunction-v2:70b-fp16
70b-q2-k,profiles/firefunction-v2/sizes/70b-q2-k.json,firefunction-v2:70b-q2_K
70b-q3-k-l,profiles/firefunction-v2/sizes/70b-q3-k-l.json,firefunction-v2:70b-q3_K_L
70b-q3-k-m,profiles/firefunction-v2/sizes/70b-q3-k-m.json,firefunction-v2:70b-q3_K_M
70b-q3-k-s,profiles/firefunction-v2/sizes/70b-q3-k-s.json,firefunction-v2:70b-q3_K_S
70b-q4-k-m,profiles/firefunction-v2/sizes/70b-q4-k-m.json,firefunction-v2:70b-q4_K_M
70b-q4-k-s,profiles/firefunction-v2/sizes/70b-q4-k-s.json,firefunction-v2:70b-q4_K_S
70b-q40,profiles/firefunction-v2/sizes/70b-q40.json,firefunction-v2:70b-q4_0
70b-q41,profiles/firefunction-v2/sizes/70b-q41.json,firefunction-v2:70b-q4_1
70b-q5-k-m,profiles/firefunction-v2/sizes/70b-q5-k-m.json,firefunction-v2:70b-q5_K_M
70b-q5-k-s,profiles/firefunction-v2/sizes/70b-q5-k-s.json,firefunction-v2:70b-q5_K_S
70b-q50,profiles/firefunction-v2/sizes/70b-q50.json,firefunction-v2:70b-q5_0
70b-q51,profiles/firefunction-v2/sizes/70b-q51.json,firefunction-v2:70b-q5_1
70b-q6-k,profiles/firefunction-v2/sizes/70b-q6-k.json,firefunction-v2:70b-q6_K
70b-q80,profiles/firefunction-v2/sizes/70b-q80.json,firefunction-v2:70b-q8_0
latest,profiles/firefunction-v2/sizes/latest.json,firefunction-v2:latest
