size_slug,ollama_ref,size_file,fit_status
7b,gemma:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-instruct,gemma:7b-instruct,../sizes/7b-instruct.json,not_listed_in_agents_selection
7b-instruct-fp16,gemma:7b-instruct-fp16,../sizes/7b-instruct-fp16.json,not_listed_in_agents_selection
7b-instruct-q2_k,gemma:7b-instruct-q2_K,../sizes/7b-instruct-q2_k.json,not_listed_in_agents_selection
7b-instruct-q3_k_l,gemma:7b-instruct-q3_K_L,../sizes/7b-instruct-q3_k_l.json,not_listed_in_agents_selection
7b-instruct-q3_k_m,gemma:7b-instruct-q3_K_M,../sizes/7b-instruct-q3_k_m.json,not_listed_in_agents_selection
7b-instruct-q3_k_s,gemma:7b-instruct-q3_K_S,../sizes/7b-instruct-q3_k_s.json,not_listed_in_agents_selection
7b-instruct-q4_0,gemma:7b-instruct-q4_0,../sizes/7b-instruct-q4_0.json,not_listed_in_agents_selection
7b-instruct-q4_1,gemma:7b-instruct-q4_1,../sizes/7b-instruct-q4_1.json,not_listed_in_agents_selection
7b-instruct-q4_k_m,gemma:7b-instruct-q4_K_M,../sizes/7b-instruct-q4_k_m.json,not_listed_in_agents_selection
7b-instruct-q4_k_s,gemma:7b-instruct-q4_K_S,../sizes/7b-instruct-q4_k_s.json,not_listed_in_agents_selection
7b-instruct-q5_0,gemma:7b-instruct-q5_0,../sizes/7b-instruct-q5_0.json,not_listed_in_agents_selection
7b-instruct-q5_1,gemma:7b-instruct-q5_1,../sizes/7b-instruct-q5_1.json,not_listed_in_agents_selection
7b-instruct-q5_k_m,gemma:7b-instruct-q5_K_M,../sizes/7b-instruct-q5_k_m.json,not_listed_in_agents_selection
7b-instruct-q5_k_s,gemma:7b-instruct-q5_K_S,../sizes/7b-instruct-q5_k_s.json,not_listed_in_agents_selection
7b-instruct-q6_k,gemma:7b-instruct-q6_K,../sizes/7b-instruct-q6_k.json,not_listed_in_agents_selection
7b-instruct-q8_0,gemma:7b-instruct-q8_0,../sizes/7b-instruct-q8_0.json,not_listed_in_agents_selection
7b-instruct-v1-1-fp16,gemma:7b-instruct-v1.1-fp16,../sizes/7b-instruct-v1-1-fp16.json,not_listed_in_agents_selection
7b-instruct-v1-1-q2_k,gemma:7b-instruct-v1.1-q2_K,../sizes/7b-instruct-v1-1-q2_k.json,not_listed_in_agents_selection
7b-instruct-v1-1-q3_k_l,gemma:7b-instruct-v1.1-q3_K_L,../sizes/7b-instruct-v1-1-q3_k_l.json,not_listed_in_agents_selection
7b-instruct-v1-1-q3_k_m,gemma:7b-instruct-v1.1-q3_K_M,../sizes/7b-instruct-v1-1-q3_k_m.json,not_listed_in_agents_selection
7b-instruct-v1-1-q3_k_s,gemma:7b-instruct-v1.1-q3_K_S,../sizes/7b-instruct-v1-1-q3_k_s.json,not_listed_in_agents_selection
7b-instruct-v1-1-q4_0,gemma:7b-instruct-v1.1-q4_0,../sizes/7b-instruct-v1-1-q4_0.json,not_listed_in_agents_selection
7b-instruct-v1-1-q4_1,gemma:7b-instruct-v1.1-q4_1,../sizes/7b-instruct-v1-1-q4_1.json,not_listed_in_agents_selection
7b-instruct-v1-1-q4_k_m,gemma:7b-instruct-v1.1-q4_K_M,../sizes/7b-instruct-v1-1-q4_k_m.json,not_listed_in_agents_selection
7b-instruct-v1-1-q4_k_s,gemma:7b-instruct-v1.1-q4_K_S,../sizes/7b-instruct-v1-1-q4_k_s.json,not_listed_in_agents_selection
7b-instruct-v1-1-q5_0,gemma:7b-instruct-v1.1-q5_0,../sizes/7b-instruct-v1-1-q5_0.json,not_listed_in_agents_selection
7b-instruct-v1-1-q5_1,gemma:7b-instruct-v1.1-q5_1,../sizes/7b-instruct-v1-1-q5_1.json,not_listed_in_agents_selection
7b-instruct-v1-1-q5_k_m,gemma:7b-instruct-v1.1-q5_K_M,../sizes/7b-instruct-v1-1-q5_k_m.json,not_listed_in_agents_selection
7b-instruct-v1-1-q5_k_s,gemma:7b-instruct-v1.1-q5_K_S,../sizes/7b-instruct-v1-1-q5_k_s.json,not_listed_in_agents_selection
7b-instruct-v1-1-q6_k,gemma:7b-instruct-v1.1-q6_K,../sizes/7b-instruct-v1-1-q6_k.json,not_listed_in_agents_selection
7b-instruct-v1-1-q8_0,gemma:7b-instruct-v1.1-q8_0,../sizes/7b-instruct-v1-1-q8_0.json,not_listed_in_agents_selection
7b-text,gemma:7b-text,../sizes/7b-text.json,not_listed_in_agents_selection
7b-text-fp16,gemma:7b-text-fp16,../sizes/7b-text-fp16.json,not_listed_in_agents_selection
7b-text-q2_k,gemma:7b-text-q2_K,../sizes/7b-text-q2_k.json,not_listed_in_agents_selection
7b-text-q3_k_l,gemma:7b-text-q3_K_L,../sizes/7b-text-q3_k_l.json,not_listed_in_agents_selection
7b-text-q3_k_m,gemma:7b-text-q3_K_M,../sizes/7b-text-q3_k_m.json,not_listed_in_agents_selection
7b-text-q3_k_s,gemma:7b-text-q3_K_S,../sizes/7b-text-q3_k_s.json,not_listed_in_agents_selection
7b-text-q4_0,gemma:7b-text-q4_0,../sizes/7b-text-q4_0.json,not_listed_in_agents_selection
7b-text-q4_1,gemma:7b-text-q4_1,../sizes/7b-text-q4_1.json,not_listed_in_agents_selection
7b-text-q4_k_m,gemma:7b-text-q4_K_M,../sizes/7b-text-q4_k_m.json,not_listed_in_agents_selection
7b-text-q4_k_s,gemma:7b-text-q4_K_S,../sizes/7b-text-q4_k_s.json,not_listed_in_agents_selection
7b-text-q5_0,gemma:7b-text-q5_0,../sizes/7b-text-q5_0.json,not_listed_in_agents_selection
7b-text-q5_1,gemma:7b-text-q5_1,../sizes/7b-text-q5_1.json,not_listed_in_agents_selection
7b-text-q5_k_m,gemma:7b-text-q5_K_M,../sizes/7b-text-q5_k_m.json,not_listed_in_agents_selection
7b-text-q5_k_s,gemma:7b-text-q5_K_S,../sizes/7b-text-q5_k_s.json,not_listed_in_agents_selection
7b-text-q6_k,gemma:7b-text-q6_K,../sizes/7b-text-q6_k.json,not_listed_in_agents_selection
7b-text-q8_0,gemma:7b-text-q8_0,../sizes/7b-text-q8_0.json,not_listed_in_agents_selection
7b-v1-1,gemma:7b-v1.1,../sizes/7b-v1-1.json,not_listed_in_agents_selection
instruct,gemma:instruct,../sizes/instruct.json,not_listed_in_agents_selection
latest,gemma:latest,../sizes/latest.json,not_listed_in_agents_selection
