size_slug,size_json_path,ollama_ref
27b,profiles/gemma2/sizes/27b.json,gemma2:27b
27b-instruct-fp16,profiles/gemma2/sizes/27b-instruct-fp16.json,gemma2:27b-instruct-fp16
27b-instruct-q2-k,profiles/gemma2/sizes/27b-instruct-q2-k.json,gemma2:27b-instruct-q2_K
27b-instruct-q3-k-l,profiles/gemma2/sizes/27b-instruct-q3-k-l.json,gemma2:27b-instruct-q3_K_L
27b-instruct-q3-k-m,profiles/gemma2/sizes/27b-instruct-q3-k-m.json,gemma2:27b-instruct-q3_K_M
27b-instruct-q3-k-s,profiles/gemma2/sizes/27b-instruct-q3-k-s.json,gemma2:27b-instruct-q3_K_S
27b-instruct-q4-k-m,profiles/gemma2/sizes/27b-instruct-q4-k-m.json,gemma2:27b-instruct-q4_K_M
27b-instruct-q4-k-s,profiles/gemma2/sizes/27b-instruct-q4-k-s.json,gemma2:27b-instruct-q4_K_S
27b-instruct-q40,profiles/gemma2/sizes/27b-instruct-q40.json,gemma2:27b-instruct-q4_0
27b-instruct-q41,profiles/gemma2/sizes/27b-instruct-q41.json,gemma2:27b-instruct-q4_1
27b-instruct-q5-k-m,profiles/gemma2/sizes/27b-instruct-q5-k-m.json,gemma2:27b-instruct-q5_K_M
27b-instruct-q5-k-s,profiles/gemma2/sizes/27b-instruct-q5-k-s.json,gemma2:27b-instruct-q5_K_S
27b-instruct-q50,profiles/gemma2/sizes/27b-instruct-q50.json,gemma2:27b-instruct-q5_0
27b-instruct-q51,profiles/gemma2/sizes/27b-instruct-q51.json,gemma2:27b-instruct-q5_1
27b-instruct-q6-k,profiles/gemma2/sizes/27b-instruct-q6-k.json,gemma2:27b-instruct-q6_K
27b-instruct-q80,profiles/gemma2/sizes/27b-instruct-q80.json,gemma2:27b-instruct-q8_0
27b-text-fp16,profiles/gemma2/sizes/27b-text-fp16.json,gemma2:27b-text-fp16
27b-text-q2-k,profiles/gemma2/sizes/27b-text-q2-k.json,gemma2:27b-text-q2_K
27b-text-q3-k-l,profiles/gemma2/sizes/27b-text-q3-k-l.json,gemma2:27b-text-q3_K_L
27b-text-q3-k-m,profiles/gemma2/sizes/27b-text-q3-k-m.json,gemma2:27b-text-q3_K_M
27b-text-q3-k-s,profiles/gemma2/sizes/27b-text-q3-k-s.json,gemma2:27b-text-q3_K_S
27b-text-q4-k-m,profiles/gemma2/sizes/27b-text-q4-k-m.json,gemma2:27b-text-q4_K_M
27b-text-q4-k-s,profiles/gemma2/sizes/27b-text-q4-k-s.json,gemma2:27b-text-q4_K_S
27b-text-q40,profiles/gemma2/sizes/27b-text-q40.json,gemma2:27b-text-q4_0
27b-text-q41,profiles/gemma2/sizes/27b-text-q41.json,gemma2:27b-text-q4_1
27b-text-q5-k-m,profiles/gemma2/sizes/27b-text-q5-k-m.json,gemma2:27b-text-q5_K_M
27b-text-q5-k-s,profiles/gemma2/sizes/27b-text-q5-k-s.json,gemma2:27b-text-q5_K_S
27b-text-q50,profiles/gemma2/sizes/27b-text-q50.json,gemma2:27b-text-q5_0
27b-text-q51,profiles/gemma2/sizes/27b-text-q51.json,gemma2:27b-text-q5_1
27b-text-q6-k,profiles/gemma2/sizes/27b-text-q6-k.json,gemma2:27b-text-q6_K
27b-text-q80,profiles/gemma2/sizes/27b-text-q80.json,gemma2:27b-text-q8_0
9b,profiles/gemma2/sizes/9b.json,gemma2:9b
9b-instruct-fp16,profiles/gemma2/sizes/9b-instruct-fp16.json,gemma2:9b-instruct-fp16
9b-instruct-q2-k,profiles/gemma2/sizes/9b-instruct-q2-k.json,gemma2:9b-instruct-q2_K
9b-instruct-q3-k-l,profiles/gemma2/sizes/9b-instruct-q3-k-l.json,gemma2:9b-instruct-q3_K_L
