size_slug,ollama_ref,size_file
27b,gemma3:27b,sizes/27b.json
27b-it-fp16,gemma3:27b-it-fp16,sizes/27b-it-fp16.json
27b-it-q4-k-m,gemma3:27b-it-q4_K_M,sizes/27b-it-q4-k-m.json
27b-it-q80,gemma3:27b-it-q8_0,sizes/27b-it-q80.json
27b-it-qat,gemma3:27b-it-qat,sizes/27b-it-qat.json
12b,gemma3:12b,sizes/12b.json
12b-it-fp16,gemma3:12b-it-fp16,sizes/12b-it-fp16.json
12b-it-q4-k-m,gemma3:12b-it-q4_K_M,sizes/12b-it-q4-k-m.json
12b-it-q80,gemma3:12b-it-q8_0,sizes/12b-it-q80.json
12b-it-qat,gemma3:12b-it-qat,sizes/12b-it-qat.json
4b,gemma3:4b,sizes/4b.json
4b-it-fp16,gemma3:4b-it-fp16,sizes/4b-it-fp16.json
4b-it-q4-k-m,gemma3:4b-it-q4_K_M,sizes/4b-it-q4-k-m.json
4b-it-q80,gemma3:4b-it-q8_0,sizes/4b-it-q80.json
4b-it-qat,gemma3:4b-it-qat,sizes/4b-it-qat.json
1b,gemma3:1b,sizes/1b.json
1b-it-fp16,gemma3:1b-it-fp16,sizes/1b-it-fp16.json
1b-it-q4-k-m,gemma3:1b-it-q4_K_M,sizes/1b-it-q4-k-m.json
1b-it-q80,gemma3:1b-it-q8_0,sizes/1b-it-q80.json
1b-it-qat,gemma3:1b-it-qat,sizes/1b-it-qat.json
270m,gemma3:270m,sizes/270m.json
270m-it-bf16,gemma3:270m-it-bf16,sizes/270m-it-bf16.json
270m-it-fp16,gemma3:270m-it-fp16,sizes/270m-it-fp16.json
270m-it-q80,gemma3:270m-it-q8_0,sizes/270m-it-q80.json
270m-it-qat,gemma3:270m-it-qat,sizes/270m-it-qat.json
latest,gemma3:latest,sizes/latest.json
