size_slug,ollama_ref,size_file,fit_status
31b,gemma4:31b,../sizes/31b.json,no_fit
31b-cloud,gemma4:31b-cloud,../sizes/31b-cloud.json,no_fit
31b-coding-mtp-bf16,gemma4:31b-coding-mtp-bf16,../sizes/31b-coding-mtp-bf16.json,no_fit
31b-it-bf16,gemma4:31b-it-bf16,../sizes/31b-it-bf16.json,no_fit
31b-it-q4-k-m,gemma4:31b-it-q4_K_M,../sizes/31b-it-q4-k-m.json,no_fit
31b-it-q80,gemma4:31b-it-q8_0,../sizes/31b-it-q80.json,no_fit
31b-it-qat,gemma4:31b-it-qat,../sizes/31b-it-qat.json,no_fit
31b-mlx,gemma4:31b-mlx,../sizes/31b-mlx.json,no_fit
31b-mlx-bf16,gemma4:31b-mlx-bf16,../sizes/31b-mlx-bf16.json,no_fit
31b-mxfp8,gemma4:31b-mxfp8,../sizes/31b-mxfp8.json,no_fit
31b-nvfp4,gemma4:31b-nvfp4,../sizes/31b-nvfp4.json,no_fit
26b,gemma4:26b,../sizes/26b.json,no_fit
26b-a4b-it-bf16,gemma4:26b-a4b-it-bf16,../sizes/26b-a4b-it-bf16.json,no_fit
26b-a4b-it-q4-k-m,gemma4:26b-a4b-it-q4_K_M,../sizes/26b-a4b-it-q4-k-m.json,no_fit
26b-a4b-it-q80,gemma4:26b-a4b-it-q8_0,../sizes/26b-a4b-it-q80.json,no_fit
26b-a4b-it-qat,gemma4:26b-a4b-it-qat,../sizes/26b-a4b-it-qat.json,no_fit
26b-mlx,gemma4:26b-mlx,../sizes/26b-mlx.json,no_fit
26b-mlx-bf16,gemma4:26b-mlx-bf16,../sizes/26b-mlx-bf16.json,no_fit
26b-mxfp8,gemma4:26b-mxfp8,../sizes/26b-mxfp8.json,no_fit
26b-nvfp4,gemma4:26b-nvfp4,../sizes/26b-nvfp4.json,no_fit
12b,gemma4:12b,../sizes/12b.json,no_fit
12b-it-bf16,gemma4:12b-it-bf16,../sizes/12b-it-bf16.json,no_fit
12b-it-q4-k-m,gemma4:12b-it-q4_K_M,../sizes/12b-it-q4-k-m.json,no_fit
12b-it-q80,gemma4:12b-it-q8_0,../sizes/12b-it-q80.json,no_fit
12b-it-qat,gemma4:12b-it-qat,../sizes/12b-it-qat.json,no_fit
12b-mlx,gemma4:12b-mlx,../sizes/12b-mlx.json,no_fit
12b-mlx-bf16,gemma4:12b-mlx-bf16,../sizes/12b-mlx-bf16.json,no_fit
12b-mxfp8,gemma4:12b-mxfp8,../sizes/12b-mxfp8.json,no_fit
12b-nvfp4,gemma4:12b-nvfp4,../sizes/12b-nvfp4.json,no_fit
e4b,gemma4:e4b,../sizes/e4b.json,no_fit
e4b-it-bf16,gemma4:e4b-it-bf16,../sizes/e4b-it-bf16.json,no_fit
e4b-it-q4-k-m,gemma4:e4b-it-q4_K_M,../sizes/e4b-it-q4-k-m.json,no_fit
e4b-it-q80,gemma4:e4b-it-q8_0,../sizes/e4b-it-q80.json,no_fit
e4b-it-qat,gemma4:e4b-it-qat,../sizes/e4b-it-qat.json,unknown
e4b-mlx,gemma4:e4b-mlx,../sizes/e4b-mlx.json,no_fit
e4b-mlx-bf16,gemma4:e4b-mlx-bf16,../sizes/e4b-mlx-bf16.json,no_fit
e4b-mxfp8,gemma4:e4b-mxfp8,../sizes/e4b-mxfp8.json,no_fit
e4b-nvfp4,gemma4:e4b-nvfp4,../sizes/e4b-nvfp4.json,no_fit
e2b,gemma4:e2b,../sizes/e2b.json,unknown
e2b-it-bf16,gemma4:e2b-it-bf16,../sizes/e2b-it-bf16.json,no_fit
e2b-it-q4-k-m,gemma4:e2b-it-q4_K_M,../sizes/e2b-it-q4-k-m.json,unknown
e2b-it-q80,gemma4:e2b-it-q8_0,../sizes/e2b-it-q80.json,no_fit
e2b-it-qat,gemma4:e2b-it-qat,../sizes/e2b-it-qat.json,unknown
e2b-mlx,gemma4:e2b-mlx,../sizes/e2b-mlx.json,unknown
e2b-mlx-bf16,gemma4:e2b-mlx-bf16,../sizes/e2b-mlx-bf16.json,no_fit
e2b-mxfp8,gemma4:e2b-mxfp8,../sizes/e2b-mxfp8.json,no_fit
e2b-nvfp4,gemma4:e2b-nvfp4,../sizes/e2b-nvfp4.json,unknown
cloud,gemma4:cloud,../sizes/cloud.json,no_fit
latest,gemma4:latest,../sizes/latest.json,no_fit
