size_slug,size_json_path,ollama_ref
31b,profiles/gemma4/sizes/31b.json,gemma4:31b
31b-cloud,profiles/gemma4/sizes/31b-cloud.json,gemma4:31b-cloud
31b-coding-mtp-bf16,profiles/gemma4/sizes/31b-coding-mtp-bf16.json,gemma4:31b-coding-mtp-bf16
31b-it-bf16,profiles/gemma4/sizes/31b-it-bf16.json,gemma4:31b-it-bf16
31b-it-q4-k-m,profiles/gemma4/sizes/31b-it-q4-k-m.json,gemma4:31b-it-q4_K_M
31b-it-q80,profiles/gemma4/sizes/31b-it-q80.json,gemma4:31b-it-q8_0
31b-it-qat,profiles/gemma4/sizes/31b-it-qat.json,gemma4:31b-it-qat
31b-mlx,profiles/gemma4/sizes/31b-mlx.json,gemma4:31b-mlx
31b-mlx-bf16,profiles/gemma4/sizes/31b-mlx-bf16.json,gemma4:31b-mlx-bf16
31b-mxfp8,profiles/gemma4/sizes/31b-mxfp8.json,gemma4:31b-mxfp8
31b-nvfp4,profiles/gemma4/sizes/31b-nvfp4.json,gemma4:31b-nvfp4
26b,profiles/gemma4/sizes/26b.json,gemma4:26b
26b-a4b-it-bf16,profiles/gemma4/sizes/26b-a4b-it-bf16.json,gemma4:26b-a4b-it-bf16
26b-a4b-it-q4-k-m,profiles/gemma4/sizes/26b-a4b-it-q4-k-m.json,gemma4:26b-a4b-it-q4_K_M
26b-a4b-it-q80,profiles/gemma4/sizes/26b-a4b-it-q80.json,gemma4:26b-a4b-it-q8_0
26b-a4b-it-qat,profiles/gemma4/sizes/26b-a4b-it-qat.json,gemma4:26b-a4b-it-qat
26b-mlx,profiles/gemma4/sizes/26b-mlx.json,gemma4:26b-mlx
26b-mlx-bf16,profiles/gemma4/sizes/26b-mlx-bf16.json,gemma4:26b-mlx-bf16
26b-mxfp8,profiles/gemma4/sizes/26b-mxfp8.json,gemma4:26b-mxfp8
26b-nvfp4,profiles/gemma4/sizes/26b-nvfp4.json,gemma4:26b-nvfp4
12b,profiles/gemma4/sizes/12b.json,gemma4:12b
12b-it-bf16,profiles/gemma4/sizes/12b-it-bf16.json,gemma4:12b-it-bf16
12b-it-q4-k-m,profiles/gemma4/sizes/12b-it-q4-k-m.json,gemma4:12b-it-q4_K_M
12b-it-q80,profiles/gemma4/sizes/12b-it-q80.json,gemma4:12b-it-q8_0
12b-it-qat,profiles/gemma4/sizes/12b-it-qat.json,gemma4:12b-it-qat
12b-mlx,profiles/gemma4/sizes/12b-mlx.json,gemma4:12b-mlx
12b-mlx-bf16,profiles/gemma4/sizes/12b-mlx-bf16.json,gemma4:12b-mlx-bf16
12b-mxfp8,profiles/gemma4/sizes/12b-mxfp8.json,gemma4:12b-mxfp8
12b-nvfp4,profiles/gemma4/sizes/12b-nvfp4.json,gemma4:12b-nvfp4
e4b,profiles/gemma4/sizes/e4b.json,gemma4:e4b
e4b-it-bf16,profiles/gemma4/sizes/e4b-it-bf16.json,gemma4:e4b-it-bf16
e4b-it-q4-k-m,profiles/gemma4/sizes/e4b-it-q4-k-m.json,gemma4:e4b-it-q4_K_M
e4b-it-q80,profiles/gemma4/sizes/e4b-it-q80.json,gemma4:e4b-it-q8_0
e4b-it-qat,profiles/gemma4/sizes/e4b-it-qat.json,gemma4:e4b-it-qat
e4b-mlx,profiles/gemma4/sizes/e4b-mlx.json,gemma4:e4b-mlx
e4b-mlx-bf16,profiles/gemma4/sizes/e4b-mlx-bf16.json,gemma4:e4b-mlx-bf16
e4b-mxfp8,profiles/gemma4/sizes/e4b-mxfp8.json,gemma4:e4b-mxfp8
e4b-nvfp4,profiles/gemma4/sizes/e4b-nvfp4.json,gemma4:e4b-nvfp4
e2b,profiles/gemma4/sizes/e2b.json,gemma4:e2b
e2b-it-bf16,profiles/gemma4/sizes/e2b-it-bf16.json,gemma4:e2b-it-bf16
e2b-it-q4-k-m,profiles/gemma4/sizes/e2b-it-q4-k-m.json,gemma4:e2b-it-q4_K_M
e2b-it-q80,profiles/gemma4/sizes/e2b-it-q80.json,gemma4:e2b-it-q8_0
e2b-it-qat,profiles/gemma4/sizes/e2b-it-qat.json,gemma4:e2b-it-qat
e2b-mlx,profiles/gemma4/sizes/e2b-mlx.json,gemma4:e2b-mlx
e2b-mlx-bf16,profiles/gemma4/sizes/e2b-mlx-bf16.json,gemma4:e2b-mlx-bf16
e2b-mxfp8,profiles/gemma4/sizes/e2b-mxfp8.json,gemma4:e2b-mxfp8
e2b-nvfp4,profiles/gemma4/sizes/e2b-nvfp4.json,gemma4:e2b-nvfp4
cloud,profiles/gemma4/sizes/cloud.json,gemma4:cloud
latest,profiles/gemma4/sizes/latest.json,gemma4:latest
