size_slug,ollama_ref,size_file
9b,glm4:9b,sizes/9b.json
9b-chat-fp16,glm4:9b-chat-fp16,sizes/9b-chat-fp16.json
9b-chat-q2-k,glm4:9b-chat-q2_K,sizes/9b-chat-q2-k.json
9b-chat-q3-k-l,glm4:9b-chat-q3_K_L,sizes/9b-chat-q3-k-l.json
9b-chat-q3-k-m,glm4:9b-chat-q3_K_M,sizes/9b-chat-q3-k-m.json
9b-chat-q3-k-s,glm4:9b-chat-q3_K_S,sizes/9b-chat-q3-k-s.json
9b-chat-q4-k-m,glm4:9b-chat-q4_K_M,sizes/9b-chat-q4-k-m.json
9b-chat-q4-k-s,glm4:9b-chat-q4_K_S,sizes/9b-chat-q4-k-s.json
9b-chat-q40,glm4:9b-chat-q4_0,sizes/9b-chat-q40.json
9b-chat-q41,glm4:9b-chat-q4_1,sizes/9b-chat-q41.json
9b-chat-q5-k-m,glm4:9b-chat-q5_K_M,sizes/9b-chat-q5-k-m.json
9b-chat-q5-k-s,glm4:9b-chat-q5_K_S,sizes/9b-chat-q5-k-s.json
9b-chat-q50,glm4:9b-chat-q5_0,sizes/9b-chat-q50.json
9b-chat-q51,glm4:9b-chat-q5_1,sizes/9b-chat-q51.json
9b-chat-q6-k,glm4:9b-chat-q6_K,sizes/9b-chat-q6-k.json
9b-chat-q80,glm4:9b-chat-q8_0,sizes/9b-chat-q80.json
9b-text-fp16,glm4:9b-text-fp16,sizes/9b-text-fp16.json
9b-text-q2-k,glm4:9b-text-q2_K,sizes/9b-text-q2-k.json
9b-text-q3-k-l,glm4:9b-text-q3_K_L,sizes/9b-text-q3-k-l.json
9b-text-q3-k-m,glm4:9b-text-q3_K_M,sizes/9b-text-q3-k-m.json
9b-text-q3-k-s,glm4:9b-text-q3_K_S,sizes/9b-text-q3-k-s.json
9b-text-q4-k-m,glm4:9b-text-q4_K_M,sizes/9b-text-q4-k-m.json
9b-text-q4-k-s,glm4:9b-text-q4_K_S,sizes/9b-text-q4-k-s.json
9b-text-q40,glm4:9b-text-q4_0,sizes/9b-text-q40.json
9b-text-q41,glm4:9b-text-q4_1,sizes/9b-text-q41.json
9b-text-q5-k-m,glm4:9b-text-q5_K_M,sizes/9b-text-q5-k-m.json
9b-text-q5-k-s,glm4:9b-text-q5_K_S,sizes/9b-text-q5-k-s.json
9b-text-q50,glm4:9b-text-q5_0,sizes/9b-text-q50.json
9b-text-q51,glm4:9b-text-q5_1,sizes/9b-text-q51.json
9b-text-q6-k,glm4:9b-text-q6_K,sizes/9b-text-q6-k.json
9b-text-q80,glm4:9b-text-q8_0,sizes/9b-text-q80.json
latest,glm4:latest,sizes/latest.json
