size_slug,ollama_ref,size_file,fit_status
120b-fp16,goliath:120b-fp16,../sizes/120b-fp16.json,not_listed_in_agents_selection
120b-q2_k,goliath:120b-q2_K,../sizes/120b-q2_k.json,not_listed_in_agents_selection
120b-q3_k_l,goliath:120b-q3_K_L,../sizes/120b-q3_k_l.json,not_listed_in_agents_selection
120b-q3_k_m,goliath:120b-q3_K_M,../sizes/120b-q3_k_m.json,not_listed_in_agents_selection
120b-q3_k_s,goliath:120b-q3_K_S,../sizes/120b-q3_k_s.json,not_listed_in_agents_selection
120b-q4_0,goliath:120b-q4_0,../sizes/120b-q4_0.json,not_listed_in_agents_selection
120b-q4_1,goliath:120b-q4_1,../sizes/120b-q4_1.json,not_listed_in_agents_selection
120b-q4_k_m,goliath:120b-q4_K_M,../sizes/120b-q4_k_m.json,not_listed_in_agents_selection
120b-q4_k_s,goliath:120b-q4_K_S,../sizes/120b-q4_k_s.json,not_listed_in_agents_selection
120b-q5_0,goliath:120b-q5_0,../sizes/120b-q5_0.json,not_listed_in_agents_selection
120b-q5_1,goliath:120b-q5_1,../sizes/120b-q5_1.json,not_listed_in_agents_selection
120b-q5_k_m,goliath:120b-q5_K_M,../sizes/120b-q5_k_m.json,not_listed_in_agents_selection
120b-q5_k_s,goliath:120b-q5_K_S,../sizes/120b-q5_k_s.json,not_listed_in_agents_selection
120b-q6_k,goliath:120b-q6_K,../sizes/120b-q6_k.json,not_listed_in_agents_selection
120b-q8_0,goliath:120b-q8_0,../sizes/120b-q8_0.json,not_listed_in_agents_selection
latest,goliath:latest,../sizes/latest.json,not_listed_in_agents_selection
