size_slug,ollama_ref,size_file,fit_status
34b,granite-code:34b,../sizes/34b.json,no_fit
34b-base,granite-code:34b-base,../sizes/34b-base.json,no_fit
34b-base-q2-k,granite-code:34b-base-q2_K,../sizes/34b-base-q2-k.json,no_fit
34b-base-q3-k-l,granite-code:34b-base-q3_K_L,../sizes/34b-base-q3-k-l.json,no_fit
34b-base-q3-k-m,granite-code:34b-base-q3_K_M,../sizes/34b-base-q3-k-m.json,no_fit
34b-base-q3-k-s,granite-code:34b-base-q3_K_S,../sizes/34b-base-q3-k-s.json,no_fit
34b-base-q4-k-m,granite-code:34b-base-q4_K_M,../sizes/34b-base-q4-k-m.json,no_fit
34b-base-q4-k-s,granite-code:34b-base-q4_K_S,../sizes/34b-base-q4-k-s.json,no_fit
34b-base-q40,granite-code:34b-base-q4_0,../sizes/34b-base-q40.json,no_fit
34b-base-q41,granite-code:34b-base-q4_1,../sizes/34b-base-q41.json,no_fit
34b-base-q5-k-m,granite-code:34b-base-q5_K_M,../sizes/34b-base-q5-k-m.json,no_fit
34b-base-q5-k-s,granite-code:34b-base-q5_K_S,../sizes/34b-base-q5-k-s.json,no_fit
34b-base-q50,granite-code:34b-base-q5_0,../sizes/34b-base-q50.json,no_fit
34b-base-q51,granite-code:34b-base-q5_1,../sizes/34b-base-q51.json,no_fit
34b-base-q6-k,granite-code:34b-base-q6_K,../sizes/34b-base-q6-k.json,no_fit
34b-base-q80,granite-code:34b-base-q8_0,../sizes/34b-base-q80.json,no_fit
34b-instruct,granite-code:34b-instruct,../sizes/34b-instruct.json,no_fit
34b-instruct-q2-k,granite-code:34b-instruct-q2_K,../sizes/34b-instruct-q2-k.json,no_fit
34b-instruct-q3-k-l,granite-code:34b-instruct-q3_K_L,../sizes/34b-instruct-q3-k-l.json,no_fit
34b-instruct-q3-k-m,granite-code:34b-instruct-q3_K_M,../sizes/34b-instruct-q3-k-m.json,no_fit
34b-instruct-q3-k-s,granite-code:34b-instruct-q3_K_S,../sizes/34b-instruct-q3-k-s.json,no_fit
34b-instruct-q4-k-m,granite-code:34b-instruct-q4_K_M,../sizes/34b-instruct-q4-k-m.json,no_fit
34b-instruct-q4-k-s,granite-code:34b-instruct-q4_K_S,../sizes/34b-instruct-q4-k-s.json,no_fit
34b-instruct-q40,granite-code:34b-instruct-q4_0,../sizes/34b-instruct-q40.json,no_fit
34b-instruct-q41,granite-code:34b-instruct-q4_1,../sizes/34b-instruct-q41.json,no_fit
34b-instruct-q5-k-m,granite-code:34b-instruct-q5_K_M,../sizes/34b-instruct-q5-k-m.json,no_fit
34b-instruct-q5-k-s,granite-code:34b-instruct-q5_K_S,../sizes/34b-instruct-q5-k-s.json,no_fit
