size_slug,ollama_ref,size_file
1b,granite3.1-moe:1b,sizes/1b.json
1b-instruct-fp16,granite3.1-moe:1b-instruct-fp16,sizes/1b-instruct-fp16.json
1b-instruct-q2_k,granite3.1-moe:1b-instruct-q2_K,sizes/1b-instruct-q2_k.json
1b-instruct-q3_k_l,granite3.1-moe:1b-instruct-q3_K_L,sizes/1b-instruct-q3_k_l.json
1b-instruct-q3_k_m,granite3.1-moe:1b-instruct-q3_K_M,sizes/1b-instruct-q3_k_m.json
1b-instruct-q3_k_s,granite3.1-moe:1b-instruct-q3_K_S,sizes/1b-instruct-q3_k_s.json
1b-instruct-q4_0,granite3.1-moe:1b-instruct-q4_0,sizes/1b-instruct-q4_0.json
1b-instruct-q4_1,granite3.1-moe:1b-instruct-q4_1,sizes/1b-instruct-q4_1.json
1b-instruct-q4_k_m,granite3.1-moe:1b-instruct-q4_K_M,sizes/1b-instruct-q4_k_m.json
1b-instruct-q4_k_s,granite3.1-moe:1b-instruct-q4_K_S,sizes/1b-instruct-q4_k_s.json
1b-instruct-q5_0,granite3.1-moe:1b-instruct-q5_0,sizes/1b-instruct-q5_0.json
1b-instruct-q5_1,granite3.1-moe:1b-instruct-q5_1,sizes/1b-instruct-q5_1.json
1b-instruct-q5_k_m,granite3.1-moe:1b-instruct-q5_K_M,sizes/1b-instruct-q5_k_m.json
1b-instruct-q5_k_s,granite3.1-moe:1b-instruct-q5_K_S,sizes/1b-instruct-q5_k_s.json
1b-instruct-q6_k,granite3.1-moe:1b-instruct-q6_K,sizes/1b-instruct-q6_k.json
1b-instruct-q8_0,granite3.1-moe:1b-instruct-q8_0,sizes/1b-instruct-q8_0.json
