size_slug,size_json_path,ollama_ref
3b,profiles/granite3.1-moe/sizes/3b.json,granite3.1-moe:3b
3b-instruct-fp16,profiles/granite3.1-moe/sizes/3b-instruct-fp16.json,granite3.1-moe:3b-instruct-fp16
3b-instruct-q2-k,profiles/granite3.1-moe/sizes/3b-instruct-q2-k.json,granite3.1-moe:3b-instruct-q2_K
3b-instruct-q3-k-l,profiles/granite3.1-moe/sizes/3b-instruct-q3-k-l.json,granite3.1-moe:3b-instruct-q3_K_L
3b-instruct-q3-k-m,profiles/granite3.1-moe/sizes/3b-instruct-q3-k-m.json,granite3.1-moe:3b-instruct-q3_K_M
3b-instruct-q3-k-s,profiles/granite3.1-moe/sizes/3b-instruct-q3-k-s.json,granite3.1-moe:3b-instruct-q3_K_S
3b-instruct-q4-k-m,profiles/granite3.1-moe/sizes/3b-instruct-q4-k-m.json,granite3.1-moe:3b-instruct-q4_K_M
3b-instruct-q4-k-s,profiles/granite3.1-moe/sizes/3b-instruct-q4-k-s.json,granite3.1-moe:3b-instruct-q4_K_S
3b-instruct-q40,profiles/granite3.1-moe/sizes/3b-instruct-q40.json,granite3.1-moe:3b-instruct-q4_0
3b-instruct-q41,profiles/granite3.1-moe/sizes/3b-instruct-q41.json,granite3.1-moe:3b-instruct-q4_1
3b-instruct-q5-k-m,profiles/granite3.1-moe/sizes/3b-instruct-q5-k-m.json,granite3.1-moe:3b-instruct-q5_K_M
3b-instruct-q5-k-s,profiles/granite3.1-moe/sizes/3b-instruct-q5-k-s.json,granite3.1-moe:3b-instruct-q5_K_S
3b-instruct-q50,profiles/granite3.1-moe/sizes/3b-instruct-q50.json,granite3.1-moe:3b-instruct-q5_0
3b-instruct-q51,profiles/granite3.1-moe/sizes/3b-instruct-q51.json,granite3.1-moe:3b-instruct-q5_1
3b-instruct-q6-k,profiles/granite3.1-moe/sizes/3b-instruct-q6-k.json,granite3.1-moe:3b-instruct-q6_K
3b-instruct-q80,profiles/granite3.1-moe/sizes/3b-instruct-q80.json,granite3.1-moe:3b-instruct-q8_0
1b,profiles/granite3.1-moe/sizes/1b.json,granite3.1-moe:1b
1b-instruct-fp16,profiles/granite3.1-moe/sizes/1b-instruct-fp16.json,granite3.1-moe:1b-instruct-fp16
1b-instruct-q2-k,profiles/granite3.1-moe/sizes/1b-instruct-q2-k.json,granite3.1-moe:1b-instruct-q2_K
1b-instruct-q3-k-l,profiles/granite3.1-moe/sizes/1b-instruct-q3-k-l.json,granite3.1-moe:1b-instruct-q3_K_L
1b-instruct-q3-k-m,profiles/granite3.1-moe/sizes/1b-instruct-q3-k-m.json,granite3.1-moe:1b-instruct-q3_K_M
1b-instruct-q3-k-s,profiles/granite3.1-moe/sizes/1b-instruct-q3-k-s.json,granite3.1-moe:1b-instruct-q3_K_S
1b-instruct-q4-k-m,profiles/granite3.1-moe/sizes/1b-instruct-q4-k-m.json,granite3.1-moe:1b-instruct-q4_K_M
1b-instruct-q4-k-s,profiles/granite3.1-moe/sizes/1b-instruct-q4-k-s.json,granite3.1-moe:1b-instruct-q4_K_S
1b-instruct-q40,profiles/granite3.1-moe/sizes/1b-instruct-q40.json,granite3.1-moe:1b-instruct-q4_0
1b-instruct-q41,profiles/granite3.1-moe/sizes/1b-instruct-q41.json,granite3.1-moe:1b-instruct-q4_1
1b-instruct-q5-k-m,profiles/granite3.1-moe/sizes/1b-instruct-q5-k-m.json,granite3.1-moe:1b-instruct-q5_K_M
1b-instruct-q5-k-s,profiles/granite3.1-moe/sizes/1b-instruct-q5-k-s.json,granite3.1-moe:1b-instruct-q5_K_S
1b-instruct-q50,profiles/granite3.1-moe/sizes/1b-instruct-q50.json,granite3.1-moe:1b-instruct-q5_0
1b-instruct-q51,profiles/granite3.1-moe/sizes/1b-instruct-q51.json,granite3.1-moe:1b-instruct-q5_1
1b-instruct-q6-k,profiles/granite3.1-moe/sizes/1b-instruct-q6-k.json,granite3.1-moe:1b-instruct-q6_K
1b-instruct-q80,profiles/granite3.1-moe/sizes/1b-instruct-q80.json,granite3.1-moe:1b-instruct-q8_0
latest,profiles/granite3.1-moe/sizes/latest.json,granite3.1-moe:latest
