size_slug,ollama_ref,size_file
8b,granite4.1-guardian:8b,sizes/8b.json
8b-bf16,granite4.1-guardian:8b-bf16,sizes/8b-bf16.json
8b-q2-k,granite4.1-guardian:8b-q2_K,sizes/8b-q2-k.json
8b-q3-k-l,granite4.1-guardian:8b-q3_K_L,sizes/8b-q3-k-l.json
8b-q3-k-m,granite4.1-guardian:8b-q3_K_M,sizes/8b-q3-k-m.json
8b-q3-k-s,granite4.1-guardian:8b-q3_K_S,sizes/8b-q3-k-s.json
8b-q4-k-m,granite4.1-guardian:8b-q4_K_M,sizes/8b-q4-k-m.json
8b-q4-k-s,granite4.1-guardian:8b-q4_K_S,sizes/8b-q4-k-s.json
8b-q40,granite4.1-guardian:8b-q4_0,sizes/8b-q40.json
8b-q41,granite4.1-guardian:8b-q4_1,sizes/8b-q41.json
8b-q5-k-m,granite4.1-guardian:8b-q5_K_M,sizes/8b-q5-k-m.json
8b-q5-k-s,granite4.1-guardian:8b-q5_K_S,sizes/8b-q5-k-s.json
8b-q50,granite4.1-guardian:8b-q5_0,sizes/8b-q50.json
8b-q51,granite4.1-guardian:8b-q5_1,sizes/8b-q51.json
8b-q6-k,granite4.1-guardian:8b-q6_K,sizes/8b-q6-k.json
8b-q80,granite4.1-guardian:8b-q8_0,sizes/8b-q80.json
