size_slug,ollama_ref,size_file,fit_status
405b,hermes3:405b,../sizes/405b.json,not_listed_in_agents_selection
405b-llama3-1-fp16,hermes3:405b-llama3.1-fp16,../sizes/405b-llama3-1-fp16.json,not_listed_in_agents_selection
405b-llama3-1-q2_k,hermes3:405b-llama3.1-q2_K,../sizes/405b-llama3-1-q2_k.json,not_listed_in_agents_selection
405b-llama3-1-q3_k_l,hermes3:405b-llama3.1-q3_K_L,../sizes/405b-llama3-1-q3_k_l.json,not_listed_in_agents_selection
405b-llama3-1-q3_k_m,hermes3:405b-llama3.1-q3_K_M,../sizes/405b-llama3-1-q3_k_m.json,not_listed_in_agents_selection
405b-llama3-1-q3_k_s,hermes3:405b-llama3.1-q3_K_S,../sizes/405b-llama3-1-q3_k_s.json,not_listed_in_agents_selection
405b-llama3-1-q4_0,hermes3:405b-llama3.1-q4_0,../sizes/405b-llama3-1-q4_0.json,not_listed_in_agents_selection
405b-llama3-1-q4_1,hermes3:405b-llama3.1-q4_1,../sizes/405b-llama3-1-q4_1.json,not_listed_in_agents_selection
405b-llama3-1-q4_k_m,hermes3:405b-llama3.1-q4_K_M,../sizes/405b-llama3-1-q4_k_m.json,not_listed_in_agents_selection
405b-llama3-1-q4_k_s,hermes3:405b-llama3.1-q4_K_S,../sizes/405b-llama3-1-q4_k_s.json,not_listed_in_agents_selection
405b-llama3-1-q5_0,hermes3:405b-llama3.1-q5_0,../sizes/405b-llama3-1-q5_0.json,not_listed_in_agents_selection
405b-llama3-1-q5_1,hermes3:405b-llama3.1-q5_1,../sizes/405b-llama3-1-q5_1.json,not_listed_in_agents_selection
405b-llama3-1-q5_k_m,hermes3:405b-llama3.1-q5_K_M,../sizes/405b-llama3-1-q5_k_m.json,not_listed_in_agents_selection
405b-llama3-1-q5_k_s,hermes3:405b-llama3.1-q5_K_S,../sizes/405b-llama3-1-q5_k_s.json,not_listed_in_agents_selection
405b-llama3-1-q6_k,hermes3:405b-llama3.1-q6_K,../sizes/405b-llama3-1-q6_k.json,not_listed_in_agents_selection
405b-llama3-1-q8_0,hermes3:405b-llama3.1-q8_0,../sizes/405b-llama3-1-q8_0.json,not_listed_in_agents_selection
