size_slug,ollama_ref,size_file
8b,hermes3:8b,sizes/8b.json
8b-llama3-1-fp16,hermes3:8b-llama3.1-fp16,sizes/8b-llama3-1-fp16.json
8b-llama3-1-q2_k,hermes3:8b-llama3.1-q2_K,sizes/8b-llama3-1-q2_k.json
8b-llama3-1-q3_k_l,hermes3:8b-llama3.1-q3_K_L,sizes/8b-llama3-1-q3_k_l.json
8b-llama3-1-q3_k_m,hermes3:8b-llama3.1-q3_K_M,sizes/8b-llama3-1-q3_k_m.json
8b-llama3-1-q3_k_s,hermes3:8b-llama3.1-q3_K_S,sizes/8b-llama3-1-q3_k_s.json
8b-llama3-1-q4_0,hermes3:8b-llama3.1-q4_0,sizes/8b-llama3-1-q4_0.json
8b-llama3-1-q4_1,hermes3:8b-llama3.1-q4_1,sizes/8b-llama3-1-q4_1.json
8b-llama3-1-q4_k_m,hermes3:8b-llama3.1-q4_K_M,sizes/8b-llama3-1-q4_k_m.json
8b-llama3-1-q4_k_s,hermes3:8b-llama3.1-q4_K_S,sizes/8b-llama3-1-q4_k_s.json
8b-llama3-1-q5_0,hermes3:8b-llama3.1-q5_0,sizes/8b-llama3-1-q5_0.json
8b-llama3-1-q5_1,hermes3:8b-llama3.1-q5_1,sizes/8b-llama3-1-q5_1.json
8b-llama3-1-q5_k_m,hermes3:8b-llama3.1-q5_K_M,sizes/8b-llama3-1-q5_k_m.json
8b-llama3-1-q5_k_s,hermes3:8b-llama3.1-q5_K_S,sizes/8b-llama3-1-q5_k_s.json
8b-llama3-1-q6_k,hermes3:8b-llama3.1-q6_K,sizes/8b-llama3-1-q6_k.json
8b-llama3-1-q8_0,hermes3:8b-llama3.1-q8_0,sizes/8b-llama3-1-q8_0.json
latest,hermes3:latest,sizes/latest.json
