size_slug,size_json_path,ollama_ref
20b,profiles/internlm2/sizes/20b.json,internlm2:20b
20b-chat-v2.5-fp16,profiles/internlm2/sizes/20b-chat-v2.5-fp16.json,internlm2:20b-chat-v2.5-fp16
20b-chat-v2.5-q2-k,profiles/internlm2/sizes/20b-chat-v2.5-q2-k.json,internlm2:20b-chat-v2.5-q2_K
20b-chat-v2.5-q3-k-l,profiles/internlm2/sizes/20b-chat-v2.5-q3-k-l.json,internlm2:20b-chat-v2.5-q3_K_L
20b-chat-v2.5-q3-k-m,profiles/internlm2/sizes/20b-chat-v2.5-q3-k-m.json,internlm2:20b-chat-v2.5-q3_K_M
20b-chat-v2.5-q3-k-s,profiles/internlm2/sizes/20b-chat-v2.5-q3-k-s.json,internlm2:20b-chat-v2.5-q3_K_S
20b-chat-v2.5-q4-k-m,profiles/internlm2/sizes/20b-chat-v2.5-q4-k-m.json,internlm2:20b-chat-v2.5-q4_K_M
20b-chat-v2.5-q4-k-s,profiles/internlm2/sizes/20b-chat-v2.5-q4-k-s.json,internlm2:20b-chat-v2.5-q4_K_S
20b-chat-v2.5-q40,profiles/internlm2/sizes/20b-chat-v2.5-q40.json,internlm2:20b-chat-v2.5-q4_0
20b-chat-v2.5-q41,profiles/internlm2/sizes/20b-chat-v2.5-q41.json,internlm2:20b-chat-v2.5-q4_1
20b-chat-v2.5-q5-k-m,profiles/internlm2/sizes/20b-chat-v2.5-q5-k-m.json,internlm2:20b-chat-v2.5-q5_K_M
20b-chat-v2.5-q5-k-s,profiles/internlm2/sizes/20b-chat-v2.5-q5-k-s.json,internlm2:20b-chat-v2.5-q5_K_S
20b-chat-v2.5-q50,profiles/internlm2/sizes/20b-chat-v2.5-q50.json,internlm2:20b-chat-v2.5-q5_0
20b-chat-v2.5-q51,profiles/internlm2/sizes/20b-chat-v2.5-q51.json,internlm2:20b-chat-v2.5-q5_1
20b-chat-v2.5-q6-k,profiles/internlm2/sizes/20b-chat-v2.5-q6-k.json,internlm2:20b-chat-v2.5-q6_K
20b-chat-v2.5-q80,profiles/internlm2/sizes/20b-chat-v2.5-q80.json,internlm2:20b-chat-v2.5-q8_0
7b,profiles/internlm2/sizes/7b.json,internlm2:7b
7b-chat-v2.5-fp16,profiles/internlm2/sizes/7b-chat-v2.5-fp16.json,internlm2:7b-chat-v2.5-fp16
7b-chat-v2.5-q2-k,profiles/internlm2/sizes/7b-chat-v2.5-q2-k.json,internlm2:7b-chat-v2.5-q2_K
