size_slug,ollama_ref,size_file,fit_status
20b,internlm2:20b,../sizes/20b.json,fit
20b-chat-v2.5-fp16,internlm2:20b-chat-v2.5-fp16,../sizes/20b-chat-v2.5-fp16.json,no_fit
20b-chat-v2.5-q2-k,internlm2:20b-chat-v2.5-q2_K,../sizes/20b-chat-v2.5-q2-k.json,fit
20b-chat-v2.5-q3-k-l,internlm2:20b-chat-v2.5-q3_K_L,../sizes/20b-chat-v2.5-q3-k-l.json,fit
20b-chat-v2.5-q3-k-m,internlm2:20b-chat-v2.5-q3_K_M,../sizes/20b-chat-v2.5-q3-k-m.json,fit
20b-chat-v2.5-q3-k-s,internlm2:20b-chat-v2.5-q3_K_S,../sizes/20b-chat-v2.5-q3-k-s.json,fit
20b-chat-v2.5-q4-k-m,internlm2:20b-chat-v2.5-q4_K_M,../sizes/20b-chat-v2.5-q4-k-m.json,fit
20b-chat-v2.5-q4-k-s,internlm2:20b-chat-v2.5-q4_K_S,../sizes/20b-chat-v2.5-q4-k-s.json,fit
20b-chat-v2.5-q40,internlm2:20b-chat-v2.5-q4_0,../sizes/20b-chat-v2.5-q40.json,fit
20b-chat-v2.5-q41,internlm2:20b-chat-v2.5-q4_1,../sizes/20b-chat-v2.5-q41.json,fit
20b-chat-v2.5-q5-k-m,internlm2:20b-chat-v2.5-q5_K_M,../sizes/20b-chat-v2.5-q5-k-m.json,fit
20b-chat-v2.5-q5-k-s,internlm2:20b-chat-v2.5-q5_K_S,../sizes/20b-chat-v2.5-q5-k-s.json,fit
20b-chat-v2.5-q50,internlm2:20b-chat-v2.5-q5_0,../sizes/20b-chat-v2.5-q50.json,fit
20b-chat-v2.5-q51,internlm2:20b-chat-v2.5-q5_1,../sizes/20b-chat-v2.5-q51.json,fit
20b-chat-v2.5-q6-k,internlm2:20b-chat-v2.5-q6_K,../sizes/20b-chat-v2.5-q6-k.json,fit
20b-chat-v2.5-q80,internlm2:20b-chat-v2.5-q8_0,../sizes/20b-chat-v2.5-q80.json,no_fit
7b,internlm2:7b,../sizes/7b.json,fit
7b-chat-v2.5-fp16,internlm2:7b-chat-v2.5-fp16,../sizes/7b-chat-v2.5-fp16.json,fit
7b-chat-v2.5-q2-k,internlm2:7b-chat-v2.5-q2_K,../sizes/7b-chat-v2.5-q2-k.json,fit
7b-chat-v2.5-q3-k-l,internlm2:7b-chat-v2.5-q3_K_L,../sizes/7b-chat-v2.5-q3-k-l.json,fit
7b-chat-v2.5-q3-k-m,internlm2:7b-chat-v2.5-q3_K_M,../sizes/7b-chat-v2.5-q3-k-m.json,fit
7b-chat-v2.5-q3-k-s,internlm2:7b-chat-v2.5-q3_K_S,../sizes/7b-chat-v2.5-q3-k-s.json,fit
7b-chat-v2.5-q4-k-m,internlm2:7b-chat-v2.5-q4_K_M,../sizes/7b-chat-v2.5-q4-k-m.json,fit
7b-chat-v2.5-q4-k-s,internlm2:7b-chat-v2.5-q4_K_S,../sizes/7b-chat-v2.5-q4-k-s.json,fit
7b-chat-v2.5-q40,internlm2:7b-chat-v2.5-q4_0,../sizes/7b-chat-v2.5-q40.json,fit
7b-chat-v2.5-q41,internlm2:7b-chat-v2.5-q4_1,../sizes/7b-chat-v2.5-q41.json,fit
7b-chat-v2.5-q5-k-m,internlm2:7b-chat-v2.5-q5_K_M,../sizes/7b-chat-v2.5-q5-k-m.json,fit
7b-chat-v2.5-q5-k-s,internlm2:7b-chat-v2.5-q5_K_S,../sizes/7b-chat-v2.5-q5-k-s.json,fit
7b-chat-v2.5-q50,internlm2:7b-chat-v2.5-q5_0,../sizes/7b-chat-v2.5-q50.json,fit
7b-chat-v2.5-q51,internlm2:7b-chat-v2.5-q5_1,../sizes/7b-chat-v2.5-q51.json,fit
7b-chat-v2.5-q6-k,internlm2:7b-chat-v2.5-q6_K,../sizes/7b-chat-v2.5-q6-k.json,fit
7b-chat-v2.5-q80,internlm2:7b-chat-v2.5-q8_0,../sizes/7b-chat-v2.5-q80.json,fit
7b-chat1m-v2.5-fp16,internlm2:7b-chat-1m-v2.5-fp16,../sizes/7b-chat1m-v2.5-fp16.json,fit
7b-chat1m-v2.5-q2-k,internlm2:7b-chat-1m-v2.5-q2_K,../sizes/7b-chat1m-v2.5-q2-k.json,fit
7b-chat1m-v2.5-q3-k-l,internlm2:7b-chat-1m-v2.5-q3_K_L,../sizes/7b-chat1m-v2.5-q3-k-l.json,fit
7b-chat1m-v2.5-q3-k-m,internlm2:7b-chat-1m-v2.5-q3_K_M,../sizes/7b-chat1m-v2.5-q3-k-m.json,fit
7b-chat1m-v2.5-q3-k-s,internlm2:7b-chat-1m-v2.5-q3_K_S,../sizes/7b-chat1m-v2.5-q3-k-s.json,fit
7b-chat1m-v2.5-q4-k-m,internlm2:7b-chat-1m-v2.5-q4_K_M,../sizes/7b-chat1m-v2.5-q4-k-m.json,fit
7b-chat1m-v2.5-q4-k-s,internlm2:7b-chat-1m-v2.5-q4_K_S,../sizes/7b-chat1m-v2.5-q4-k-s.json,fit
7b-chat1m-v2.5-q40,internlm2:7b-chat-1m-v2.5-q4_0,../sizes/7b-chat1m-v2.5-q40.json,fit
7b-chat1m-v2.5-q41,internlm2:7b-chat-1m-v2.5-q4_1,../sizes/7b-chat1m-v2.5-q41.json,fit
7b-chat1m-v2.5-q5-k-m,internlm2:7b-chat-1m-v2.5-q5_K_M,../sizes/7b-chat1m-v2.5-q5-k-m.json,fit
7b-chat1m-v2.5-q5-k-s,internlm2:7b-chat-1m-v2.5-q5_K_S,../sizes/7b-chat1m-v2.5-q5-k-s.json,fit
7b-chat1m-v2.5-q50,internlm2:7b-chat-1m-v2.5-q5_0,../sizes/7b-chat1m-v2.5-q50.json,fit
7b-chat1m-v2.5-q51,internlm2:7b-chat-1m-v2.5-q5_1,../sizes/7b-chat1m-v2.5-q51.json,fit
7b-chat1m-v2.5-q6-k,internlm2:7b-chat-1m-v2.5-q6_K,../sizes/7b-chat1m-v2.5-q6-k.json,fit
7b-chat1m-v2.5-q80,internlm2:7b-chat-1m-v2.5-q8_0,../sizes/7b-chat1m-v2.5-q80.json,fit
1.8b,internlm2:1.8b,../sizes/1.8b.json,fit
1.8b-chat-v2.5-fp16,internlm2:1.8b-chat-v2.5-fp16,../sizes/1.8b-chat-v2.5-fp16.json,fit
1.8b-chat-v2.5-q2-k,internlm2:1.8b-chat-v2.5-q2_K,../sizes/1.8b-chat-v2.5-q2-k.json,fit
1.8b-chat-v2.5-q3-k-l,internlm2:1.8b-chat-v2.5-q3_K_L,../sizes/1.8b-chat-v2.5-q3-k-l.json,fit
1.8b-chat-v2.5-q3-k-m,internlm2:1.8b-chat-v2.5-q3_K_M,../sizes/1.8b-chat-v2.5-q3-k-m.json,fit
1.8b-chat-v2.5-q3-k-s,internlm2:1.8b-chat-v2.5-q3_K_S,../sizes/1.8b-chat-v2.5-q3-k-s.json,fit
1.8b-chat-v2.5-q4-k-m,internlm2:1.8b-chat-v2.5-q4_K_M,../sizes/1.8b-chat-v2.5-q4-k-m.json,fit
1.8b-chat-v2.5-q4-k-s,internlm2:1.8b-chat-v2.5-q4_K_S,../sizes/1.8b-chat-v2.5-q4-k-s.json,fit
1.8b-chat-v2.5-q40,internlm2:1.8b-chat-v2.5-q4_0,../sizes/1.8b-chat-v2.5-q40.json,fit
1.8b-chat-v2.5-q41,internlm2:1.8b-chat-v2.5-q4_1,../sizes/1.8b-chat-v2.5-q41.json,fit
1.8b-chat-v2.5-q5-k-m,internlm2:1.8b-chat-v2.5-q5_K_M,../sizes/1.8b-chat-v2.5-q5-k-m.json,fit
1.8b-chat-v2.5-q5-k-s,internlm2:1.8b-chat-v2.5-q5_K_S,../sizes/1.8b-chat-v2.5-q5-k-s.json,fit
1.8b-chat-v2.5-q50,internlm2:1.8b-chat-v2.5-q5_0,../sizes/1.8b-chat-v2.5-q50.json,fit
1.8b-chat-v2.5-q51,internlm2:1.8b-chat-v2.5-q5_1,../sizes/1.8b-chat-v2.5-q51.json,fit
1.8b-chat-v2.5-q6-k,internlm2:1.8b-chat-v2.5-q6_K,../sizes/1.8b-chat-v2.5-q6-k.json,fit
1.8b-chat-v2.5-q80,internlm2:1.8b-chat-v2.5-q8_0,../sizes/1.8b-chat-v2.5-q80.json,fit
1m,internlm2:1m,../sizes/1m.json,fit
latest,internlm2:latest,../sizes/latest.json,fit
