size_slug,size_json_path,ollama_ref
8b,profiles/llama-guard3/sizes/8b.json,llama-guard3:8b
8b-fp16,profiles/llama-guard3/sizes/8b-fp16.json,llama-guard3:8b-fp16
8b-q2-k,profiles/llama-guard3/sizes/8b-q2-k.json,llama-guard3:8b-q2_K
8b-q3-k-l,profiles/llama-guard3/sizes/8b-q3-k-l.json,llama-guard3:8b-q3_K_L
8b-q3-k-m,profiles/llama-guard3/sizes/8b-q3-k-m.json,llama-guard3:8b-q3_K_M
8b-q3-k-s,profiles/llama-guard3/sizes/8b-q3-k-s.json,llama-guard3:8b-q3_K_S
8b-q4-k-m,profiles/llama-guard3/sizes/8b-q4-k-m.json,llama-guard3:8b-q4_K_M
8b-q4-k-s,profiles/llama-guard3/sizes/8b-q4-k-s.json,llama-guard3:8b-q4_K_S
8b-q40,profiles/llama-guard3/sizes/8b-q40.json,llama-guard3:8b-q4_0
8b-q41,profiles/llama-guard3/sizes/8b-q41.json,llama-guard3:8b-q4_1
8b-q5-k-m,profiles/llama-guard3/sizes/8b-q5-k-m.json,llama-guard3:8b-q5_K_M
8b-q5-k-s,profiles/llama-guard3/sizes/8b-q5-k-s.json,llama-guard3:8b-q5_K_S
8b-q50,profiles/llama-guard3/sizes/8b-q50.json,llama-guard3:8b-q5_0
8b-q51,profiles/llama-guard3/sizes/8b-q51.json,llama-guard3:8b-q5_1
8b-q6-k,profiles/llama-guard3/sizes/8b-q6-k.json,llama-guard3:8b-q6_K
8b-q80,profiles/llama-guard3/sizes/8b-q80.json,llama-guard3:8b-q8_0
1b,profiles/llama-guard3/sizes/1b.json,llama-guard3:1b
1b-fp16,profiles/llama-guard3/sizes/1b-fp16.json,llama-guard3:1b-fp16
1b-q2-k,profiles/llama-guard3/sizes/1b-q2-k.json,llama-guard3:1b-q2_K
1b-q3-k-l,profiles/llama-guard3/sizes/1b-q3-k-l.json,llama-guard3:1b-q3_K_L
1b-q3-k-m,profiles/llama-guard3/sizes/1b-q3-k-m.json,llama-guard3:1b-q3_K_M
1b-q3-k-s,profiles/llama-guard3/sizes/1b-q3-k-s.json,llama-guard3:1b-q3_K_S
1b-q4-k-m,profiles/llama-guard3/sizes/1b-q4-k-m.json,llama-guard3:1b-q4_K_M
1b-q4-k-s,profiles/llama-guard3/sizes/1b-q4-k-s.json,llama-guard3:1b-q4_K_S
1b-q40,profiles/llama-guard3/sizes/1b-q40.json,llama-guard3:1b-q4_0
1b-q41,profiles/llama-guard3/sizes/1b-q41.json,llama-guard3:1b-q4_1
1b-q5-k-m,profiles/llama-guard3/sizes/1b-q5-k-m.json,llama-guard3:1b-q5_K_M
1b-q5-k-s,profiles/llama-guard3/sizes/1b-q5-k-s.json,llama-guard3:1b-q5_K_S
1b-q50,profiles/llama-guard3/sizes/1b-q50.json,llama-guard3:1b-q5_0
1b-q51,profiles/llama-guard3/sizes/1b-q51.json,llama-guard3:1b-q5_1
1b-q6-k,profiles/llama-guard3/sizes/1b-q6-k.json,llama-guard3:1b-q6_K
1b-q80,profiles/llama-guard3/sizes/1b-q80.json,llama-guard3:1b-q8_0
latest,profiles/llama-guard3/sizes/latest.json,llama-guard3:latest
