size_slug,ollama_ref,size_file
8b-instruct-fp16,llama-pro:8b-instruct-fp16,sizes/8b-instruct-fp16.json
8b-instruct-q2_k,llama-pro:8b-instruct-q2_K,sizes/8b-instruct-q2_k.json
8b-instruct-q3_k_l,llama-pro:8b-instruct-q3_K_L,sizes/8b-instruct-q3_k_l.json
8b-instruct-q3_k_m,llama-pro:8b-instruct-q3_K_M,sizes/8b-instruct-q3_k_m.json
8b-instruct-q3_k_s,llama-pro:8b-instruct-q3_K_S,sizes/8b-instruct-q3_k_s.json
8b-instruct-q4_0,llama-pro:8b-instruct-q4_0,sizes/8b-instruct-q4_0.json
8b-instruct-q4_1,llama-pro:8b-instruct-q4_1,sizes/8b-instruct-q4_1.json
8b-instruct-q4_k_m,llama-pro:8b-instruct-q4_K_M,sizes/8b-instruct-q4_k_m.json
8b-instruct-q4_k_s,llama-pro:8b-instruct-q4_K_S,sizes/8b-instruct-q4_k_s.json
8b-instruct-q5_0,llama-pro:8b-instruct-q5_0,sizes/8b-instruct-q5_0.json
8b-instruct-q5_1,llama-pro:8b-instruct-q5_1,sizes/8b-instruct-q5_1.json
8b-instruct-q5_k_m,llama-pro:8b-instruct-q5_K_M,sizes/8b-instruct-q5_k_m.json
8b-instruct-q5_k_s,llama-pro:8b-instruct-q5_K_S,sizes/8b-instruct-q5_k_s.json
8b-instruct-q6_k,llama-pro:8b-instruct-q6_K,sizes/8b-instruct-q6_k.json
8b-instruct-q8_0,llama-pro:8b-instruct-q8_0,sizes/8b-instruct-q8_0.json
8b-text-fp16,llama-pro:8b-text-fp16,sizes/8b-text-fp16.json
8b-text-q2_k,llama-pro:8b-text-q2_K,sizes/8b-text-q2_k.json
8b-text-q3_k_l,llama-pro:8b-text-q3_K_L,sizes/8b-text-q3_k_l.json
8b-text-q3_k_m,llama-pro:8b-text-q3_K_M,sizes/8b-text-q3_k_m.json
8b-text-q3_k_s,llama-pro:8b-text-q3_K_S,sizes/8b-text-q3_k_s.json
8b-text-q4_0,llama-pro:8b-text-q4_0,sizes/8b-text-q4_0.json
8b-text-q4_1,llama-pro:8b-text-q4_1,sizes/8b-text-q4_1.json
8b-text-q4_k_m,llama-pro:8b-text-q4_K_M,sizes/8b-text-q4_k_m.json
8b-text-q4_k_s,llama-pro:8b-text-q4_K_S,sizes/8b-text-q4_k_s.json
8b-text-q5_0,llama-pro:8b-text-q5_0,sizes/8b-text-q5_0.json
8b-text-q5_1,llama-pro:8b-text-q5_1,sizes/8b-text-q5_1.json
8b-text-q5_k_m,llama-pro:8b-text-q5_K_M,sizes/8b-text-q5_k_m.json
8b-text-q5_k_s,llama-pro:8b-text-q5_K_S,sizes/8b-text-q5_k_s.json
8b-text-q6_k,llama-pro:8b-text-q6_K,sizes/8b-text-q6_k.json
8b-text-q8_0,llama-pro:8b-text-q8_0,sizes/8b-text-q8_0.json
instruct,llama-pro:instruct,sizes/instruct.json
latest,llama-pro:latest,sizes/latest.json
text,llama-pro:text,sizes/text.json
