size_slug,ollama_ref,size_file
7b,llama2:7b,sizes/7b.json
7b-chat,llama2:7b-chat,sizes/7b-chat.json
7b-chat-fp16,llama2:7b-chat-fp16,sizes/7b-chat-fp16.json
7b-chat-q2_k,llama2:7b-chat-q2_K,sizes/7b-chat-q2_k.json
7b-chat-q3_k_l,llama2:7b-chat-q3_K_L,sizes/7b-chat-q3_k_l.json
7b-chat-q3_k_m,llama2:7b-chat-q3_K_M,sizes/7b-chat-q3_k_m.json
7b-chat-q3_k_s,llama2:7b-chat-q3_K_S,sizes/7b-chat-q3_k_s.json
7b-chat-q4_0,llama2:7b-chat-q4_0,sizes/7b-chat-q4_0.json
7b-chat-q4_1,llama2:7b-chat-q4_1,sizes/7b-chat-q4_1.json
7b-chat-q4_k_m,llama2:7b-chat-q4_K_M,sizes/7b-chat-q4_k_m.json
7b-chat-q4_k_s,llama2:7b-chat-q4_K_S,sizes/7b-chat-q4_k_s.json
7b-chat-q5_0,llama2:7b-chat-q5_0,sizes/7b-chat-q5_0.json
7b-chat-q5_1,llama2:7b-chat-q5_1,sizes/7b-chat-q5_1.json
7b-chat-q5_k_m,llama2:7b-chat-q5_K_M,sizes/7b-chat-q5_k_m.json
7b-chat-q5_k_s,llama2:7b-chat-q5_K_S,sizes/7b-chat-q5_k_s.json
7b-chat-q6_k,llama2:7b-chat-q6_K,sizes/7b-chat-q6_k.json
7b-chat-q8_0,llama2:7b-chat-q8_0,sizes/7b-chat-q8_0.json
7b-text,llama2:7b-text,sizes/7b-text.json
7b-text-fp16,llama2:7b-text-fp16,sizes/7b-text-fp16.json
7b-text-q2_k,llama2:7b-text-q2_K,sizes/7b-text-q2_k.json
7b-text-q3_k_l,llama2:7b-text-q3_K_L,sizes/7b-text-q3_k_l.json
7b-text-q3_k_m,llama2:7b-text-q3_K_M,sizes/7b-text-q3_k_m.json
7b-text-q3_k_s,llama2:7b-text-q3_K_S,sizes/7b-text-q3_k_s.json
7b-text-q4_0,llama2:7b-text-q4_0,sizes/7b-text-q4_0.json
7b-text-q4_1,llama2:7b-text-q4_1,sizes/7b-text-q4_1.json
7b-text-q4_k_m,llama2:7b-text-q4_K_M,sizes/7b-text-q4_k_m.json
7b-text-q4_k_s,llama2:7b-text-q4_K_S,sizes/7b-text-q4_k_s.json
7b-text-q5_0,llama2:7b-text-q5_0,sizes/7b-text-q5_0.json
7b-text-q5_1,llama2:7b-text-q5_1,sizes/7b-text-q5_1.json
7b-text-q5_k_m,llama2:7b-text-q5_K_M,sizes/7b-text-q5_k_m.json
7b-text-q5_k_s,llama2:7b-text-q5_K_S,sizes/7b-text-q5_k_s.json
7b-text-q6_k,llama2:7b-text-q6_K,sizes/7b-text-q6_k.json
7b-text-q8_0,llama2:7b-text-q8_0,sizes/7b-text-q8_0.json
chat,llama2:chat,sizes/chat.json
latest,llama2:latest,sizes/latest.json
text,llama2:text,sizes/text.json
