size_slug,ollama_ref,size_file
13b,llama2-chinese:13b,sizes/13b.json
13b-chat,llama2-chinese:13b-chat,sizes/13b-chat.json
13b-chat-fp16,llama2-chinese:13b-chat-fp16,sizes/13b-chat-fp16.json
13b-chat-q2_k,llama2-chinese:13b-chat-q2_K,sizes/13b-chat-q2_k.json
13b-chat-q3_k_l,llama2-chinese:13b-chat-q3_K_L,sizes/13b-chat-q3_k_l.json
13b-chat-q3_k_m,llama2-chinese:13b-chat-q3_K_M,sizes/13b-chat-q3_k_m.json
13b-chat-q3_k_s,llama2-chinese:13b-chat-q3_K_S,sizes/13b-chat-q3_k_s.json
13b-chat-q4_0,llama2-chinese:13b-chat-q4_0,sizes/13b-chat-q4_0.json
13b-chat-q4_1,llama2-chinese:13b-chat-q4_1,sizes/13b-chat-q4_1.json
13b-chat-q4_k_m,llama2-chinese:13b-chat-q4_K_M,sizes/13b-chat-q4_k_m.json
13b-chat-q4_k_s,llama2-chinese:13b-chat-q4_K_S,sizes/13b-chat-q4_k_s.json
13b-chat-q5_0,llama2-chinese:13b-chat-q5_0,sizes/13b-chat-q5_0.json
13b-chat-q5_1,llama2-chinese:13b-chat-q5_1,sizes/13b-chat-q5_1.json
13b-chat-q5_k_m,llama2-chinese:13b-chat-q5_K_M,sizes/13b-chat-q5_k_m.json
13b-chat-q5_k_s,llama2-chinese:13b-chat-q5_K_S,sizes/13b-chat-q5_k_s.json
13b-chat-q6_k,llama2-chinese:13b-chat-q6_K,sizes/13b-chat-q6_k.json
13b-chat-q8_0,llama2-chinese:13b-chat-q8_0,sizes/13b-chat-q8_0.json
