size_slug,ollama_ref,size_file
70b,llama2-uncensored:70b,sizes/70b.json
70b-chat,llama2-uncensored:70b-chat,sizes/70b-chat.json
70b-chat-q2_k,llama2-uncensored:70b-chat-q2_K,sizes/70b-chat-q2_k.json
70b-chat-q3_k_l,llama2-uncensored:70b-chat-q3_K_L,sizes/70b-chat-q3_k_l.json
70b-chat-q3_k_m,llama2-uncensored:70b-chat-q3_K_M,sizes/70b-chat-q3_k_m.json
70b-chat-q3_k_s,llama2-uncensored:70b-chat-q3_K_S,sizes/70b-chat-q3_k_s.json
70b-chat-q4_0,llama2-uncensored:70b-chat-q4_0,sizes/70b-chat-q4_0.json
70b-chat-q4_1,llama2-uncensored:70b-chat-q4_1,sizes/70b-chat-q4_1.json
70b-chat-q4_k_m,llama2-uncensored:70b-chat-q4_K_M,sizes/70b-chat-q4_k_m.json
70b-chat-q4_k_s,llama2-uncensored:70b-chat-q4_K_S,sizes/70b-chat-q4_k_s.json
70b-chat-q5_0,llama2-uncensored:70b-chat-q5_0,sizes/70b-chat-q5_0.json
70b-chat-q5_1,llama2-uncensored:70b-chat-q5_1,sizes/70b-chat-q5_1.json
70b-chat-q5_k_m,llama2-uncensored:70b-chat-q5_K_M,sizes/70b-chat-q5_k_m.json
70b-chat-q5_k_s,llama2-uncensored:70b-chat-q5_K_S,sizes/70b-chat-q5_k_s.json
70b-chat-q6_k,llama2-uncensored:70b-chat-q6_K,sizes/70b-chat-q6_k.json
70b-chat-q8_0,llama2-uncensored:70b-chat-q8_0,sizes/70b-chat-q8_0.json
