size_slug,size_json_path,ollama_ref
70b,profiles/llama2/sizes/70b.json,llama2:70b
70b-chat,profiles/llama2/sizes/70b-chat.json,llama2:70b-chat
70b-chat-fp16,profiles/llama2/sizes/70b-chat-fp16.json,llama2:70b-chat-fp16
70b-chat-q2-k,profiles/llama2/sizes/70b-chat-q2-k.json,llama2:70b-chat-q2_K
70b-chat-q3-k-l,profiles/llama2/sizes/70b-chat-q3-k-l.json,llama2:70b-chat-q3_K_L
70b-chat-q3-k-m,profiles/llama2/sizes/70b-chat-q3-k-m.json,llama2:70b-chat-q3_K_M
70b-chat-q3-k-s,profiles/llama2/sizes/70b-chat-q3-k-s.json,llama2:70b-chat-q3_K_S
70b-chat-q4-k-m,profiles/llama2/sizes/70b-chat-q4-k-m.json,llama2:70b-chat-q4_K_M
70b-chat-q4-k-s,profiles/llama2/sizes/70b-chat-q4-k-s.json,llama2:70b-chat-q4_K_S
70b-chat-q40,profiles/llama2/sizes/70b-chat-q40.json,llama2:70b-chat-q4_0
70b-chat-q41,profiles/llama2/sizes/70b-chat-q41.json,llama2:70b-chat-q4_1
70b-chat-q5-k-m,profiles/llama2/sizes/70b-chat-q5-k-m.json,llama2:70b-chat-q5_K_M
70b-chat-q5-k-s,profiles/llama2/sizes/70b-chat-q5-k-s.json,llama2:70b-chat-q5_K_S
70b-chat-q50,profiles/llama2/sizes/70b-chat-q50.json,llama2:70b-chat-q5_0
70b-chat-q51,profiles/llama2/sizes/70b-chat-q51.json,llama2:70b-chat-q5_1
70b-chat-q6-k,profiles/llama2/sizes/70b-chat-q6-k.json,llama2:70b-chat-q6_K
70b-chat-q80,profiles/llama2/sizes/70b-chat-q80.json,llama2:70b-chat-q8_0
70b-text,profiles/llama2/sizes/70b-text.json,llama2:70b-text
70b-text-fp16,profiles/llama2/sizes/70b-text-fp16.json,llama2:70b-text-fp16
70b-text-q2-k,profiles/llama2/sizes/70b-text-q2-k.json,llama2:70b-text-q2_K
70b-text-q3-k-l,profiles/llama2/sizes/70b-text-q3-k-l.json,llama2:70b-text-q3_K_L
70b-text-q3-k-m,profiles/llama2/sizes/70b-text-q3-k-m.json,llama2:70b-text-q3_K_M
70b-text-q3-k-s,profiles/llama2/sizes/70b-text-q3-k-s.json,llama2:70b-text-q3_K_S
70b-text-q4-k-m,profiles/llama2/sizes/70b-text-q4-k-m.json,llama2:70b-text-q4_K_M
70b-text-q4-k-s,profiles/llama2/sizes/70b-text-q4-k-s.json,llama2:70b-text-q4_K_S
70b-text-q40,profiles/llama2/sizes/70b-text-q40.json,llama2:70b-text-q4_0
70b-text-q41,profiles/llama2/sizes/70b-text-q41.json,llama2:70b-text-q4_1
70b-text-q5-k-m,profiles/llama2/sizes/70b-text-q5-k-m.json,llama2:70b-text-q5_K_M
70b-text-q5-k-s,profiles/llama2/sizes/70b-text-q5-k-s.json,llama2:70b-text-q5_K_S
70b-text-q50,profiles/llama2/sizes/70b-text-q50.json,llama2:70b-text-q5_0
70b-text-q51,profiles/llama2/sizes/70b-text-q51.json,llama2:70b-text-q5_1
70b-text-q6-k,profiles/llama2/sizes/70b-text-q6-k.json,llama2:70b-text-q6_K
70b-text-q80,profiles/llama2/sizes/70b-text-q80.json,llama2:70b-text-q8_0
13b,profiles/llama2/sizes/13b.json,llama2:13b
13b-chat,profiles/llama2/sizes/13b-chat.json,llama2:13b-chat
13b-chat-fp16,profiles/llama2/sizes/13b-chat-fp16.json,llama2:13b-chat-fp16
13b-chat-q2-k,profiles/llama2/sizes/13b-chat-q2-k.json,llama2:13b-chat-q2_K
13b-chat-q3-k-l,profiles/llama2/sizes/13b-chat-q3-k-l.json,llama2:13b-chat-q3_K_L
13b-chat-q3-k-m,profiles/llama2/sizes/13b-chat-q3-k-m.json,llama2:13b-chat-q3_K_M
13b-chat-q3-k-s,profiles/llama2/sizes/13b-chat-q3-k-s.json,llama2:13b-chat-q3_K_S
13b-chat-q4-k-m,profiles/llama2/sizes/13b-chat-q4-k-m.json,llama2:13b-chat-q4_K_M
13b-chat-q4-k-s,profiles/llama2/sizes/13b-chat-q4-k-s.json,llama2:13b-chat-q4_K_S
13b-chat-q40,profiles/llama2/sizes/13b-chat-q40.json,llama2:13b-chat-q4_0
13b-chat-q41,profiles/llama2/sizes/13b-chat-q41.json,llama2:13b-chat-q4_1
13b-chat-q5-k-m,profiles/llama2/sizes/13b-chat-q5-k-m.json,llama2:13b-chat-q5_K_M
13b-chat-q5-k-s,profiles/llama2/sizes/13b-chat-q5-k-s.json,llama2:13b-chat-q5_K_S
13b-chat-q50,profiles/llama2/sizes/13b-chat-q50.json,llama2:13b-chat-q5_0
13b-chat-q51,profiles/llama2/sizes/13b-chat-q51.json,llama2:13b-chat-q5_1
13b-chat-q6-k,profiles/llama2/sizes/13b-chat-q6-k.json,llama2:13b-chat-q6_K
13b-chat-q80,profiles/llama2/sizes/13b-chat-q80.json,llama2:13b-chat-q8_0
13b-text,profiles/llama2/sizes/13b-text.json,llama2:13b-text
13b-text-fp16,profiles/llama2/sizes/13b-text-fp16.json,llama2:13b-text-fp16
13b-text-q2-k,profiles/llama2/sizes/13b-text-q2-k.json,llama2:13b-text-q2_K
13b-text-q3-k-l,profiles/llama2/sizes/13b-text-q3-k-l.json,llama2:13b-text-q3_K_L
