size_slug,ollama_ref,size_file
70b,llama2:70b,sizes/70b.json
70b-chat,llama2:70b-chat,sizes/70b-chat.json
70b-chat-fp16,llama2:70b-chat-fp16,sizes/70b-chat-fp16.json
70b-chat-q2-k,llama2:70b-chat-q2_K,sizes/70b-chat-q2-k.json
70b-chat-q3-k-l,llama2:70b-chat-q3_K_L,sizes/70b-chat-q3-k-l.json
70b-chat-q3-k-m,llama2:70b-chat-q3_K_M,sizes/70b-chat-q3-k-m.json
70b-chat-q3-k-s,llama2:70b-chat-q3_K_S,sizes/70b-chat-q3-k-s.json
70b-chat-q4-k-m,llama2:70b-chat-q4_K_M,sizes/70b-chat-q4-k-m.json
70b-chat-q4-k-s,llama2:70b-chat-q4_K_S,sizes/70b-chat-q4-k-s.json
70b-chat-q40,llama2:70b-chat-q4_0,sizes/70b-chat-q40.json
70b-chat-q41,llama2:70b-chat-q4_1,sizes/70b-chat-q41.json
70b-chat-q5-k-m,llama2:70b-chat-q5_K_M,sizes/70b-chat-q5-k-m.json
70b-chat-q5-k-s,llama2:70b-chat-q5_K_S,sizes/70b-chat-q5-k-s.json
70b-chat-q50,llama2:70b-chat-q5_0,sizes/70b-chat-q50.json
70b-chat-q51,llama2:70b-chat-q5_1,sizes/70b-chat-q51.json
70b-chat-q6-k,llama2:70b-chat-q6_K,sizes/70b-chat-q6-k.json
70b-chat-q80,llama2:70b-chat-q8_0,sizes/70b-chat-q80.json
70b-text,llama2:70b-text,sizes/70b-text.json
70b-text-fp16,llama2:70b-text-fp16,sizes/70b-text-fp16.json
70b-text-q2-k,llama2:70b-text-q2_K,sizes/70b-text-q2-k.json
70b-text-q3-k-l,llama2:70b-text-q3_K_L,sizes/70b-text-q3-k-l.json
70b-text-q3-k-m,llama2:70b-text-q3_K_M,sizes/70b-text-q3-k-m.json
70b-text-q3-k-s,llama2:70b-text-q3_K_S,sizes/70b-text-q3-k-s.json
70b-text-q4-k-m,llama2:70b-text-q4_K_M,sizes/70b-text-q4-k-m.json
70b-text-q4-k-s,llama2:70b-text-q4_K_S,sizes/70b-text-q4-k-s.json
70b-text-q40,llama2:70b-text-q4_0,sizes/70b-text-q40.json
70b-text-q41,llama2:70b-text-q4_1,sizes/70b-text-q41.json
70b-text-q5-k-m,llama2:70b-text-q5_K_M,sizes/70b-text-q5-k-m.json
70b-text-q5-k-s,llama2:70b-text-q5_K_S,sizes/70b-text-q5-k-s.json
70b-text-q50,llama2:70b-text-q5_0,sizes/70b-text-q50.json
70b-text-q51,llama2:70b-text-q5_1,sizes/70b-text-q51.json
70b-text-q6-k,llama2:70b-text-q6_K,sizes/70b-text-q6-k.json
70b-text-q80,llama2:70b-text-q8_0,sizes/70b-text-q80.json
13b,llama2:13b,sizes/13b.json
13b-chat,llama2:13b-chat,sizes/13b-chat.json
13b-chat-fp16,llama2:13b-chat-fp16,sizes/13b-chat-fp16.json
13b-chat-q2-k,llama2:13b-chat-q2_K,sizes/13b-chat-q2-k.json
13b-chat-q3-k-l,llama2:13b-chat-q3_K_L,sizes/13b-chat-q3-k-l.json
13b-chat-q3-k-m,llama2:13b-chat-q3_K_M,sizes/13b-chat-q3-k-m.json
13b-chat-q3-k-s,llama2:13b-chat-q3_K_S,sizes/13b-chat-q3-k-s.json
13b-chat-q4-k-m,llama2:13b-chat-q4_K_M,sizes/13b-chat-q4-k-m.json
13b-chat-q4-k-s,llama2:13b-chat-q4_K_S,sizes/13b-chat-q4-k-s.json
13b-chat-q40,llama2:13b-chat-q4_0,sizes/13b-chat-q40.json
13b-chat-q41,llama2:13b-chat-q4_1,sizes/13b-chat-q41.json
13b-chat-q5-k-m,llama2:13b-chat-q5_K_M,sizes/13b-chat-q5-k-m.json
13b-chat-q5-k-s,llama2:13b-chat-q5_K_S,sizes/13b-chat-q5-k-s.json
13b-chat-q50,llama2:13b-chat-q5_0,sizes/13b-chat-q50.json
13b-chat-q51,llama2:13b-chat-q5_1,sizes/13b-chat-q51.json
13b-chat-q6-k,llama2:13b-chat-q6_K,sizes/13b-chat-q6-k.json
13b-chat-q80,llama2:13b-chat-q8_0,sizes/13b-chat-q80.json
13b-text,llama2:13b-text,sizes/13b-text.json
13b-text-fp16,llama2:13b-text-fp16,sizes/13b-text-fp16.json
13b-text-q2-k,llama2:13b-text-q2_K,sizes/13b-text-q2-k.json
13b-text-q3-k-l,llama2:13b-text-q3_K_L,sizes/13b-text-q3-k-l.json
13b-text-q3-k-m,llama2:13b-text-q3_K_M,sizes/13b-text-q3-k-m.json
13b-text-q3-k-s,llama2:13b-text-q3_K_S,sizes/13b-text-q3-k-s.json
13b-text-q4-k-m,llama2:13b-text-q4_K_M,sizes/13b-text-q4-k-m.json
13b-text-q4-k-s,llama2:13b-text-q4_K_S,sizes/13b-text-q4-k-s.json
13b-text-q40,llama2:13b-text-q4_0,sizes/13b-text-q40.json
13b-text-q41,llama2:13b-text-q4_1,sizes/13b-text-q41.json
13b-text-q5-k-m,llama2:13b-text-q5_K_M,sizes/13b-text-q5-k-m.json
13b-text-q5-k-s,llama2:13b-text-q5_K_S,sizes/13b-text-q5-k-s.json
13b-text-q50,llama2:13b-text-q5_0,sizes/13b-text-q50.json
13b-text-q51,llama2:13b-text-q5_1,sizes/13b-text-q51.json
13b-text-q6-k,llama2:13b-text-q6_K,sizes/13b-text-q6-k.json
13b-text-q80,llama2:13b-text-q8_0,sizes/13b-text-q80.json
7b,llama2:7b,sizes/7b.json
7b-chat,llama2:7b-chat,sizes/7b-chat.json
7b-chat-fp16,llama2:7b-chat-fp16,sizes/7b-chat-fp16.json
7b-chat-q2-k,llama2:7b-chat-q2_K,sizes/7b-chat-q2-k.json
7b-chat-q3-k-l,llama2:7b-chat-q3_K_L,sizes/7b-chat-q3-k-l.json
7b-chat-q3-k-m,llama2:7b-chat-q3_K_M,sizes/7b-chat-q3-k-m.json
7b-chat-q3-k-s,llama2:7b-chat-q3_K_S,sizes/7b-chat-q3-k-s.json
7b-chat-q4-k-m,llama2:7b-chat-q4_K_M,sizes/7b-chat-q4-k-m.json
7b-chat-q4-k-s,llama2:7b-chat-q4_K_S,sizes/7b-chat-q4-k-s.json
7b-chat-q40,llama2:7b-chat-q4_0,sizes/7b-chat-q40.json
7b-chat-q41,llama2:7b-chat-q4_1,sizes/7b-chat-q41.json
7b-chat-q5-k-m,llama2:7b-chat-q5_K_M,sizes/7b-chat-q5-k-m.json
7b-chat-q5-k-s,llama2:7b-chat-q5_K_S,sizes/7b-chat-q5-k-s.json
7b-chat-q50,llama2:7b-chat-q5_0,sizes/7b-chat-q50.json
7b-chat-q51,llama2:7b-chat-q5_1,sizes/7b-chat-q51.json
