size_slug,ollama_ref,size_file,fit_status
70b,llama2:70b,../sizes/70b.json,no_fit
70b-chat,llama2:70b-chat,../sizes/70b-chat.json,no_fit
70b-chat-fp16,llama2:70b-chat-fp16,../sizes/70b-chat-fp16.json,no_fit
70b-chat-q2-k,llama2:70b-chat-q2_K,../sizes/70b-chat-q2-k.json,no_fit
70b-chat-q3-k-l,llama2:70b-chat-q3_K_L,../sizes/70b-chat-q3-k-l.json,no_fit
70b-chat-q3-k-m,llama2:70b-chat-q3_K_M,../sizes/70b-chat-q3-k-m.json,no_fit
70b-chat-q3-k-s,llama2:70b-chat-q3_K_S,../sizes/70b-chat-q3-k-s.json,no_fit
70b-chat-q4-k-m,llama2:70b-chat-q4_K_M,../sizes/70b-chat-q4-k-m.json,no_fit
70b-chat-q4-k-s,llama2:70b-chat-q4_K_S,../sizes/70b-chat-q4-k-s.json,no_fit
70b-chat-q40,llama2:70b-chat-q4_0,../sizes/70b-chat-q40.json,no_fit
70b-chat-q41,llama2:70b-chat-q4_1,../sizes/70b-chat-q41.json,no_fit
70b-chat-q5-k-m,llama2:70b-chat-q5_K_M,../sizes/70b-chat-q5-k-m.json,no_fit
70b-chat-q5-k-s,llama2:70b-chat-q5_K_S,../sizes/70b-chat-q5-k-s.json,no_fit
70b-chat-q50,llama2:70b-chat-q5_0,../sizes/70b-chat-q50.json,no_fit
70b-chat-q51,llama2:70b-chat-q5_1,../sizes/70b-chat-q51.json,no_fit
70b-chat-q6-k,llama2:70b-chat-q6_K,../sizes/70b-chat-q6-k.json,no_fit
70b-chat-q80,llama2:70b-chat-q8_0,../sizes/70b-chat-q80.json,no_fit
70b-text,llama2:70b-text,../sizes/70b-text.json,no_fit
70b-text-fp16,llama2:70b-text-fp16,../sizes/70b-text-fp16.json,no_fit
70b-text-q2-k,llama2:70b-text-q2_K,../sizes/70b-text-q2-k.json,no_fit
70b-text-q3-k-l,llama2:70b-text-q3_K_L,../sizes/70b-text-q3-k-l.json,no_fit
70b-text-q3-k-m,llama2:70b-text-q3_K_M,../sizes/70b-text-q3-k-m.json,no_fit
70b-text-q3-k-s,llama2:70b-text-q3_K_S,../sizes/70b-text-q3-k-s.json,no_fit
70b-text-q4-k-m,llama2:70b-text-q4_K_M,../sizes/70b-text-q4-k-m.json,no_fit
70b-text-q4-k-s,llama2:70b-text-q4_K_S,../sizes/70b-text-q4-k-s.json,no_fit
70b-text-q40,llama2:70b-text-q4_0,../sizes/70b-text-q40.json,no_fit
70b-text-q41,llama2:70b-text-q4_1,../sizes/70b-text-q41.json,no_fit
70b-text-q5-k-m,llama2:70b-text-q5_K_M,../sizes/70b-text-q5-k-m.json,no_fit
70b-text-q5-k-s,llama2:70b-text-q5_K_S,../sizes/70b-text-q5-k-s.json,no_fit
70b-text-q50,llama2:70b-text-q5_0,../sizes/70b-text-q50.json,no_fit
70b-text-q51,llama2:70b-text-q5_1,../sizes/70b-text-q51.json,no_fit
