size_slug,ollama_ref,size_file,fit_status
405b,llama3.1:405b,../sizes/405b.json,not_listed_in_agents_selection
405b-instruct-fp16,llama3.1:405b-instruct-fp16,../sizes/405b-instruct-fp16.json,not_listed_in_agents_selection
405b-instruct-q2_k,llama3.1:405b-instruct-q2_K,../sizes/405b-instruct-q2_k.json,not_listed_in_agents_selection
405b-instruct-q3_k_l,llama3.1:405b-instruct-q3_K_L,../sizes/405b-instruct-q3_k_l.json,not_listed_in_agents_selection
405b-instruct-q3_k_m,llama3.1:405b-instruct-q3_K_M,../sizes/405b-instruct-q3_k_m.json,not_listed_in_agents_selection
405b-instruct-q3_k_s,llama3.1:405b-instruct-q3_K_S,../sizes/405b-instruct-q3_k_s.json,not_listed_in_agents_selection
405b-instruct-q4_0,llama3.1:405b-instruct-q4_0,../sizes/405b-instruct-q4_0.json,not_listed_in_agents_selection
405b-instruct-q4_1,llama3.1:405b-instruct-q4_1,../sizes/405b-instruct-q4_1.json,not_listed_in_agents_selection
405b-instruct-q4_k_m,llama3.1:405b-instruct-q4_K_M,../sizes/405b-instruct-q4_k_m.json,not_listed_in_agents_selection
405b-instruct-q4_k_s,llama3.1:405b-instruct-q4_K_S,../sizes/405b-instruct-q4_k_s.json,not_listed_in_agents_selection
405b-instruct-q5_0,llama3.1:405b-instruct-q5_0,../sizes/405b-instruct-q5_0.json,not_listed_in_agents_selection
405b-instruct-q5_1,llama3.1:405b-instruct-q5_1,../sizes/405b-instruct-q5_1.json,not_listed_in_agents_selection
405b-instruct-q5_k_m,llama3.1:405b-instruct-q5_K_M,../sizes/405b-instruct-q5_k_m.json,not_listed_in_agents_selection
405b-instruct-q5_k_s,llama3.1:405b-instruct-q5_K_S,../sizes/405b-instruct-q5_k_s.json,not_listed_in_agents_selection
405b-instruct-q6_k,llama3.1:405b-instruct-q6_K,../sizes/405b-instruct-q6_k.json,not_listed_in_agents_selection
405b-instruct-q8_0,llama3.1:405b-instruct-q8_0,../sizes/405b-instruct-q8_0.json,not_listed_in_agents_selection
405b-text-fp16,llama3.1:405b-text-fp16,../sizes/405b-text-fp16.json,not_listed_in_agents_selection
405b-text-q2_k,llama3.1:405b-text-q2_K,../sizes/405b-text-q2_k.json,not_listed_in_agents_selection
405b-text-q3_k_l,llama3.1:405b-text-q3_K_L,../sizes/405b-text-q3_k_l.json,not_listed_in_agents_selection
405b-text-q3_k_m,llama3.1:405b-text-q3_K_M,../sizes/405b-text-q3_k_m.json,not_listed_in_agents_selection
405b-text-q3_k_s,llama3.1:405b-text-q3_K_S,../sizes/405b-text-q3_k_s.json,not_listed_in_agents_selection
405b-text-q4_0,llama3.1:405b-text-q4_0,../sizes/405b-text-q4_0.json,not_listed_in_agents_selection
405b-text-q4_1,llama3.1:405b-text-q4_1,../sizes/405b-text-q4_1.json,not_listed_in_agents_selection
405b-text-q4_k_m,llama3.1:405b-text-q4_K_M,../sizes/405b-text-q4_k_m.json,not_listed_in_agents_selection
405b-text-q4_k_s,llama3.1:405b-text-q4_K_S,../sizes/405b-text-q4_k_s.json,not_listed_in_agents_selection
405b-text-q5_0,llama3.1:405b-text-q5_0,../sizes/405b-text-q5_0.json,not_listed_in_agents_selection
405b-text-q5_1,llama3.1:405b-text-q5_1,../sizes/405b-text-q5_1.json,not_listed_in_agents_selection
405b-text-q5_k_m,llama3.1:405b-text-q5_K_M,../sizes/405b-text-q5_k_m.json,not_listed_in_agents_selection
405b-text-q5_k_s,llama3.1:405b-text-q5_K_S,../sizes/405b-text-q5_k_s.json,not_listed_in_agents_selection
405b-text-q6_k,llama3.1:405b-text-q6_K,../sizes/405b-text-q6_k.json,not_listed_in_agents_selection
405b-text-q8_0,llama3.1:405b-text-q8_0,../sizes/405b-text-q8_0.json,not_listed_in_agents_selection
